"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
1920,"CCHHL","COUNTRY CLUB HOSP HOL LTD","MICRO_CAP",18.12,0,-3.46,3.31,63.3,50.4,"STRONG_BULLISH",14.68,9,8,25,70.4,72.83,86,55.71,57.5,492579.31,"HOLD",2025-09-01
1,"OLAELEC","OLA ELECTRIC MOBILITY LTD","LARGE_CAP",62.48,0,28.64,54.08,62.7,77.3,"BULLISH",40.99,20,12,0,NA,NA,NA,NA,NA,65097898320.52,"HOLD",2025-09-01
9,"APOLLO","APOLLO MICRO SYSTEMS LTD","LARGE_CAP",266.6,0,6.33,56.88,62.7,82.3,"STRONG_BULLISH",44.24,18,4,15,54.74,51.67,59,56.14,54,8390573692.05,"HOLD",2025-09-01
73,"ECLERX","ECLERX SERVICES LTD","MID_CAP",4496.8,0,6.09,18.36,62.7,67.3,"STRONG_BULLISH",33.07,18,12,0,NA,NA,NA,NA,NA,1547167847.8,"HOLD",2025-09-01
501,"CRAFTSMAN","CRAFTSMAN AUTOMATION LTD","MICRO_CAP",7159.5,0,4.69,10.74,62.7,63.7,"STRONG_BULLISH",41.5,13,12,15,54.65,50.22,53,57.05,66,177876761.5,"HOLD",2025-09-01
653,"GOPAL","GOPAL SNACKS LIMITED","MICRO_CAP",377.75,0,0.84,4.64,62.7,60,"STRONG_BULLISH",9.32,10,18,0,NA,NA,NA,NA,NA,111948998.7,"HOLD",2025-09-01
988,"CANTABIL","CANTABIL RETAIL LTD","MICRO_CAP",259.7,0,0.08,-0.67,62.7,52.5,"BULLISH",7.97,4,15,20,60.3,66.09,56,56.59,57,33503771.35,"HOLD",2025-09-01
1014,"DDEVPLSTIK","DDEV PLASTIKS IND LTD","MICRO_CAP",312.35,0,-1.7,6.21,62.7,53.1,"STRONG_BULLISH",18.88,11,15,15,52.26,49.57,51,55.68,57,30454866.8,"HOLD",2025-09-01
1085,"MASPTOP50","MIRAEAMC - MASPTOP50","MICRO_CAP",65.04,0,3.01,2.99,62.7,65.9,"STRONG_BULLISH",23.71,12,13,0,NA,NA,NA,NA,NA,24537282.43,"HOLD",2025-09-01
40,"ZYDUSWELL","ZYDUS WELLNESS LIMITED","LARGE_CAP",2217.8,0,11.8,7.46,62,72,"BULLISH",10.94,14,16,0,NA,NA,NA,NA,NA,2750321796.9,"HOLD",2025-09-01
103,"DENTA","DENTA WATER N INFRA SOL L","MID_CAP",438.25,0,10.31,41.39,62,72.3,"STRONG_BULLISH",58.3,18,14,0,NA,NA,NA,NA,NA,1237276078.15,"HOLD",2025-09-01
152,"STALLION","STALLION IND FLUOROCHEM L","SMALL_CAP",163.7,0,10.78,24.65,62,71.8,"BULLISH",111.61,20,14,0,NA,NA,NA,NA,NA,898318889.92,"HOLD",2025-09-01
155,"ENDURANCE","ENDURANCE TECHNO. LTD.","SMALL_CAP",2939.9,0,4.23,18.71,62,69.5,"STRONG_BULLISH",25.31,16,18,0,NA,NA,NA,NA,NA,878715245.3,"HOLD",2025-09-01
195,"INDIANB","INDIAN BANK","SMALL_CAP",668.5,0,0.07,7.61,62,58.8,"STRONG_BULLISH",12.25,9,20,0,NA,NA,NA,NA,NA,703874806.05,"HOLD",2025-09-01
273,"APOLLOTYRE","APOLLO TYRES LTD","SMALL_CAP",467.6,0,0.39,6.07,62,58.8,"BEARISH",8.16,7,17,15,53.44,54.57,51,53.68,54.17,464556189.4,"HOLD",2025-09-01
491,"GOKULAGRO","GOKUL AGRO RESOURCES LTD","MICRO_CAP",342.05,0,4,12.35,62,66.8,"STRONG_BULLISH",20.64,16,13,0,NA,NA,NA,NA,NA,185723913.55,"HOLD",2025-09-01
559,"SAURASHCEM","SAURASHTRA CEMENT LIMITED","MICRO_CAP",118.88,0,-1.54,-2.9,62,57.2,"BULLISH",44.57,15,12,0,NA,NA,NA,NA,NA,149434408.75,"HOLD",2025-09-01
631,"IMFA","INDIAN METALS & FERRO","MICRO_CAP",892.35,0,3.99,23.24,62,74.8,"STRONG_BULLISH",27.97,16,16,0,NA,NA,NA,NA,NA,118456561.85,"HOLD",2025-09-01
644,"SILVERETF","UTIAMC - SILVERETF","MICRO_CAP",120.15,0,5.97,12.28,62,73.1,"STRONG_BULLISH",17.62,16,11,0,NA,NA,NA,NA,NA,113748762.74,"HOLD",2025-09-01
101,"CUMMINSIND","CUMMINS INDIA LTD","MID_CAP",3880.1,0,-0.01,8.73,61.3,67,"STRONG_BULLISH",23.44,11,12,15,53.02,50.65,51,55.68,59.17,1250403781.1,"HOLD",2025-09-01
223,"INDIAMART","INDIAMART INTERMESH LTD","SMALL_CAP",2600.2,0,-1.42,0.05,61.3,51.5,"BULLISH",10.06,12,15,0,NA,NA,NA,NA,NA,618206048.7,"HOLD",2025-09-01
339,"USHAMART","USHA MARTIN LTD.","MICRO_CAP",388.5,0,0.1,5.53,61.3,62.8,"BULLISH",28.5,14,17,0,NA,NA,NA,NA,NA,340937951.9,"HOLD",2025-09-01
421,"STARCEMENT","STAR CEMENT LIMITED","MICRO_CAP",297.3,0,5.31,21.92,61.3,71.1,"STRONG_BULLISH",45.82,15,16,0,NA,NA,NA,NA,NA,235683032.4,"HOLD",2025-09-01
477,"VSTTILLERS","VST TILLERS TRACTORS LTD","MICRO_CAP",5443,0,1.6,20.55,61.3,73.1,"STRONG_BULLISH",51.54,15,16,0,NA,NA,NA,NA,NA,193032010.5,"HOLD",2025-09-01
529,"HUHTAMAKI","HUHTAMAKI INDIA LIMITED","MICRO_CAP",230.8,0,6.05,5.5,61.3,63.6,"BULLISH",12.8,12,14,0,NA,NA,NA,NA,NA,163142797.61,"HOLD",2025-09-01
1267,"AARVI","AARVI ENCON LIMITED","MICRO_CAP",131.52,0,7.75,27.29,61.3,69.7,"STRONG_BULLISH",24.93,15,8,10,42.4,45.4,47.5,54.35,10,12958198.84,"HOLD",2025-09-01
1548,"ASTRON","ASTRON PAPER BORD MIL LTD","MICRO_CAP",14.71,0,11.69,0.89,61.3,54.8,"BEARISH",17.17,14,2,20,67.82,72.38,86,55.91,41.25,4316305.32,"HOLD",2025-09-01
22,"MUTHOOTFIN","MUTHOOT FINANCE LIMITED","LARGE_CAP",2710,0,0.61,4.52,60.7,56.7,"STRONG_BULLISH",6.34,7,20,0,NA,NA,NA,NA,NA,3659102297.5,"HOLD",2025-09-01
51,"PREMIERENE","PREMIER ENERGIES LIMITED","MID_CAP",1036.35,0,3.23,2.58,60.7,53.7,"BULLISH",10.64,12,16,0,NA,NA,NA,NA,NA,2022770810.15,"HOLD",2025-09-01
53,"MPHASIS","MPHASIS LIMITED","MID_CAP",2921.5,0,0.13,5.95,60.7,61.3,"BULLISH",13.9,12,18,0,NA,NA,NA,NA,NA,1976858095.3,"HOLD",2025-09-01
143,"SYRMA","SYRMA SGS TECHNOLOGY LTD","MID_CAP",756.3,0,0.91,1.08,60.7,62.7,"STRONG_BULLISH",51.4,12,15,0,NA,NA,NA,NA,NA,972610374.85,"HOLD",2025-09-01
175,"ITCHOTELS","ITC HOTELS LIMITED","SMALL_CAP",244.39,0,0.3,9,60.7,59.3,"STRONG_BULLISH",19.93,12,15,0,NA,NA,NA,NA,NA,791040742.4,"HOLD",2025-09-01
415,"IOB","INDIAN OVERSEAS BANK","MICRO_CAP",38.87,0,1.73,5.6,60.7,62.7,"BULLISH",10.22,10,20,0,NA,NA,NA,NA,NA,241303895.82,"HOLD",2025-09-01
