score_date,symbol,enhanced_fund_score,earnings_quality,sales_growth,financial_strength,institutional_backing,processed_date,source_file
2026-08-04,HMVL,72.8,89.6,53.33,70.5,63.5,2026-08-04,tracker_enrich_derived
2026-06-20,HNDFDS,75.51,80.0,78.33,60.75,78.5,2026-06-20,tracker_enrich_derived
2026-06-22,HNGSNGBEES,55.0,55.0,55.0,55.0,55.0,2026-06-22,tracker_enrich_derived
2026-06-22,HOMEFIRST,60.4,55.0,55.0,70.0,71.0,2026-06-22,tracker_enrich_derived
2025-08-11,HONASA,59.69,69.35,51.67,53.91,55.0,,organized/data/fundamental_scores_database.csv
2026-06-29,HONASA,81.43,88.25,78.33,79.5,71.0,2026-06-29,tracker_enrich_derived
2026-06-22,HPL,67.3,67.6,68.33,68.25,63.5,2026-06-22,tracker_enrich_derived
2026-06-29,HSBCGOLD,55.0,55.0,55.0,55.0,55.0,2026-06-29,tracker_enrich_derived
2025-08-11,HSCL,55.51,55.87,52.5,58.91,55.0,,organized/data/fundamental_scores_database.csv
2026-06-29,HSCL,74.37,83.6,58.33,79.25,70.0,2026-06-29,tracker_enrich_derived
2026-06-24,HUBTOWN,79.73,90.0,93.33,63.75,51.0,2026-06-24,tracker_enrich_derived
2026-06-22,HUDCO,73.91,95.0,55.0,55.67,73.5,2026-06-22,tracker_enrich_derived
2026-08-15,HUDCO,84.73,95.0,90.0,66.0,73.5,2026-08-15,compute_fund_scores_from_db
2026-06-22,HUHTAMAKI,63.91,61.0,65.0,68.67,63.5,2026-06-22,tracker_enrich_derived
2026-06-22,HYUNDAI,65.24,49.0,61.67,92.25,78.5,2026-06-22,tracker_enrich_derived
2026-07-22,ICEMAKE,61.11,45.0,93.33,51.25,63.5,2026-07-22,tracker_enrich_derived
2026-06-29,ICICIAMC,80.94,90.0,91.67,55.0,73.5,2026-06-29,tracker_enrich_derived
2025-08-11,ICICIB22,10.0,10.0,10.0,10.0,10.0,,organized/data/fundamental_scores_database.csv
2026-06-22,ICICIB22,55.0,55.0,55.0,55.0,55.0,2026-06-22,tracker_enrich_derived
2026-06-22,ICICIBANK,71.55,75.0,55.0,70.0,92.0,2026-06-22,tracker_enrich_derived
2026-06-22,ICICIGI,64.9,55.0,55.0,82.0,85.0,2026-06-22,tracker_enrich_derived
2026-06-29,ICICIPRULI,67.16,83.0,38.33,63.0,78.5,2026-06-29,tracker_enrich_derived
2026-08-15,ICICIPRULI,69.49,80.0,45.0,72.33,78.5,2026-08-15,compute_fund_scores_from_db
2026-06-17,ICIL,51.72,37.0,51.67,63.75,75.0,2026-06-17,tracker_enrich_derived
2026-08-15,ICIL,48.83,32.5,57.5,51.0,75.0,2026-08-15,compute_fund_scores_from_db
2026-08-03,ICRA,72.0,70.0,60.0,85.0,80.0,2026-08-03,tracker_enrich_derived
2026-08-15,IDBI,74.44,91.67,65.0,60.0,63.5,2026-08-15,compute_fund_scores_from_db
2026-08-15,IDEA,71.23,93.33,55.0,55.0,61.0,2026-08-15,compute_fund_scores_from_db
