INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Metal,46.8,3,HINDCOPPER,HINDUSTAN COPPER LTD,LARGE_CAP,522.65,0.84,NA,54.36,51.3,86.9,STRONG_BULLISH,50.62,18,2,0,NA,NA,NA,NA,NA,18248711632.05,HOLD,2026-01-01
Nifty Metal,46.8,114,COALINDIA,COAL INDIA LTD,MID_CAP,400.45,0.36,NA,5.67,48,69.2,BEARISH,0.63,2,6,25,71.16,75.65,82,61.36,54.17,1266353539.5,WEAK_HOLD,2026-01-01
Nifty Metal,46.8,58,VEDL,VEDANTA LIMITED,MID_CAP,602.65,-0.29,NA,11.93,46.7,77.6,STRONG_BULLISH,24.14,15,4,0,NA,NA,NA,NA,NA,2561277517.35,WEAK_HOLD,2026-01-01
Nifty Metal,46.8,67,HINDALCO,HINDALCO  INDUSTRIES  LTD,MID_CAP,894.95,0.93,NA,10.92,46.7,76.3,STRONG_BULLISH,10.86,13,6,0,NA,NA,NA,NA,NA,2290104728.05,WEAK_HOLD,2026-01-01
Nifty Metal,46.8,41,SAIL,STEEL AUTHORITY OF INDIA,LARGE_CAP,148.45,0.99,NA,12.07,41.3,70.7,BEARISH,6.17,8,4,0,NA,NA,NA,NA,NA,3376573711.74,WEAK_HOLD,2026-01-01
Nifty IT,46.56,18,INFY,INFOSYS LIMITED,LARGE_CAP,1629.8,0.89,NA,4.41,48,67.6,STRONG_BULLISH,8.83,9,12,0,NA,NA,NA,NA,NA,5965615873.2,WEAK_HOLD,2026-01-01
Nifty IT,46.56,31,TCS,TATA CONSULTANCY SERV LT,LARGE_CAP,3227.4,0.66,NA,2.92,46.7,62.9,STRONG_BULLISH,7.39,7,12,0,NA,NA,NA,NA,NA,4043425200.1,WEAK_HOLD,2026-01-01
Nifty IT,46.56,115,HCLTECH,HCL TECHNOLOGIES LTD,MID_CAP,1634.5,0.69,NA,-0.06,46.7,52.7,STRONG_BULLISH,13.47,9,10,0,NA,NA,NA,NA,NA,1266196099.8,WEAK_HOLD,2026-01-01
Nifty IT,46.56,154,TECHM,TECH MAHINDRA LIMITED,SMALL_CAP,1607.7,1.06,NA,4.62,46.7,71.2,BULLISH,10.96,13,10,0,NA,NA,NA,NA,NA,907664346,WEAK_HOLD,2026-01-01
Nifty IT,46.56,146,WIPRO,WIPRO LTD,MID_CAP,267.35,1.55,NA,6.87,44.7,74.8,BULLISH,7.11,11,12,0,NA,NA,NA,NA,NA,970825253.15,WEAK_HOLD,2026-01-01
Nifty Oil & Gas,46,60,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,381.5,-0.65,NA,6.34,62.7,65,STRONG_BULLISH,7.87,7,6,20,62.6,70,56,58.64,59.17,2508912092.15,HOLD,2026-01-01
Nifty Oil & Gas,46,5,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1575.6,0.33,NA,1.89,47.3,68,BULLISH,11.73,9,11,0,NA,NA,NA,NA,NA,10116346867.1,WEAK_HOLD,2026-01-01
Nifty Oil & Gas,46,89,IOC,INDIAN OIL CORP LTD,MID_CAP,165.88,-0.35,NA,2.18,46,55.4,BULLISH,6.47,6,12,0,NA,NA,NA,NA,NA,1608330575.71,WEAK_HOLD,2026-01-01
Nifty Oil & Gas,46,75,MRPL,MRPL,MID_CAP,153.48,0.95,NA,-3.46,42,44.1,BULLISH,3.2,5,10,0,NA,NA,NA,NA,NA,1921340232.71,WEAK_HOLD,2026-01-01
Nifty Oil & Gas,46,187,OIL,OIL INDIA LTD,SMALL_CAP,427.55,0.75,NA,2.62,32,58.6,BEARISH,-0.73,0,10,0,NA,NA,NA,NA,NA,755765304.95,SELL,2026-01-01
Nifty Energy,45.88,60,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,381.5,-0.65,NA,6.34,62.7,65,STRONG_BULLISH,7.87,7,6,20,62.6,70,56,58.64,59.17,2508912092.15,HOLD,2026-01-01
Nifty Energy,45.88,5,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1575.6,0.33,NA,1.89,47.3,68,BULLISH,11.73,9,11,0,NA,NA,NA,NA,NA,10116346867.1,WEAK_HOLD,2026-01-01
Nifty Energy,45.88,89,IOC,INDIAN OIL CORP LTD,MID_CAP,165.88,-0.35,NA,2.18,46,55.4,BULLISH,6.47,6,12,0,NA,NA,NA,NA,NA,1608330575.71,WEAK_HOLD,2026-01-01
Nifty Energy,45.88,6,ADANIPOWER,ADANI POWER LTD,LARGE_CAP,148.76,4.04,NA,1.36,38.7,43.1,STRONG_BEARISH,-2.89,5,18,0,10,10,10,10,10,9583739872.95,WEAK_HOLD,2026-01-01
