"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
35,"BRITANNIA","BRITANNIA","LARGE_CAP",5891.5,0.77,2.19,NA,49.3,63,"BULLISH",9.23,5,13,15,52.36,2896685623.5,"WEAK_HOLD",2025-09-02
44,"AMBER","AMBER","LARGE_CAP",7645,0.18,5.75,NA,49.3,57.9,"BULLISH",21.05,6,10,15,59.89,2600773035,"WEAK_HOLD",2025-09-02
82,"CUMMINSIND","CUMMINSIND","MID_CAP",3826.4,-1.38,-0.26,NA,49.3,59.7,"STRONG_BULLISH",20.74,8,12,15,53.02,1640179854.4,"WEAK_HOLD",2025-09-02
124,"SYRMA","SYRMA","MID_CAP",760.3,0.53,4.45,NA,49.3,63.7,"STRONG_BULLISH",53.84,11,15,0,NA,1222033600.65,"WEAK_HOLD",2025-09-02
387,"AVANTEL","AVANTEL","MICRO_CAP",154.52,2.35,4.33,NA,49.3,64.9,"BULLISH",3.52,7,15,15,51.41,327830841.51,"WEAK_HOLD",2025-09-02
388,"AURIONPRO","AURIONPRO","MICRO_CAP",1315.2,1.79,0.24,NA,49.3,40.5,"BEARISH",5.23,6,15,15,51.69,327655128.7,"WEAK_HOLD",2025-09-02
413,"PARAGMILK","PARAGMILK","MICRO_CAP",246,6.87,7.57,NA,49.3,59.4,"BULLISH",20.27,11,16,0,NA,301114111.85,"WEAK_HOLD",2025-09-02
752,"DEEPINDS","DEEPINDS","MICRO_CAP",554.7,-0.77,4.21,NA,49.3,60.5,"STRONG_BULLISH",33.17,12,6,20,62.64,91874147.05,"WEAK_HOLD",2025-09-02
944,"CENTUM","CENTUM","MICRO_CAP",2769.6,-1.67,1.48,NA,49.3,63.7,"STRONG_BULLISH",25.78,12,6,20,64.92,48307203.6,"WEAK_HOLD",2025-09-02
1668,"AHLEAST","AHLEAST","MICRO_CAP",161.99,4.9,6.32,NA,49.3,59.4,"BULLISH",14.07,9,18,0,10,2472099.4,"WEAK_HOLD",2025-09-02
4,"SAMMAANCAP","SAMMAANCAP","LARGE_CAP",139.36,11.11,17.67,NA,48.7,68.5,"BULLISH",21.01,14,12,0,NA,11224099504.15,"WEAK_HOLD",2025-09-02
27,"NMDC","NMDC","LARGE_CAP",72.8,4.57,4.18,NA,48.7,58.9,"BULLISH",10.93,10,16,0,NA,3345797091.26,"WEAK_HOLD",2025-09-02
