"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN"
93,"CANBK","CANARA BANK","MID_CAP",103.83,-0.76,-5.55,-4.04,33.3,33.7,"BULLISH",-0.48,0,6,15,54.62,54.05,47,56.76,66,1459816824.16,"SELL","2025-08-29",0.7,0.333,0.3,0.4332,0.54656,-0.06498,5,-0.0974505098980204
237,"JISLJALEQS","JAIN IRRIGATION SYSTEMS","SMALL_CAP",49.65,2.27,0.02,-3.33,33.3,47.6,"BEARISH",-16.49,3,16,0,NA,NA,NA,NA,NA,537263869.82,"SELL","2025-08-29",1,0.333,0.3,0.5232,0.61856,-0.07848,6,-0.136061026352288
325,"PCJEWELLER","PC JEWELLER LTD","MICRO_CAP",13.11,0,-4.03,-13.69,33.3,39.5,"BEARISH",10.34,6,8,0,NA,NA,NA,NA,NA,367298493.69,"SELL","2025-08-29",0.7,0.333,0.7,0.5532,0.64256,-0.08298,7,-0.151755669348939
352,"CSBBANK","CSB BANK LIMITED","MICRO_CAP",362.6,-2.5,-10.02,-13.88,33.3,32.7,"BEARISH",-3.21,1,8,20,62.59,64.05,61,59.12,66,335215275.05,"SELL","2025-08-29",0.7,0.333,0.3,0.4332,0.54656,-0.06498,5,-0.0974505098980204
353,"FIRSTCRY","BRAINBEES SOLUTIONS LTD","MICRO_CAP",362.2,1.96,-5.63,4.34,33.3,45.4,"STRONG_BULLISH",1.43,2,10,0,NA,NA,NA,NA,NA,335114956.25,"SELL","2025-08-29",1,0.333,0.5,0.5832,0.66656,-0.08748,7,-0.169272445820433
381,"RELIGARE","RELIGARE ENTER. LTD.","MICRO_CAP",237.5,0.21,-5.38,-10.2,33.3,37.7,"BULLISH",8.23,3,8,0,NA,NA,NA,NA,NA,292768851.8,"SELL","2025-08-29",0.7,0.333,0.5,0.4932,0.59456,-0.07398,6,-0.121918259723138
449,"IPCALAB","IPCA LABORATORIES LTD","MICRO_CAP",1384.4,-2.4,-2.4,-9.49,33.3,45.8,"BEARISH",5.24,3,8,0,NA,NA,NA,NA,NA,217666952.9,"SELL","2025-08-29",1,0.333,0.5,0.5832,0.66656,-0.08748,7,-0.169272445820433
514,"THELEELA","SCHLOSS BANGALORE LIMITED","MICRO_CAP",399.45,0.71,-5.04,-5.5,33.3,34.2,"NEUTRAL",4.03,4,4,0,NA,NA,NA,NA,NA,172435998.7,"SELL","2025-08-29",0.7,0.333,0.5,0.4932,0.59456,-0.07398,6,-0.121918259723138
568,"LTGILTBEES","NIP IND ETF LONGTERM GILT","MICRO_CAP",28.59,-0.21,-0.03,-1,33.3,39,"BEARISH",2.54,2,12,0,NA,NA,NA,NA,NA,144165343.85,"SELL","2025-08-29",0.7,0.333,0.5,0.4932,0.59456,-0.07398,6,-0.121918259723138
622,"CARBORUNIV","CARBORUNDUM UNIVERSAL LTD","MICRO_CAP",911.6,0.93,-1.62,-4.52,33.3,49,"BEARISH",0.92,1,6,15,53.07,51.96,51,57.05,54.17,118704207.85,"SELL","2025-08-29",1,0.333,0.5,0.5832,0.66656,-0.08748,7,-0.169272445820433
