"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"TCS.NS","INE467B01029",2024-10-08,4272.6,4279.4,4203.95,4253.25,59.2,4272.85,1541867,"75484303.5",9786
"INFY.NS","INE009A01021",2024-10-09,1952.55,1977,1945.1,1952.75,1304.9,1948.55,4857163,"16701644.65",2806
"RELIANCE.NS","INE002A01018",2024-10-09,2795.05,2801.95,2745,2749.2,1304.9,2794.7,7155305,"16701644.65",2806
"TCS.NS","INE467B01029",2024-10-09,4260,4295,4246.7,4252.95,1304.9,4253.25,1082504,"16701644.65",2806
"INFY.NS","INE009A01021",2024-10-10,1957.9,1964,1914.1,1919,2446,1952.75,4782119,"269298840",13099
"RELIANCE.NS","INE002A01018",2024-10-10,2760.05,2772,2738.85,2742.1,2446,2749.2,11179323,"269298840",13099
"TCS.NS","INE467B01029",2024-10-10,4253.25,4293.85,4198.6,4227.4,2446,4252.95,2378875,"269298840",13099
"INFY.NS","INE009A01021",2024-10-11,1918,1947,1910.1,1935.1,3136.8,1919,4709431,"5204226016.4",106728
"RELIANCE.NS","INE002A01018",2024-10-11,2740,2766.55,2737.65,2744.2,3136.8,2742.1,3990061,"5204226016.4",106728
"TCS.NS","INE467B01029",2024-10-11,4143,4241.95,4112.45,4149.2,3136.8,4227.4,5759183,"5204226016.4",106728
"INFY.NS","INE009A01021",2024-10-14,1932.15,1969.5,1931.1,1958.9,660.7,1935.1,3751378,"1117389562.35",57738
"RELIANCE.NS","INE002A01018",2024-10-14,2758.9,2760.15,2736.5,2745.05,660.7,2744.2,6110716,"1117389562.35",57738
"TCS.NS","INE467B01029",2024-10-14,4140,4165.4,4122.2,4136.65,660.7,4149.2,2137590,"1117389562.35",57738
"INFY.NS","INE009A01021",2024-10-15,1960,1991.45,1951.75,1959.3,298.85,1958.9,5353705,"10365770",1404
"RELIANCE.NS","INE002A01018",2024-10-15,2717.05,2743.4,2681.4,2688.05,298.85,2745.05,16881397,"10365770",1404
"TCS.NS","INE467B01029",2024-10-15,4131.05,4169.95,4095,4116.8,298.85,4136.65,2759474,"10365770",1404
"INFY.NS","INE009A01021",2024-10-16,1955,1959.55,1916.35,1920.1,1014.3,1959.3,3111512,"307942627.45",20430
"RELIANCE.NS","INE002A01018",2024-10-16,2680,2728,2675.25,2708.15,1014.3,2688.05,10017219,"307942627.45",20430
"TCS.NS","INE467B01029",2024-10-16,4085,4115,4067.2,4094.95,1014.3,4116.8,2359151,"307942627.45",20430
"INFY.NS","INE009A01021",2024-10-17,1935.2,1978,1930.15,1968.1,335.1,1920.1,8162822,"117958777.4",8172
"RELIANCE.NS","INE002A01018",2024-10-17,2731.4,2736.9,2704.1,2712.85,335.1,2708.15,7771830,"117958777.4",8172
"TCS.NS","INE467B01029",2024-10-17,4112.8,4129.95,4092.95,4109,335.1,4094.95,2522659,"117958777.4",8172
"INFY.NS","INE009A01021",2024-10-18,1893.8,1936.85,1869.25,1879.6,58.59,1968.1,10526196,"79729.09",8
"RELIANCE.NS","INE002A01018",2024-10-18,2704.35,2736.85,2682.65,2718.6,58.59,2712.85,6041226,"79729.09",8
"TCS.NS","INE467B01029",2024-10-18,4090,4146.15,4080,4123.05,58.59,4109,2361000,"79729.09",8
"INFY.NS","INE009A01021",2024-10-21,1891.1,1898.8,1838,1852.75,338.2,1879.6,4654601,"2687720.25",501
"RELIANCE.NS","INE002A01018",2024-10-21,2734.25,2748,2715.45,2738.4,338.2,2718.6,7033704,"2687720.25",501
"TCS.NS","INE467B01029",2024-10-21,4132.6,4139.95,4070,4079.85,338.2,4123.05,1595450,"2687720.25",501
"INFY.NS","INE009A01021",2024-10-22,1858.2,1877.8,1846.95,1851.6,891,1852.75,4125240,"224331665.7",9092
"RELIANCE.NS","INE002A01018",2024-10-22,2738.4,2752,2680.45,2686.7,891,2738.4,7915980,"224331665.7",9092
"TCS.NS","INE467B01029",2024-10-22,4066,4089.8,4006.35,4015.5,891,4079.85,1928049,"224331665.7",9092
"INFY.NS","INE009A01021",2024-10-23,1845.25,1886,1844,1873.4,1693.7,1851.6,4311910,"159900978.1",16142
"RELIANCE.NS","INE002A01018",2024-10-23,2675,2714.95,2670,2677.05,1693.7,2686.7,8607371,"159900978.1",16142
"TCS.NS","INE467B01029",2024-10-23,3999.6,4113.55,3995.15,4066.25,1693.7,4015.5,1966476,"159900978.1",16142
"INFY.NS","INE009A01021",2024-10-24,1861.4,1884,1860,1863.35,1132.1,1873.4,2906475,"142184921.3",9061
"RELIANCE.NS","INE002A01018",2024-10-24,2670.55,2687.4,2646.25,2679.6,1132.1,2677.05,11077967,"142184921.3",9061
"TCS.NS","INE467B01029",2024-10-24,4004,4079,4004,4047.9,1132.1,4066.25,2676744,"142184921.3",9061
"INFY.NS","INE009A01021",2024-10-25,1863.45,1876.35,1846.4,1862.05,435.05,1863.35,4689120,"1155661.53",105
"RELIANCE.NS","INE002A01018",2024-10-25,2687,2688.7,2644,2655.7,435.05,2679.6,9298748,"1155661.53",105
"TCS.NS","INE467B01029",2024-10-25,4057.05,4092,4032.7,4057.55,435.05,4047.9,1759676,"1155661.53",105
"INFY.NS","INE009A01021",2024-10-28,1859.7,1881.9,1857,1865.35,865,1862.05,7018940,"62166289.65",5811
"RELIANCE.NS","INE002A01018",2024-10-28,1337,1353,1322.1,1334.35,865,2655.7,10824350,"62166289.65",5811
"TCS.NS","INE467B01029",2024-10-28,4068.95,4134,4051,4090.85,865,4057.55,1532534,"62166289.65",5811
"INFY.NS","INE009A01021",2024-10-29,1846,1851.6,1829,1839.3,216,1865.35,4621252,"405339.17",48
"RELIANCE.NS","INE002A01018",2024-10-29,1328.1,1343.2,1320.3,1340,216,1334.35,12008361,"405339.17",48
"TCS.NS","INE467B01029",2024-10-29,4095.85,4103.5,4060.1,4075.25,216,4090.85,1445885,"405339.17",48
"INFY.NS","INE009A01021",2024-10-30,1832,1839,1796.35,1802.1,2831,1839.3,5919715,"150059407.55",10357
"RELIANCE.NS","INE002A01018",2024-10-30,1335,1350,1325.35,1343.9,2831,1340,11984423,"150059407.55",10357
"TCS.NS","INE467B01029",2024-10-30,4075,4107,4060.05,4084.65,2831,4075.25,1935002,"150059407.55",10357
"INFY.NS","INE009A01021",2024-10-31,1787.9,1787.9,1746.5,1757.25,2802,1802.1,7395236,"175648791.75",13173
"RELIANCE.NS","INE002A01018",2024-10-31,1340,1343,1326.15,1332.05,2802,1343.9,9331650,"175648791.75",13173
"TCS.NS","INE467B01029",2024-10-31,4070,4078.3,3960,3968.45,2802,4084.65,3740372,"175648791.75",13173
"INFY.NS","INE009A01021",2024-11-01,1764.5,1766,1752.05,1760.85,929.5,1757.25,371966,"213238565.55",7587
"RELIANCE.NS","INE002A01018",2024-11-01,1333.05,1341.95,1333,1338.65,929.5,1332.05,2127335,"213238565.55",7587
"TCS.NS","INE467B01029",2024-11-01,3989.85,3998.95,3976.05,3984.2,929.5,3968.45,154895,"213238565.55",7587
"INFY.NS","INE009A01021",2024-11-04,1724.5,1767,1718,1763.65,724,1760.85,7336722,"638613447.75",35416
"RELIANCE.NS","INE002A01018",2024-11-04,1337.85,1340,1285.1,1302.15,724,1338.65,19796890,"638613447.75",35416
"TCS.NS","INE467B01029",2024-11-04,3966.3,3991.9,3913.25,3964.15,724,3984.2,2269192,"638613447.75",35416
"INFY.NS","INE009A01021",2024-11-05,1760,1768.45,1745,1754.2,831,1763.65,3160880,"68313196.95",5862
"RELIANCE.NS","INE002A01018",2024-11-05,1293,1309.55,1286.15,1305.3,831,1302.15,16267479,"68313196.95",5862
"TCS.NS","INE467B01029",2024-11-05,3941.1,3986,3941.1,3971.35,831,3964.15,967590,"68313196.95",5862
"INFY.NS","INE009A01021",2024-11-06,1764,1827.2,1762.65,1823.7,161.65,1754.2,10421494,"180360662.59",7593
"RELIANCE.NS","INE002A01018",2024-11-06,1310,1328.3,1300.2,1325.35,161.65,1305.3,21625209,"180360662.59",7593
"TCS.NS","INE467B01029",2024-11-06,4003.6,4149.8,3975.25,4139.65,161.65,3971.35,3792017,"180360662.59",7593
"INFY.NS","INE009A01021",2024-11-07,1812.95,1825.7,1787,1803.05,25.03,1823.7,4550965,"87096319",10221
"RELIANCE.NS","INE002A01018",2024-11-07,1324,1324,1302.6,1305.65,25.03,1325.35,9611974,"87096319",10221
"TCS.NS","INE467B01029",2024-11-07,4169.7,4205.8,4085.05,4150.9,25.03,4139.65,3724349,"87096319",10221
"INFY.NS","INE009A01021",2024-11-08,1818,1840.6,1813.15,1829.95,97.8,1803.05,4210960,"3087927.25",941
"RELIANCE.NS","INE002A01018",2024-11-08,1297.65,1301.65,1275,1283.75,97.8,1305.65,19814406,"3087927.25",941
"TCS.NS","INE467B01029",2024-11-08,4155,4169.75,4117.65,4147,97.8,4150.9,1648039,"3087927.25",941
"INFY.NS","INE009A01021",2024-11-11,1829,1868,1822.55,1860.1,734.3,1829.95,3804234,"436139528.35",27610
"RELIANCE.NS","INE002A01018",2024-11-11,1278.95,1286,1267,1272.7,734.3,1283.75,9056552,"436139528.35",27610
"TCS.NS","INE467B01029",2024-11-11,4128.2,4234.3,4117.65,4198.7,734.3,4147,1406487,"436139528.35",27610
"INFY.NS","INE009A01021",2024-11-12,1871.1,1881,1861,1868.8,2070,1860.1,5012450,"155964725.8",11692
"RELIANCE.NS","INE002A01018",2024-11-12,1275.55,1289.3,1267.5,1274.25,2070,1272.7,10671091,"155964725.8",11692
"TCS.NS","INE467B01029",2024-11-12,4216,4218,4164.35,4197.4,2070,4198.7,1587640,"155964725.8",11692
"INFY.NS","INE009A01021",2024-11-13,1861.1,1873.2,1856.3,1868.4,507.76,1868.8,4257495,"3592044.09",502
"RELIANCE.NS","INE002A01018",2024-11-13,1270.25,1275.45,1249.5,1252.05,507.76,1274.25,14633633,"3592044.09",502
"TCS.NS","INE467B01029",2024-11-13,4178.1,4196.75,4131.05,4150.35,507.76,4197.4,1098813,"3592044.09",502
"INFY.NS","INE009A01021",2024-11-14,1865.6,1876,1856,1864.55,485,1868.4,4311431,"20247630.55",3140
"RELIANCE.NS","INE002A01018",2024-11-14,1253.6,1272.6,1251.1,1267.6,485,1252.05,12612633,"20247630.55",3140
"TCS.NS","INE467B01029",2024-11-14,4135,4160,4116.45,4145.9,485,4150.35,1825432,"20247630.55",3140
"INFY.NS","INE009A01021",2024-11-18,1849.2,1849.2,1795,1811.45,1240,1864.55,4839244,"2054910139.25",84630
"RELIANCE.NS","INE002A01018",2024-11-18,1267.6,1272.9,1243.9,1260.75,1240,1267.6,13620611,"2054910139.25",84630
"TCS.NS","INE467B01029",2024-11-18,4213,4213,3990.2,4019.5,1240,4145.9,3313944,"2054910139.25",84630
"INFY.NS","INE009A01021",2024-11-19,1825.5,1859.7,1820.55,1824.75,580.65,1811.45,4669769,"1271704455.15",46464
"RELIANCE.NS","INE002A01018",2024-11-19,1260.75,1281.5,1235.15,1241.65,580.65,1260.75,14183746,"1271704455.15",46464
"TCS.NS","INE467B01029",2024-11-19,4019.9,4132.15,4014.1,4039.55,580.65,4019.5,1776233,"1271704455.15",46464
"INFY.NS","INE009A01021",2024-11-21,1842,1867,1820.6,1834.05,53.9,1824.75,5436504,"1184596.66",718
"RELIANCE.NS","INE002A01018",2024-11-21,1241.65,1243.95,1217.25,1223,53.9,1241.65,19433843,"1184596.66",718
"TCS.NS","INE467B01029",2024-11-21,4044.9,4092.45,4024,4072.85,53.9,4039.55,2384347,"1184596.66",718
"INFY.NS","INE009A01021",2024-11-22,1854.1,1914.05,1834,1902.25,22.49,1834.05,6301486,"71946808.7",9053
"RELIANCE.NS","INE002A01018",2024-11-22,1229.4,1268.85,1222.45,1265.4,22.49,1223,20471957,"71946808.7",9053
"TCS.NS","INE467B01029",2024-11-22,4071,4254.95,4054,4244.6,22.49,4072.85,3096553,"71946808.7",9053
