"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"DSPQ50ETF",210.4,210.905,207.5766,199.61,188.72775,FALSE,TRUE,TRUE,TRUE
"DSPSILVETF",68.09,70.0450000000001,71.3424,71.0413,71.30765,FALSE,FALSE,FALSE,FALSE
"DSSL",1011.2,962.842500000001,941.770999999999,955.7455,1013.24225,TRUE,TRUE,TRUE,FALSE
"DTIL",151.41,158.863,160.968,175.1903,182.1819,FALSE,FALSE,FALSE,FALSE
"DUCON",3.39,3.53649999999999,4.1894,4.8073,5.38600000000001,FALSE,FALSE,FALSE,FALSE
"DVL",273.6,280.4525,301.756,326.7365,333.97,FALSE,FALSE,FALSE,FALSE
"DWARKESH",34.69,37.4,40.4082,41.2362,42.7389500000001,FALSE,FALSE,FALSE,FALSE
"DYCL",308.2,326.982500000001,358.445,387.4465,535.66325,FALSE,FALSE,FALSE,FALSE
"DYNAMATECH",8953.5,9126.475,8894.22,7885.02500000001,7306.93775,FALSE,TRUE,TRUE,TRUE
"DYNPRO",229.6,253.9475,276.651,315.7235,305.778,FALSE,FALSE,FALSE,FALSE
"E2E",2226.5,2072.245,2505.322,2657.514,2528.26175,TRUE,FALSE,FALSE,FALSE
"EASEMYTRIP",7.01,7.47599999999998,7.64979999999993,8.12119999999991,9.77310000000005,FALSE,FALSE,FALSE,FALSE
"EBBETF0425",1290.83,1286.844,1280.601,1271.3964,1252.6811,TRUE,TRUE,TRUE,TRUE
"EBBETF0430",1560.48,1562.7395,1560.0908,1547.4208,1526.7808,FALSE,TRUE,TRUE,TRUE
"EBBETF0431",1392.86,1397.559,1395.4454,1384.3085,1366.4414,FALSE,FALSE,TRUE,TRUE
"EBBETF0433",1274.42,1274.7365,1273.1644,1262.8337,1249.21745,FALSE,TRUE,TRUE,TRUE
"ECLERX",4631.1,4680.505,4590.112,4380.747,3755.59324999999,FALSE,TRUE,TRUE,TRUE
"EDELWEISS",108.14,107.405,111.3696,109.6259,103.8589,TRUE,FALSE,FALSE,TRUE
"EICHERMOT",7315,7326.075,7111.71,6796.815,6119.7155,FALSE,TRUE,TRUE,TRUE
"EIDPARRY",931,997.415,1023.19,1061.095,1002.6185,FALSE,FALSE,FALSE,FALSE
"EIFFL",281.15,245.84,234.4952,229.7966,209.64415,TRUE,TRUE,TRUE,TRUE
"EIHAHOTELS",341.3,351.887499999999,364.115,377.607499999999,374.47375,FALSE,FALSE,FALSE,FALSE
"EIHOTEL",340.85,363.5,375.332,382.862,375.75575,FALSE,FALSE,FALSE,FALSE
"EIMCOELECO",1546.3,1590.67,1676.026,1891.156,1982.111,FALSE,FALSE,FALSE,FALSE
"EKC",108.72,114.807,127.4586,133.7958,131.21155,FALSE,FALSE,FALSE,FALSE
"ELDEHSG",876.8,925.967499999999,877.407,824.720500000001,801.9215,FALSE,FALSE,TRUE,TRUE
"ELECON",391.9,465.239999999999,506.644,540.128,559.0315,FALSE,FALSE,FALSE,FALSE
"ELECTCAST",76.47,72.6315,79.2620000000001,89.0820000000002,99.2235000000002,TRUE,FALSE,FALSE,FALSE
