INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Private Bank,50.94,53,INDUSINDBK,INDUSIND BANK LIMITED,MID_CAP,848.25,-1.76,6.4,14.61,47.3,69.2,BULLISH,8.59,11,8,0,NA,NA,NA,NA,NA,3821865283.1,WEAK_HOLD,2025-11-14
Nifty Private Bank,50.94,37,KOTAKBANK,KOTAK MAHINDRA BANK LTD,LARGE_CAP,2079.7,0.22,-0.41,-3.25,34.7,42.6,BEARISH,-0.02,1,15,0,NA,NA,NA,NA,NA,5063050020.5,SELL,2025-11-14
Nifty Metal,50.8,57,VEDL,VEDANTA LIMITED,MID_CAP,525.35,-0.8,2,8.76,52.7,65.6,STRONG_BULLISH,18.78,13,12,0,NA,NA,NA,NA,NA,3565272200.25,HOLD,2025-11-14
Nifty Metal,50.8,114,SAIL,STEEL AUTHORITY OF INDIA,MID_CAP,141.99,-1.89,0.7,8.98,51.3,60.9,STRONG_BULLISH,13.55,11,12,0,NA,NA,NA,NA,NA,1913737045.9,HOLD,2025-11-14
Nifty Metal,50.8,140,JINDALSTEL,JINDAL STEEL LIMITED,MID_CAP,1076.2,-1.07,0.59,7.47,51.3,57.5,STRONG_BULLISH,7.67,9,12,0,NA,NA,NA,NA,NA,1520170595.9,HOLD,2025-11-14
Nifty Metal,50.8,27,TATASTEEL,TATA STEEL LIMITED,LARGE_CAP,174.26,-1.35,-3.92,0.59,50.7,45.1,STRONG_BULLISH,6.69,8,12,0,NA,NA,NA,NA,NA,6669935058.64,HOLD,2025-11-14
Nifty Metal,50.8,164,JSWSTEEL,JSW STEEL LIMITED,SMALL_CAP,1167.8,-1.36,-0.33,0.6,48,50.3,STRONG_BULLISH,7.64,7,12,0,NA,NA,NA,NA,NA,1236270026.8,WEAK_HOLD,2025-11-14
Nifty Infrastructure,48.54,66,BHEL,BHEL,MID_CAP,281.6,0.04,6.73,19.42,58,72.5,BULLISH,29.26,15,10,15,53.94,54.13,47,55.45,63,3331303998.4,HOLD,2025-11-14
Nifty Infrastructure,48.54,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
Nifty Infrastructure,48.54,59,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1512.7,0.91,4.45,4.27,52.7,67.7,STRONG_BULLISH,9.11,7,11,0,10,10,10,10,10,3547158780,HOLD,2025-11-14
Nifty Infrastructure,48.54,20,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,4004.4,0.05,3.14,4.59,52,66.2,STRONG_BULLISH,5.09,8,11,0,NA,NA,NA,NA,NA,7657038797.5,HOLD,2025-11-14
Nifty Infrastructure,48.54,211,SIEMENS,SIEMENS LTD,SMALL_CAP,3084.2,0.59,1.67,-1.1,25.3,46.6,BEARISH,-5.44,1,10,0,NA,NA,NA,NA,NA,876607868.8,SELL,2025-11-14
Nifty FMCG,40.42,294,RADICO,RADICO KHAITAN LTD,SMALL_CAP,3259.9,2.28,-1.54,10.44,48,58.5,STRONG_BULLISH,8.17,11,10,0,NA,NA,NA,NA,NA,530128296.6,WEAK_HOLD,2025-11-14
Nifty FMCG,40.42,117,MARICO,MARICO LIMITED,MID_CAP,738.7,2.31,3.81,4.01,42.7,63.7,BULLISH,-4.34,4,14,0,NA,NA,NA,NA,NA,1871881475.3,WEAK_HOLD,2025-11-14
Nifty FMCG,40.42,108,TATACONSUM,TATA CONSUMER PRODUCT LTD,MID_CAP,1157.8,0.26,-0.81,3.91,40.7,51.1,BULLISH,2.56,4,9,0,NA,NA,NA,NA,NA,2120585737.2,WEAK_HOLD,2025-11-14
Nifty FMCG,40.42,214,NESTLEIND,NESTLE INDIA LIMITED,SMALL_CAP,1271.6,-0.28,0.7,4.11,36,54,BEARISH,3.87,3,12,0,NA,NA,NA,NA,NA,857206387.4,WEAK_HOLD,2025-11-14
Nifty FMCG,40.42,200,DABUR,DABUR INDIA LTD,SMALL_CAP,525,0.54,1.22,6.46,34.7,59.6,BULLISH,-5.37,3,6,15,51.29,50.22,47,54.77,56.67,936977646.35,SELL,2025-11-14
