"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"ALLCARGO.NS","INE418H01029",2025-08-01,34.98,35.16,34.16,34.35,236.5,34.97,1665700,"48729806.54",5068
"ALLDIGI.NS","INE835G01018",2025-08-01,996,1045.05,996,1029.1,236.5,995.25,25699,"48729806.54",5068
"ALMONDZ.NS","INE326B01035",2025-08-01,21.6,22.11,21.28,21.51,236.5,21.37,75563,"48729806.54",5068
"ALOKINDS.NS","INE270A01029",2025-08-01,18.99,19.11,18.6,18.7,236.5,19,7109524,"48729806.54",5068
"ALPA.NS","INE385I01010",2025-08-01,101.01,102.55,95.9,97.56,236.5,101.01,28352,"48729806.54",5068
"ALPHA.NS","INF174KA1IA5",2025-08-01,49.82,50.1,49.21,49.45,236.5,49.97,843744,"48729806.54",5068
"ALPHAETF.NS","INF769K01KU7",2025-08-01,24.93,24.98,24.52,24.58,236.5,24.96,465749,"48729806.54",5068
"ALPHAGEO.NS","INE137C01018",2025-08-01,262.05,264.3,245.35,253.9,236.5,260.5,8190,"48729806.54",5068
"ALPL30IETF.NS","INF109KC17V7",2025-08-01,27.19,27.31,26.8,26.88,236.5,27.19,296540,"48729806.54",5068
"AMBER.NS","INE371P01015",2025-08-01,7965,8173.5,7850,7871,236.5,7963.5,466497,"48729806.54",5068
"AMBICAAGAR.NS","INE792B01012",2025-08-01,26.86,27.3,26.86,27.27,236.5,27,2818,"48729806.54",5068
"AMBIKCO.NS","INE540G01014",2025-08-01,1547.1,1565,1491.1,1498.2,236.5,1558.2,12067,"48729806.54",5068
"AMBUJACEM.NS","INE079A01024",2025-08-01,594.85,615.35,588.75,607.95,236.5,592.7,4599912,"48729806.54",5068
"AMDIND.NS","INE005I01014",2025-08-01,51.7,51.85,50.2,50.44,236.5,50.64,3709,"48729806.54",5068
"AMJLAND.NS","INE606A01024",2025-08-01,60.5,62.25,58.55,60.31,236.5,60.21,51241,"48729806.54",5068
"AMNPLST.NS","INE275D01022",2025-08-01,225.53,229.9,224.01,227.6,236.5,226.23,780,"48729806.54",5068
"AMRUTANJAN.NS","INE098F01031",2025-08-01,670,688,658.15,679.6,236.5,660.2,20808,"48729806.54",5068
"ANANDRATHI.NS","INE463V01026",2025-08-01,2645,2648.5,2569.7,2601.1,236.5,2645.6,96658,"48729806.54",5068
"ANANTRAJ.NS","INE242C01024",2025-08-01,562.9,572,561.15,563.85,236.5,564.6,1134453,"48729806.54",5068
"ANDHRAPAP.NS","INE435A01051",2025-08-01,77,78.99,75.89,78.43,236.5,77,142589,"48729806.54",5068
"ANDHRSUGAR.NS","INE715B01021",2025-08-01,77.82,78.5,76.2,76.43,236.5,77.75,105317,"48729806.54",5068
"ANGELONE.NS","INE732I01013",2025-08-01,2599,2614.8,2562,2569.8,236.5,2600.9,429035,"48729806.54",5068
"ANIKINDS.NS","INE087B01017",2025-08-01,96.12,96.12,95,95.75,236.5,97.45,911,"48729806.54",5068
"ANMOL.NS","INE02AR01019",2025-08-01,15.5,15.65,15.25,15.32,236.5,15.39,24235,"48729806.54",5068
"ANTGRAPHIC.NS","INE414B01021",2025-08-01,1.25,1.25,1.21,1.21,236.5,1.24,320366,"48729806.54",5068
"ANTHEM.NS","INE0CZ201020",2025-08-01,759,765.8,732,738.4,236.5,759.15,1138993,"48729806.54",5068
"ANUHPHR.NS","INE489G01022",2025-08-01,98.85,98.85,95.1,95.9,236.5,97.03,37928,"48729806.54",5068
"ANUP.NS","INE294Z01018",2025-08-01,2664,2676,2595,2609.9,236.5,2645.3,14015,"48729806.54",5068
"ANURAS.NS","INE930P01018",2025-08-01,1142,1147,1125,1136.6,236.5,1133.4,77174,"48729806.54",5068
"AONELIQUID.NS","INF1J2R01056",2025-08-01,1019.37,1019.39,1019.37,1019.38,236.5,1018.94,25213,"48729806.54",5068
"AONENIFTY.NS","INF1J2R01064",2025-08-01,10.44,10.44,10,10.06,236.5,10.14,347436,"48729806.54",5068
"AONETOTAL.NS","INF1J2R01015",2025-08-01,11.62,11.67,11.47,11.5,236.5,11.62,754132,"48729806.54",5068
"APARINDS.NS","INE372A01015",2025-08-01,8900,8925,8684.5,8782.5,236.5,8907.5,117069,"48729806.54",5068
