"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","MAX_DRAWDOWN","SHARPE_RATIO","PROFIT_FACTOR"
1131,"BHAGERIA","BHAGERIA INDUSTRIES LTD","MICRO_CAP",192.43,3.05,7.71,-4.92,64.7,60.3,"BEARISH",6.91,8,16,15,52.11,49.57,51,54.55,57.5,19400906.73,"HOLD","2025-08-29",1,0.647,0.6,0.7388,"High",0.621379769034684,-0.0239663436892442,7,-0.0632991629320507,"Poor",0.210536610009149,0.385268797120079,1.39388500489295
11,"HBLENGINE","HBL ENGINEERING LTD","LARGE_CAP",807.1,3.36,0.81,38.63,64,77.2,"STRONG_BULLISH",42.93,16,14,0,NA,NA,NA,NA,NA,6945891267.05,"HOLD","2025-08-29",0.7,0.64,1,0.766,"High",0.64049385865219,0.0482825092156418,5,0.134302321052507,"Fair",0.242211724934168,0.56385043845512,1.42594466283917
19,"BRITANNIA","BRITANNIA INDUSTRIES LTD","LARGE_CAP",5824,1.8,5.02,1.34,64,60.4,"BULLISH",8.09,5,13,15,52.36,51.96,47,54.77,59.17,4075925105,"HOLD","2025-08-29",1,0.64,0.6,0.736,"High",0.467324596783146,0.0285618059337139,4,0.0536195321977094,"Fair",0.115664098237175,0.696677507134154,0.584413681225851
76,"CUMMINSIND","CUMMINS INDIA LTD","MID_CAP",3826.2,-0.23,-2.29,6.82,64,62.7,"STRONG_BULLISH",20.31,11,12,15,53.02,50.65,51,55.68,59.17,1663575607.8,"HOLD","2025-08-29",1,0.64,1,0.856,"Very High",0.572934428602457,0.0731066522188485,8,0.171183670881293,"Moderate",0.116757354349829,0.574176339432597,1.30556550784968
342,"AADHARHFC","AADHAR HOUSING FINANCE L","MICRO_CAP",502.95,1.2,-3.62,-0.91,64,51.1,"STRONG_BULLISH",17.85,9,11,15,52.3,51.19,47,57.63,57,341288966.3,"HOLD","2025-08-29",1,0.64,0.8,0.796,"High",0.530389934126288,0.0308935804641806,8,0.0657856010958855,"Fair",0.171453408792149,0.850434944964945,1.18481746199541
441,"MAHSCOOTER","MAHARASHTRA SCOOTERS LTD","MICRO_CAP",15876,0.98,1.86,0.51,64,60.4,"STRONG_BULLISH",15.23,12,15,0,NA,NA,NA,NA,NA,224473933,"HOLD","2025-08-29",1,0.64,0.8,0.796,"High",0.483933379501104,0.0455876408726908,6,0.0883367361148451,"Fair",0.228558366303332,0.991993626579642,1.17507236378733
851,"AVL","ADITYA VISION LIMITED","MICRO_CAP",503.15,1.29,0.18,27.96,64,69.7,"BULLISH",48.68,15,6,25,73.11,74.35,86,59.86,66,51383531.85,"HOLD","2025-08-29",1,0.64,1,0.856,"Very High",0.616391527187079,0.0440797571325675,7,0.114908194830369,"Fair",0.0780161783564836,0.93900207686238,1.43832688201219
96,"RELAXO","RELAXO FOOT LTD.","MID_CAP",477.6,6.68,0.16,-1.11,63.3,55.8,"BULLISH",17.71,13,16,0,NA,NA,NA,NA,NA,1445836103.45,"HOLD","2025-08-29",1,0.633,0.8,0.7932,"High",0.583579616481438,-0.045835847419221,4,-0.110071094579783,"Poor",0.202386588102672,0.546332386601716,1.17078362544999
3,"RBLBANK","RBL BANK LIMITED","LARGE_CAP",261.05,4.07,3.12,-0.27,62.7,54.5,"BULLISH",17.86,13,15,0,NA,NA,NA,NA,NA,17202268204.25,"HOLD","2025-08-29",1,0.627,0.8,0.7908,"High",0.553742895787582,-0.0382117951754481,4,-0.0856273094921067,"Poor",0.235339117189869,0.454364612116478,1.01215340592898
150,"LALPATHLAB","DR. LAL PATH LABS LTD.","MID_CAP",3308.9,-0.43,-1.96,6.77,62.7,58.1,"STRONG_BULLISH",17.23,16,10,0,NA,NA,NA,NA,NA,958273634.5,"HOLD","2025-08-29",1,0.627,0.8,0.7908,"High",0.555340893287212,0.0563168691005558,6,0.126651783917993,"Moderate",0.238041574507952,0.686976567143574,1.41185313113965
