symbol,inputs,company_name,sector,mcap,price,stage,signal,trend,portfolio_score,investment_score,technical_score,enhanced_fund_score,relative_strength,chg_1d,chg_1w,chg_1m,rsi_snapshot,rsi_tech,adx,macd,supertrend,above_sma20,above_sma50,above_sma200,pct_from_52h,52w_high,52w_low,rating,snapshot_error,tech_error
TMPV,TATA MOTORS PASS VEH LTD,TMPV,Other,SMALL_CAP,381.0,STAGE_1,HOLD,BULLISH,49.7,53.0,54.7,47.98,14.29,-1.75,-4.31,13.11,61.1,54.7,39.2,bearish,SELL,True,True,,-9.1,419.0,294.3,HOLD / WATCH,,
AAATECH,AAA TECHNOLOGIES LIMITED,AAATECH,—,—,94.71,STAGE_3,HOLD,MIXED,49.4,70.0,70.0,,-3.37,-0.42,2.76,-3.37,50.4,50.4,33.3,bullish,SELL,True,False,True,-30.4,136.0,76.11,HOLD / WATCH,,
SIEMENS,SIEMENS LTD,SIEMENS,MNC,LARGE_CAP,3582.7,STAGE_1,HOLD,STRONG_BULLISH,48.6,49.6,54.0,51.32,9.98,-1.02,-3.42,0.23,43.2,44.3,19.3,bearish,SELL,False,False,True,-9.0,3937.3,2788.3,HOLD / WATCH,,
GEOJITFSL,GEOJIT FINANCIAL SER L,GEOJITFSL,—,—,72.24,STAGE_1,HOLD,MIXED,47.7,55.0,55.0,,3.41,-2.23,-0.5,3.41,51.0,51.0,21.8,bearish,SELL,False,True,True,-23.8,94.79,50.86,HOLD / WATCH,,
SUZLON,SUZLON ENERGY LIMITED,SUZLON,—,—,54.08,STAGE_1,HOLD,MIXED,47.3,55.0,55.0,,1.46,-2.08,-0.59,1.46,50.7,50.7,16.8,bearish,SELL,False,True,True,-27.2,74.3,38.19,HOLD / WATCH,,
GENSOL,GENSOL ENGINEERING LTD,GENSOL,—,—,24.92,STAGE_1,HOLD,MIXED,45.2,45.0,45.0,,19.23,,19.87,19.23,77.4,77.4,69.1,bullish,SELL,True,True,False,-64.5,70.2,18.16,HOLD / WATCH,,
COALINDIA,COAL INDIA LTD,COALINDIA,PSU / CPSE,SMALL_CAP,451.0,STAGE_1,WEAK_HOLD,STRONG_BULLISH,43.7,49.4,40.7,71.16,-3.89,-3.41,-4.51,-2.6,44.9,41.8,16.8,bearish,SELL,False,False,True,-8.2,491.25,368.65,HOLD / WATCH,,
GUFICBIO,GUFIC BIOSCIENCES LTD.,GUFICBIO,Other,SMALL_CAP,364.05,STAGE_1,WEAK_HOLD,STRONG_BULLISH,43.7,48.3,48.0,,18.01,-5.88,0.58,22.8,75.9,65.2,69.0,bullish,SELL,True,True,True,-10.7,407.85,268.0,HOLD / WATCH,,
ATLANTAELE,ATLANTA ELECTRICALS LTD,ATLANTAELE,—,—,2050.1,UNKNOWN,HOLD,MIXED,43.5,65.0,65.0,,23.0,5.0,14.6,23.0,72.3,72.3,39.8,bullish,SELL,True,True,,-0.4,2058.0,707.6,HOLD / WATCH,,
QUADFUTURE,QUADRANT FUTURE TEK LTD,QUADFUTURE,Other,SMALL_CAP,338.4,STAGE_1,WEAK_HOLD,BULLISH,41.1,45.6,46.0,,10.65,-1.36,5.4,11.72,78.5,65.0,60.1,bullish,SELL,True,True,True,-36.3,531.0,248.55,HOLD / WATCH,,
PPLPHARMA,PIRAMAL PHARMA LIMITED,PPLPHARMA,Other,MICRO_CAP,164.07,STAGE_1,WEAK_HOLD,BULLISH,39.2,42.3,42.0,,10.77,-2.84,-1.76,-7.07,31.0,43.4,18.2,bearish,SELL,False,True,False,-27.4,226.0,132.3,HOLD / WATCH,,
PCBL,PCBL CHEMICAL LIMITED,PCBL,Chemicals & Specialty,SMALL_CAP,287.15,STAGE_1,WEAK_HOLD,STRONG_BULLISH,37.3,45.7,38.7,,0.91,1.14,-1.29,3.31,44.1,50.0,14.3,bearish,SELL,True,True,False,-34.3,437.3,226.5,HOLD / WATCH,,
DEEPAKNTR,DEEPAK NITRITE LTD,DEEPAKNTR,—,—,1664.7,STAGE_1,HOLD,MIXED,37.2,40.0,40.0,,-10.67,-0.81,-2.01,-10.67,42.8,42.8,40.2,bearish,SELL,False,True,True,-23.4,2174.0,1280.0,HOLD / WATCH,,
SHALBY,SHALBY LIMITED,SHALBY,—,—,165.87,STAGE_1,HOLD,MIXED,36.5,35.0,35.0,,0.25,-1.9,-5.87,0.25,47.3,47.3,18.6,bearish,SELL,False,True,False,-39.6,274.7,125.82,HOLD / WATCH,,
ASHIMASYN,ASHIMA LTD,ASHIMASYN,—,—,16.07,STAGE_1,HOLD,MIXED,36.0,35.0,35.0,,-2.49,-0.62,-3.25,-2.49,48.5,48.5,17.9,bearish,SELL,False,True,False,-55.1,35.8,11.5,HOLD / WATCH,,
JPPOWER,JAIPRAKASH POWER VEN. LTD,JPPOWER,—,—,18.0,STAGE_3,HOLD,MIXED,23.1,20.0,20.0,,-2.33,-3.12,-6.88,-2.33,44.4,44.4,17.4,bearish,SELL,False,False,True,-35.0,27.7,12.52,AVOID / REVIEW EXIT,,
MCX,MULTI COMMODITY EXCHANGE,MCX,Capital Markets,LARGE_CAP,2743.8,STAGE_1,SELL,BULLISH,23.0,41.2,31.3,,5.77,-2.87,-3.17,-13.09,13.9,34.8,52.6,bearish,SELL,False,False,True,-21.2,3480.0,1400.0,AVOID / REVIEW EXIT,,
SIKA,SIKA INTERPLANT SYSTEMS L,SIKA,—,—,904.75,UNKNOWN,HOLD,MIXED,22.0,35.0,35.0,,-7.84,-1.03,0.13,-7.84,48.8,48.8,21.4,bullish,SELL,False,,,-24.6,1199.8,870.1,HOLD / WATCH,,
TATACAP,TATA CAPITAL LIMITED,TATACAP,Other,SMALL_CAP,321.3,STAGE_1,SELL,BEARISH,21.6,47.6,28.7,,-6.71,-0.48,3.95,3.83,65.6,56.8,26.6,bullish,SELL,True,True,,-12.5,367.3,296.0,AVOID / REVIEW EXIT,,
MRPL,MRPL,MRPL,PSU / CPSE,MICRO_CAP,163.62,STAGE_1,SELL,BEARISH,20.3,44.1,34.0,,-17.64,2.05,6.14,6.16,68.5,57.3,26.4,bullish,SELL,True,False,True,-22.9,212.31,120.0,AVOID / REVIEW EXIT,,
ONGC,OIL AND NATURAL GAS CORP.,Oil and Natural Gas Corporation Limited,PSU / CPSE,SMALL_CAP,251.9,STAGE_1,SELL,BEARISH,19.3,29.3,24.7,64.8,-12.31,-2.74,-5.92,-14.47,10.3,25.3,46.8,bearish,SELL,False,False,False,-18.1,307.5,228.45,AVOID / REVIEW EXIT,,
IRB,IRB INFRA DEV LTD.,IRB,—,—,20.52,STAGE_1,HOLD,MIXED,17.2,0.0,,,-3.71,0.05,-3.57,-3.71,41.5,41.5,17.9,bearish,SELL,False,False,False,-24.4,27.14,19.15,AVOID / REVIEW EXIT,,
KPEL,K.P. ENERGY LIMITED,KPEL,Other,SMALL_CAP,340.9,STAGE_4,WEAK_HOLD,BULLISH,17.2,52.5,38.7,,18.29,-1.33,-3.5,-5.09,39.4,43.3,22.0,bearish,SELL,False,False,False,-41.6,583.7,237.9,AVOID / REVIEW EXIT,,
UMESLTD,USHA MARTIN EDU & SOL LTD,UMESLTD,—,—,5.04,STAGE_1,HOLD,MIXED,16.7,5.0,5.0,,-21.5,4.56,-7.69,-21.5,33.9,33.9,63.9,bearish,SELL,False,False,False,-29.4,7.14,3.88,AVOID / REVIEW EXIT,,
DCXINDIA,DCX SYSTEMS LIMITED,DCXINDIA,Defence & Aerospace,MICRO_CAP,181.87,STAGE_4,WEAK_HOLD,BULLISH,16.6,46.2,40.0,62.14,1.15,-4.26,-8.16,-7.64,42.0,39.9,23.0,bearish,SELL,False,False,False,-50.0,363.75,153.3,AVOID / REVIEW EXIT,,
