INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty 100,35.88,LT,LT,LARGE_CAP,4023,0.36,-1.78,8.05,36,42.1,NA,6,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 100,35.88,SBIN,State Bank of India,LARGE_CAP,1092,-0.36,0.47,5.98,34,57.2,NA,2,10,NA,STRONG_BULLISH,SELL
Nifty 100,35.88,NESTLEIND,Nestle India Limited,LARGE_CAP,1476,-0.68,0.71,20.71,32.7,91.4,NA,11,8,NA,STRONG_BULLISH,SELL
Nifty Consumer Durables,33.6,ORIENTELEC,ORIENTELEC,MICRO_CAP,192.09,4.57,3.19,23.96,44.7,70.2,NA,14,16,NA,BULLISH,WEAK_HOLD
Nifty Consumer Durables,33.6,TITAN,TITAN,LARGE_CAP,4307.5,-1.2,-2.98,1.82,36.7,31.6,NA,6,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Consumer Durables,33.6,CROMPTON,CROMPTON,SMALL_CAP,290.75,2.36,5.34,23.96,33.3,71.3,NA,10,6,NA,STRONG_BULLISH,SELL
Nifty Consumer Durables,33.6,BLUESTARCO,BLUESTARCO,LARGE_CAP,1748.6,-3.21,-4.83,13.51,27.3,39.2,NA,8,8,NA,STRONG_BEARISH,SELL
Nifty Consumer Durables,33.6,VOLTAS,VOLTAS,LARGE_CAP,1363.9,-1.14,-7.52,11.78,26,44.2,NA,3,8,NA,STRONG_BULLISH,SELL
Nifty Realty,31.32,DLF,DLF,MID_CAP,618.85,1.52,4.1,15.87,35.3,61.1,NA,6,15,NA,BULLISH,WEAK_HOLD
Nifty Realty,31.32,BRIGADE,BRIGADE,MID_CAP,773.15,-4.43,-3.05,11.81,34,60.7,NA,7,8,NA,BULLISH,SELL
Nifty Realty,31.32,PRESTIGE,PRESTIGE,MID_CAP,1483.5,1.94,3.47,21.39,32,74.4,NA,8,8,NA,BULLISH,SELL
Nifty Realty,31.32,GODREJPROP,GODREJPROP,LARGE_CAP,1878.6,0.61,0.88,17.05,29.3,63.2,NA,8,11,NA,BULLISH,SELL
Nifty Realty,31.32,SUNTECK,SUNTECK,MICRO_CAP,348.15,-0.9,-1.93,15.72,26,55.3,NA,8,8,NA,STRONG_BEARISH,SELL
Nifty Oil & Gas,30.66,PETRONET,PETRONET,SMALL_CAP,282.1,-0.42,0.71,10.59,36,63.7,NA,7,10,NA,STRONG_BEARISH,WEAK_HOLD
Nifty Oil & Gas,30.66,ONGC,Oil and Natural Gas Corporation Limited,SMALL_CAP,283.9,1.1,-5.81,-0.96,32,51.2,NA,5,6,NA,STRONG_BULLISH,SELL
Nifty Oil & Gas,30.66,RELIANCE,Reliance Industries Limited,LARGE_CAP,1436.2,-0.12,0.76,10.09,31.3,69.4,NA,6,8,NA,BULLISH,SELL
Nifty Oil & Gas,30.66,GAIL,GAIL,MICRO_CAP,167.26,0.95,0.97,15.05,27.3,71.2,NA,6,13,NA,BULLISH,SELL
Nifty Oil & Gas,30.66,OIL,OIL,SMALL_CAP,452.85,0.58,-8.12,-6.03,26.7,45.3,NA,1,6,NA,STRONG_BULLISH,SELL
Nifty Private Bank,30,RBLBANK,RBL Bank Limited,SMALL_CAP,345.75,2.95,1.33,10.6,34.7,67.4,NA,8,9,NA,STRONG_BULLISH,SELL
Nifty Private Bank,30,FEDERALBNK,Federal Bank Limited,SMALL_CAP,297.05,1.38,4.32,7.96,32.7,66.6,NA,6,8,NA,STRONG_BULLISH,SELL
Nifty Private Bank,30,BANDHANBNK,BANDHANBNK,SMALL_CAP,207.63,-0.6,4.7,39.23,29.3,84.6,NA,15,4,NA,STRONG_BULLISH,SELL
Nifty Private Bank,30,INDUSINDBK,INDUSINDBK,MID_CAP,946.95,0.02,3.63,20.66,29.3,76.5,NA,10,6,NA,STRONG_BULLISH,SELL
Nifty Private Bank,30,HDFCBANK,HDFC Bank Limited,MID_CAP,796.05,-0.06,2.19,3.12,24,50.3,NA,1,12,NA,STRONG_BEARISH,SELL
Nifty Bank,28.400000000000002,SBIN,State Bank of India,LARGE_CAP,1092,-0.36,0.47,5.98,34,57.2,NA,2,10,NA,STRONG_BULLISH,SELL
Nifty Bank,28.400000000000002,FEDERALBNK,Federal Bank Limited,SMALL_CAP,297.05,1.38,4.32,7.96,32.7,66.6,NA,6,8,NA,STRONG_BULLISH,SELL
