MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,925AEL26,SEC RE NCD 9.25% SR I,      1054.84,      1059.00,      1059.00,      1059.00,      1059.00,                   105900.00,100,N, ,4,      1102.00,       985.22
N,N1,960ISFL25,SEC RE NCD 9.60% SR 2,      1050.20,      1058.20,      1058.20,      1058.20,      1058.20,                    52910.00,50,N, ,1,      1092.81,       970.10
N,N1,971SCL29B,SEC RE NCD 9.71% SR VIII,       961.00,       941.65,       941.65,       900.30,       900.30,                    22921.00,25,N, ,2,       965.00,       900.30
N,N1,971SCL30,SCL 9.71% SR VIII,       984.00,       969.98,       969.98,       969.98,       969.98,                     5819.88,6,N, ,1,       984.00,       820.50
N,N1,SCL25924A,SEC RE NCD SR III,      1060.00,      1065.40,      1065.40,      1045.00,      1045.00,                    26449.00,25,N, ,3,      1065.40,       900.30
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1123.00,      1126.00,      1126.00,      1122.90,      1123.28,                   449585.00,400,N, ,3,      1174.00,      1085.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       314.10,       314.10,       316.00,       314.10,       314.70,                   221047.40,703,N, ,6,       329.00,       295.89
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1079.70,      1079.70,      1079.70,      1073.10,      1073.41,                   367115.00,342,N, ,5,      1151.01,      1040.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1115.00,      1115.00,      1119.00,      1115.00,      1118.00,                   407698.00,365,N, ,3,      1198.79,      1025.00
N,N2,9MMFSML,9.00% UNSECURED NCD,      1019.00,      1023.72,      1023.93,      1018.15,      1021.90,                   204399.42,200,N, ,4,      1099.00,       996.66
N,N2,9SCL27,SCL 9.00% 2027 SR I,       945.20,       959.79,       959.80,       959.79,       959.80,                    64306.50,67,N, ,2,      1000.00,       887.00
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       424.00,       424.00,       426.50,       423.00,       423.00,                   165313.00,390,N, ,5,       483.86,       398.08
