"SYMBOL","TRADING_SIGNAL","TECHNICAL_SCORE","RSI","RELATIVE_STRENGTH","CONFIDENCE_SCORE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","CONFIDENCE_CATEGORY","PERFORMANCE_CATEGORY","RISK_PERFORMANCE","ANALYSIS_DATE","BACKTESTING_TYPE"
"JAGRAN","SELL",32.7,45.7,3.3,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"SATIA","SELL",32.7,44.6,5.4,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"DENORA","SELL",32.7,41,0.23,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"STEELCITY","SELL",32.7,41.3,2.93,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"EQUAL50ADD","SELL",32.7,45.8,3.9,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"RETAIL","SELL",32.7,41,2.38,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"SBIETFQLTY","SELL",32.7,48.6,2.58,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"GROWWLOVOL","SELL",32.7,51.9,4.48,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"MAHESHWARI","SELL",32.7,42.4,5.71,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"IVZINNIFTY","SELL",32.7,42.1,1.92,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"PARAGMILK","SELL",32,45.4,8.05,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"SUPRAJIT","SELL",32,50,1.97,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"ORCHPHARMA","SELL",32,44.9,9.76,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"BIRLAMONEY","SELL",32,55.6,4.09,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"TCI","SELL",32,43.4,5.32,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"PRSMJOHNSN","SELL",32,42.5,0.17,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"VAISHALI","SELL",32,47.9,2.29,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"EIHAHOTELS","SELL",32,44.2,4.75,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"SETF10GILT","SELL",32,42.9,2.65,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"NOVAAGRI","SELL",32,42.9,6.58,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"KOHINOOR","SELL",32,40.2,0.34,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"TNIDETF","SELL",32,47.3,2.27,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"MUNJALSHOW","SELL",32,45.7,4.5,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"NIPPOBATRY","SELL",32,43.9,0.83,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"MAKEINDIA","SELL",32,47.4,4.61,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"MON50EQUAL","SELL",32,45.4,3.8,0.578,0.6624,-0.0867,7,-0.166091954022988,"Medium","Negative","Negative",2025-09-01,"quick"
"EDELWEISS","SELL",31.3,57.5,3.93,0.5752,0.66016,-0.08628,7,-0.164405487804878,"Medium","Negative","Negative",2025-09-01,"quick"
"TAJGVK","SELL",31.3,44.4,7.24,0.5752,0.66016,-0.08628,7,-0.164405487804878,"Medium","Negative","Negative",2025-09-01,"quick"
"AONENIFTY","SELL",31.3,40.1,2.59,0.5752,0.66016,-0.08628,7,-0.164405487804878,"Medium","Negative","Negative",2025-09-01,"quick"
"HMVL","SELL",31.3,40.1,4.68,0.5752,0.66016,-0.08628,7,-0.164405487804878,"Medium","Negative","Negative",2025-09-01,"quick"
"MURUDCERA","SELL",31.3,45.7,4.19,0.5752,0.66016,-0.08628,7,-0.164405487804878,"Medium","Negative","Negative",2025-09-01,"quick"
"LUPIN","SELL",30.7,42.4,0.55,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"PREMIERENE","SELL",30.7,42.5,2.96,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"GILLETTE","SELL",30.7,41.1,0.95,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"TARIL","SELL",30.7,43.8,4.16,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"SOUTHBANK","SELL",30.7,44.9,2.36,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"NSLNISP","SELL",30.7,46.6,3.39,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"GREENPOWER","SELL",30.7,43.6,3.29,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"NSIL","SELL",30.7,41.5,3.44,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"NIF100BEES","SELL",30.7,40.2,2.25,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"RANEHOLDIN","SELL",30.7,48.3,0.29,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"PRABHA","SELL",30.7,40.2,3.76,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"METAL","SELL",30.7,42,4.02,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"INTLCONV","SELL",30.7,45.9,1.31,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"MOTOGENFIN","SELL",30.7,44.5,1.54,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"UMESLTD","SELL",30.7,51.2,4.61,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"NEXT30ADD","SELL",30.7,42,3.92,0.5728,0.65824,-0.08592,7,-0.162974203338391,"Medium","Negative","Negative",2025-09-01,"quick"
"SUPRIYA","SELL",30,41.5,0.89,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"WAAREERTL","SELL",30,47.6,9.05,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"VIPIND","SELL",30,44.9,4.52,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"MASTEK","SELL",30,42.5,2.61,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"NIVABUPA","SELL",30,43.2,4.2,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"ORIENTELEC","SELL",30,52.2,0.96,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"MONTECARLO","SELL",30,46.4,0.18,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"GREENPLY","SELL",30,45.9,1.67,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"KKCL","SELL",30,40.1,4.86,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"STARPAPER","SELL",30,46.3,3.75,0.57,0.656,-0.0855,7,-0.161320754716981,"Medium","Negative","Negative",2025-09-01,"quick"
"SBFC","SELL",29.3,44,1.95,0.5672,0.65376,-0.08508,7,-0.159684684684685,"Medium","Negative","Negative",2025-09-01,"quick"
"TBZ","SELL",29.3,42.4,2.5,0.5672,0.65376,-0.08508,7,-0.159684684684685,"Medium","Negative","Negative",2025-09-01,"quick"
"HONDAPOWER","SELL",29.3,43.7,3.69,0.5672,0.65376,-0.08508,7,-0.159684684684685,"Medium","Negative","Negative",2025-09-01,"quick"
"SRM","SELL",29.3,44.5,7.79,0.5672,0.65376,-0.08508,7,-0.159684684684685,"Medium","Negative","Negative",2025-09-01,"quick"
"ORIENTBELL","SELL",29.3,52.7,2.52,0.5672,0.65376,-0.08508,7,-0.159684684684685,"Medium","Negative","Negative",2025-09-01,"quick"
"EMAMILTD","SELL",28.7,44.2,4.17,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"KSB","SELL",28.7,50.9,0.74,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"MASTERTR","SELL",28.7,44.9,2.66,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"SWARAJENG","SELL",28.7,45,1.1,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"VSTL","SELL",28.7,45.8,7.87,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"ALPL30IETF","SELL",28.7,43,2.16,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"DIVOPPBEES","SELL",28.7,41,0.38,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"UNIENTER","SELL",28.7,43.6,4.39,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"HDFCBSE500","SELL",28.7,42.9,2.92,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"GVPTECH","SELL",28.7,47.8,4.08,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"ESG","SELL",28.7,42.5,3.6,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"KHANDSE","SELL",28.7,42.6,4.26,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"ABGSEC","SELL",28.7,41.9,3,0.5648,0.65184,-0.08472,7,-0.158295964125561,"Medium","Negative","Negative",2025-09-01,"quick"
"ACC","SELL",28,40.6,1.47,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"GSFC","SELL",28,42.3,2.97,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"PGHH","SELL",28,42.2,1.51,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"HNDFDS","SELL",28,42.1,1.5,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"SIS","SELL",28,41.7,0.85,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"ESABINDIA","SELL",28,42.8,3.67,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"DPWIRES","SELL",28,51.4,2.15,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"OBCL","SELL",28,45.8,2,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"VARDHACRLC","SELL",28,42.7,4.78,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"GSEC10ABSL","SELL",28,49.3,2.98,0.562,0.6496,-0.0843,7,-0.156691449814126,"Medium","Negative","Negative",2025-09-01,"quick"
"NTPCGREEN","SELL",27.3,45.7,0.08,0.5592,0.64736,-0.08388,7,-0.155103550295858,"Medium","Negative","Negative",2025-09-01,"quick"
"VGUARD","SELL",27.3,42.5,0.22,0.5592,0.64736,-0.08388,7,-0.155103550295858,"Medium","Negative","Negative",2025-09-01,"quick"
"HATHWAY","SELL",27.3,42.8,1.7,0.5592,0.64736,-0.08388,7,-0.155103550295858,"Medium","Negative","Negative",2025-09-01,"quick"
"INDOAMIN","SELL",27.3,42.1,1.57,0.5592,0.64736,-0.08388,7,-0.155103550295858,"Medium","Negative","Negative",2025-09-01,"quick"
"EXCELINDUS","SELL",27.3,44.5,2.25,0.5592,0.64736,-0.08388,7,-0.155103550295858,"Medium","Negative","Negative",2025-09-01,"quick"
"AXISNIFTY","SELL",27.3,40.2,2.54,0.5592,0.64736,-0.08388,7,-0.155103550295858,"Medium","Negative","Negative",2025-09-01,"quick"
"NIFTYBETF","SELL",27.3,40,2.7,0.5592,0.64736,-0.08388,7,-0.155103550295858,"Medium","Negative","Negative",2025-09-01,"quick"
"PAGEIND","SELL",26.7,42.3,1.7,0.5568,0.64544,-0.08352,7,-0.153755522827688,"Medium","Negative","Negative",2025-09-01,"quick"
"POLYMED","SELL",26.7,56.4,1.23,0.5568,0.64544,-0.08352,7,-0.153755522827688,"Medium","Negative","Negative",2025-09-01,"quick"
"VENTIVE","SELL",26.7,40.1,4.58,0.5568,0.64544,-0.08352,7,-0.153755522827688,"Medium","Negative","Negative",2025-09-01,"quick"
"LIQUID","SELL",26.7,48.1,3.58,0.5568,0.64544,-0.08352,7,-0.153755522827688,"Medium","Negative","Negative",2025-09-01,"quick"
"VASCONEQ","SELL",26.7,41,3.19,0.5568,0.64544,-0.08352,7,-0.153755522827688,"Medium","Negative","Negative",2025-09-01,"quick"
"HEMIPROP","SELL",26,45.2,0.57,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"METROBRAND","SELL",26,45.2,0.28,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"ORISSAMINE","SELL",26,42.4,1.81,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"WHEELS","SELL",26,42.4,1.05,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"HEXATRADEX","SELL",26,45.1,2.47,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"DIAMINESQ","SELL",26,42.1,0.08,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
"MOTOUR","SELL",26,40.3,4.94,0.554,0.6432,-0.0831,7,-0.152197802197802,"Medium","Negative","Negative",2025-09-01,"quick"
