INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty Metal,36.14,VEDL,Vedanta Limited,MID_CAP,787.5,0.59,6.85,14.86,32.7,88.5,NA,13,8,NA,STRONG_BULLISH,SELL
Nifty Pharma,35.480000000000004,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1386,-0.04,3.4,8.32,38.7,78.7,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Pharma,35.480000000000004,LUPIN,Lupin Limited,LARGE_CAP,2326.1,-0.04,1.35,1.56,38,48.7,NA,7,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Pharma,35.480000000000004,APOLLOHOSP,APOLLOHOSP,LARGE_CAP,7699,1.93,2.91,2.79,34,62.9,NA,9,8,NA,BULLISH,SELL
Nifty Pharma,35.480000000000004,ALKEM,Alkem Laboratories Limited,MID_CAP,5582,0.22,3.94,4.87,34,64.2,NA,7,9,NA,BULLISH,SELL
Nifty Pharma,35.480000000000004,GLENMARK,GLENMARK,MID_CAP,2249.5,0,3.71,3.41,32.7,72,NA,9,8,NA,STRONG_BULLISH,SELL
Nifty Bank,31.2,FEDERALBNK,Federal Bank Limited,SMALL_CAP,293.75,3.29,3.69,12.61,38,70.7,NA,10,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Bank,31.2,UNIONBANK,Union Bank of India,MICRO_CAP,188.91,0.22,2.28,7.58,32.7,62,NA,11,6,NA,STRONG_BULLISH,SELL
Nifty Bank,31.2,AXISBANK,Axis Bank Limited,LARGE_CAP,1359.1,0.7,3.08,11.89,31.3,75.3,NA,10,8,NA,STRONG_BULLISH,SELL
Nifty Bank,31.2,SBIN,State Bank of India,LARGE_CAP,1080.25,1.23,3.78,1.27,30,59.1,NA,3,8,NA,STRONG_BULLISH,SELL
Nifty Bank,31.2,ICICIBANK,ICICI Bank Limited,LARGE_CAP,1346.8,0.1,5.11,5.81,24,67.7,NA,4,8,NA,STRONG_BEARISH,SELL
Nifty Auto,31.2,BHARATFORG,BHARATFORG,LARGE_CAP,1860.5,0.25,6.96,9.63,32.7,67.9,NA,13,4,NA,STRONG_BULLISH,SELL
Nifty Auto,31.2,MOTHERSON,MOTHERSON,MICRO_CAP,125.03,1.8,6.95,10.33,31.3,66.7,NA,9,6,NA,STRONG_BULLISH,SELL
Nifty Auto,31.2,BALKRISIND,BALKRISIND,LARGE_CAP,2329.8,-0.54,4.9,7.57,31.3,68.3,NA,8,8,NA,STRONG_BEARISH,SELL
Nifty Auto,31.2,TVSMOTOR,TVS Motor Company Limited,LARGE_CAP,3735.8,-0.57,0.23,10.7,30.7,62.6,NA,8,6,NA,STRONG_BULLISH,SELL
Nifty Auto,31.2,BAJAJ-AUTO,Bajaj Auto Limited,LARGE_CAP,9773.5,-0.52,2.7,7.72,30,73.5,NA,8,8,NA,STRONG_BULLISH,SELL
Nifty Private Bank,30.52,FEDERALBNK,Federal Bank Limited,SMALL_CAP,293.75,3.29,3.69,12.61,38,70.7,NA,10,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Private Bank,30.52,RBLBANK,RBL Bank Limited,SMALL_CAP,315.55,-0.11,-0.68,6.59,32,60.5,NA,9,12,NA,BULLISH,SELL
