"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"EGOLD",150.4,138.7025,129.747,120.795,108.5965,TRUE,TRUE,TRUE,TRUE
"ESAFSFB",29.27,26.727,26.9812,28.1634,29.3964,TRUE,TRUE,TRUE,FALSE
"LLOYDSENGG",46.19,51.7865,54.2642,58.9342,60.9573,FALSE,FALSE,FALSE,FALSE
"MAXESTATES",390.75,428.1825,453.573,457.053,458.0775,FALSE,FALSE,FALSE,FALSE
"ASKAUTOLTD",435.55,464.0775,473.267,490.05,475.12725,FALSE,FALSE,FALSE,FALSE
"JITFINFRA",237.1,289.3975,315.706999999999,391.6935,619.602499999999,FALSE,FALSE,FALSE,FALSE
"TNTELE",9.16,9.65999999999999,10.5668,10.9787,10.5906,FALSE,FALSE,FALSE,FALSE
"ESILVER",286.94,246.034,193.1526,164.1995,133.9831,TRUE,TRUE,TRUE,TRUE
"IREDA",129.93,137.685,142.8452,146.0476,155.03405,FALSE,FALSE,FALSE,FALSE
"ACLGATI",66.05,61.8839999999999,61.3568,64.0488999999999,64.5721000000001,TRUE,TRUE,TRUE,TRUE
"FEDFINA",150.67,154.986,147.8344,146.6344,125.0103,FALSE,TRUE,TRUE,TRUE
"GANDHAR",158.29,150.1005,140.4902,142.7242,151.5004,TRUE,TRUE,TRUE,TRUE
"TATATECH",652.15,653.367500000001,670.157000000001,679.505,692.61425,FALSE,FALSE,FALSE,FALSE
"FLAIR",309.8,308.8075,306.965,311.3495,291.47835,TRUE,TRUE,FALSE,TRUE
"GATECH",0.5,0.526500000000001,0.576,0.671800000000001,0.872,FALSE,FALSE,FALSE,FALSE
"WELSPUNLIV",125.56,127.4175,131.8314,125.4404,130.35955,FALSE,FALSE,TRUE,FALSE
"BBNPPGOLD",145.3,134.2225,125.698,117.149,105.26725,TRUE,TRUE,TRUE,TRUE
"ALPL30IETF",27.39,27.835,27.8098000000001,27.5949,27.2734000000001,FALSE,FALSE,FALSE,TRUE
"AUTOIETF",27.9,28.7305,28.3494,27.6523000000001,25.5552500000001,FALSE,FALSE,TRUE,TRUE
"BANKIETF",60.54,60.9045,60.4022,58.6106,57.20655,FALSE,TRUE,TRUE,TRUE
"BSE500IETF",38.94,39.84,40.0454,39.5178,38.67325,FALSE,FALSE,FALSE,TRUE
"COMMOIETF",95.9,96.0780000000001,94.9306,92.7581,89.9848500000002,FALSE,TRUE,TRUE,TRUE
"CONSUMIETF",120.92,124.6555,126.722,126.6746,121.8908,FALSE,FALSE,FALSE,FALSE
"DOMS",2408,2540.435,2543.742,2534.013,2556.57625,FALSE,FALSE,FALSE,FALSE
"FINIETF",31.67,32.3655,32.339,31.3532,30.17035,FALSE,FALSE,TRUE,TRUE
"FMCGIETF",55.63,56.9115000000001,58.3860000000006,58.9720000000002,58.8312500000001,FALSE,FALSE,FALSE,FALSE
"GOLDIETF",128.86,118.958,111.2402,103.4495,92.8503,TRUE,TRUE,TRUE,TRUE
"GSEC10IETF",258.19,258.675,258.9238,258.0965,256.9702,FALSE,FALSE,TRUE,TRUE
"GSEC5IETF",63.72,63.7665,63.7154,63.3968,62.7388,FALSE,TRUE,TRUE,TRUE
"HEALTHIETF",144.21,149.088,150.7604,150.0886,147.05615,FALSE,FALSE,FALSE,FALSE
"INDIASHLTR",780.7,803.87,844.703999999999,871.0535,874.141,FALSE,FALSE,FALSE,FALSE
"INFRAIETF",93.39,96.5495,97.6566,95.6031999999998,93.3132500000001,FALSE,FALSE,FALSE,TRUE
"ITIETF",42.19,41.9105,40.9264,39.698,39.7566000000001,TRUE,TRUE,TRUE,TRUE
