"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
11,"EPACK","EPACK DURABLE LIMITED","LARGE_CAP",291.03,7.93,17.05,47.06,60,69.7,"BEARISH",14.11,16,12,0,NA,NA,NA,NA,NA,16050733584.35,"HOLD",2026-04-28
23,"ADANIENT","ADANI ENTERPRISES LIMITED","LARGE_CAP",2412.4,3.9,8.37,37.16,60,76.4,"BULLISH",12.42,14,14,0,10,10,10,10,10,10454732211.3,"HOLD",2026-04-28
70,"RBLBANK","RBL BANK LIMITED","MID_CAP",320.75,2.54,0.11,10.7,60,55.2,"STRONG_BULLISH",8.74,9,15,0,NA,NA,NA,NA,NA,4333881615.4,"HOLD",2026-04-28
115,"APOLLOHOSP","APOLLO HOSPITALS ENTER. L","MID_CAP",7753,-0.92,0.12,4.5,60,57.4,"BULLISH",11.56,7,12,15,51.11,51.2,45.83,55.87,53.33,2748807775,"HOLD",2026-04-28
153,"ENRIN","SIEMENS ENERGY INDIA LTD","SMALL_CAP",3233.7,1.29,0.79,26.05,60,72.3,"STRONG_BULLISH",24.67,16,13,0,NA,NA,NA,NA,NA,1948080859,"HOLD",2026-04-28
244,"BHARATFORG","BHARAT FORGE LTD","SMALL_CAP",1894.8,-0.33,-0.05,13.15,60,61.7,"STRONG_BULLISH",21.56,11,10,15,54.83,55.22,53,56.82,54.17,1037298927.8,"HOLD",2026-04-28
260,"GESHIP","THE GE SHPG.LTD","SMALL_CAP",1474.4,3.52,1.99,4.22,60,59.6,"STRONG_BULLISH",13.97,8,18,0,NA,NA,NA,NA,NA,960085300.4,"HOLD",2026-04-28
406,"BELRISE","BELRISE INDUSTRIES LTD","MICRO_CAP",215.7,-0.5,-1.53,15.97,60,61.6,"STRONG_BULLISH",22.7,13,8,15,53.29,50.22,51,57.27,60,395853157.38,"HOLD",2026-04-28
415,"APEX","APEX FROZEN FOODS LIMITED","MICRO_CAP",472.25,-0.41,-0.45,30.15,60,62.7,"STRONG_BULLISH",31.88,15,6,15,57.85,71.74,64,58.27,10,382072198.95,"HOLD",2026-04-28
665,"UNIPARTS","UNIPARTS INDIA LIMITED","MICRO_CAP",527.55,2.84,4.6,19.1,60,63,"STRONG_BULLISH",4.79,11,18,0,NA,NA,NA,NA,NA,117788856.25,"HOLD",2026-04-28
