"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"TANLA",559.55,-5.77,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,59.3,"MID_CAP"
"CGPOWER",831.2,-31.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59.3,"SMALL_CAP"
"WALCHANNAG",237.96,-25.12,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,59.3,"SMALL_CAP"
"MOIL",332,6.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59.3,"MICRO_CAP"
"SKIPPER",489.95,-25.59,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,59.3,"MICRO_CAP"
"BALUFORGE",498.25,-29.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59.3,"MICRO_CAP"
"CGCL",185.04,-3.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59.3,"MICRO_CAP"
"CYIENTDLM",392.55,-8.23,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,59.3,"MICRO_CAP"
"TALBROAUTO",311.96,-18.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59.3,"MICRO_CAP"
"ANTELOPUS",682.6,-13.34,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,59.3,"MICRO_CAP"
"JAGSNPHARM",205.55,-19.04,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,59.3,"MICRO_CAP"
"BAJEL",181.37,-8.66,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,59.3,"MICRO_CAP"
"HINDALCO",1074.3,-5.56,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"LARGE_CAP"
"NETWEB",4002.2,-20.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"LARGE_CAP"
"PFC",481.4,-18.72,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"MID_CAP"
"SONACOMS",598.8,-15.45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"MID_CAP"
"KIRLPNU",1525.2,-25.83,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,58.7,"SMALL_CAP"
"DELHIVERY",465.4,-10.31,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,58.7,"MICRO_CAP"
"REFEX",265.88,-10.94,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,58.7,"MICRO_CAP"
"CCL",1103.2,-13.32,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"MICRO_CAP"
"CUBEXTUB",100.89,5.41,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,58.7,"MICRO_CAP"
"OMAXAUTO",124.88,-5.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"MICRO_CAP"
"AZAD",2201,-34.09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58,"SMALL_CAP"
"CESC",191.27,-24.65,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,58,"SMALL_CAP"
"J&KBANK",128.52,-16.17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58,"MICRO_CAP"
"KIOCL",419.9,-11.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,58,"MICRO_CAP"
"CARBORUNIV",968.15,-11.69,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,58,"MICRO_CAP"
"PRAKASH",147,-14.95,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,58,"MICRO_CAP"
"RAMKY",511.75,-3.26,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,58,"MICRO_CAP"
"MWL",317.65,-11.43,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,58,"MICRO_CAP"
"CEIGALL",331.3,-15.67,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58,"MICRO_CAP"
"MONQ50",126.5,-19.25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58,"MICRO_CAP"
"NESTLEIND",1440,-8.33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.3,"LARGE_CAP"
"CUB",275.65,4.39,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,57.3,"MID_CAP"
"AARTIIND",501.7,-29.96,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,57.3,"SMALL_CAP"
"VOLTAMP",11512.5,-44.74,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,57.3,"SMALL_CAP"
"MIDHANI",393.3,-4.98,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.3,"SMALL_CAP"
"SARDAEN",602.65,-18.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"CASTROLIND",183.81,0.59,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"CREDITACC",1251.2,2.32,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,57.3,"MICRO_CAP"
"BALRAMCHIN",508.7,-17.69,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"ADVENZYMES",342,-16.07,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"SPLPETRO",779.15,-34.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,57.3,"MICRO_CAP"
"ELECTHERM",863.6,-3.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
"AXISCADES",1933.2,-47.27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57.3,"MICRO_CAP"
