pnl_summary,quarterly_summary,balance_sheet_summary,ratios_summary,SYMBOL
Sales: 14655 Cr (YoY -1.6%); NetProfit: 352 Cr (YoY -9%); EPS: 7.06,"Sales last 3Q: 3719, 3877, 3550 Cr; Net Profit last 3Q: 316, 154, -69 Cr",Debt: 7495 Cr,ROCE: 4%; EPS: 7.06; NPM: 2.4%,TATACHEM
Sales: 4461 Cr (YoY +7.8%); NetProfit: 359 Cr (YoY -93.4%); EPS: 6.36,"Sales last 3Q: 1078, 1197, 1186 Cr; Net Profit last 3Q: 94, 121, 59 Cr",Debt: 2089 Cr,ROCE: 139%; EPS: 6.36; NPM: 8.05%,ASTERDM
Sales: 5031 Cr (YoY +16.5%); NetProfit: 566 Cr (YoY +86.2%); EPS: 62.72,"Sales last 3Q: 985, 929, 1289 Cr; Net Profit last 3Q: 143, 74, 145 Cr",Debt: 4 Cr,ROCE: 16%; EPS: 62.72; NPM: 11.25%,SHARDACROP
Revenue: 8505 Cr (YoY +10.7%); NetProfit: 2291 Cr (YoY +18.3%); EPS: 87.94,"Sales last 3Q: 2128, 2119, 2182 Cr; Net Profit last 3Q: 582, 520, 656 Cr",,ROE: 12%; EPS: 87.94; NPM: 26.94%,PNBHOUSING
Sales: 11729 Cr (YoY +18.4%); NetProfit: 1109 Cr (YoY +14%); EPS: 7.17,"Sales last 3Q: 2878, 2923, 3175 Cr; Net Profit last 3Q: 267, 284, 284 Cr",Debt: 117 Cr,ROCE: 36%; EPS: 7.17; NPM: 9.46%,CGPOWER
Sales: 5851 Cr (YoY +20.8%); NetProfit: 517 Cr (YoY +49.4%); EPS: 38.62,"Sales last 3Q: 1506, 1494, 1547 Cr; Net Profit last 3Q: 131, 140, 155 Cr",Debt: 624 Cr,ROCE: 16%; EPS: 38.62; NPM: 8.84%,RADICO
Sales: 15797 Cr (YoY -2.7%); NetProfit: 968 Cr (YoY -0.8%); EPS: 28.78,"Sales last 3Q: 4009, 5459, 3405 Cr; Net Profit last 3Q: 243, 222, 131 Cr",Debt: 2264 Cr,ROCE: 12%; EPS: 28.78; NPM: 6.13%,PTC
Sales: 3822 Cr (YoY +8.1%); NetProfit: 211 Cr (YoY +30.2%); EPS: 11.73,"Sales last 3Q: 1023, 973, 942 Cr; Net Profit last 3Q: 63, 46, 60 Cr",Debt: 580 Cr,ROCE: 4%; EPS: 11.73; NPM: 5.52%,SUNFLAG
Sales: 2630 Cr (YoY +2.5%); NetProfit: 369 Cr (YoY -2.6%); EPS: 68.28,"Sales last 3Q: 642, 719, 703 Cr; Net Profit last 3Q: 93, 98, 131 Cr",Debt: 435 Cr,ROCE: 21%; EPS: 68.28; NPM: 14.03%,IMFA
Sales: 13203 Cr (YoY +8.3%); NetProfit: 1668 Cr (YoY -10.9%); EPS: 78.73,"Sales last 3Q: 3175, 3311, 3557 Cr; Net Profit last 3Q: 352, 409, 433 Cr",Debt: 85 Cr,ROCE: 30%; EPS: 78.73; NPM: 12.63%,ABB
Sales: 1089 Cr (YoY +26.6%); NetProfit: 165 Cr (YoY +26%); EPS: 17.37,"Sales last 3Q: 258, 279, 320 Cr; Net Profit last 3Q: 42, 41, 43 Cr",Debt: 26 Cr,ROCE: 10%; EPS: 17.37; NPM: 15.15%,YATHARTH
Sales: 63640 Cr (YoY +7.9%); NetProfit: 3103 Cr (YoY +1350%); EPS: 208.36,"Sales last 3Q: 16327, 15683, 16817 Cr; Net Profit last 3Q: 719, 1002, 1422 Cr",Debt: 1964 Cr,ROCE: 36%; EPS: 208.36; NPM: 4.88%,CHENNPETRO
Sales: 5124 Cr (YoY -1.2%); NetProfit: 622 Cr (YoY +14.8%); EPS: 83.46,"Sales last 3Q: 1152, 1192, 1066 Cr; Net Profit last 3Q: 127, 156, 135 Cr",Debt: 241 Cr,ROCE: 22%; EPS: 83.46; NPM: 12.14%,RATNAMANI
Sales: 64624 Cr (YoY -1.3%); NetProfit: 5008 Cr (YoY +4.9%); EPS: 11.88,"Sales last 3Q: 18035, 15545, 13948 Cr; Net Profit last 3Q: 1262, 1245, 1194 Cr",Debt: 70083 Cr,ROCE: 15%; EPS: 11.88; NPM: 7.75%,TATAPOWER
Sales: 33182 Cr (YoY +4.6%); NetProfit: 3485 Cr (YoY +0%); EPS: 60.04,"Sales last 3Q: 7868, 8286, 8646 Cr; Net Profit last 3Q: 824, 848, 910 Cr",Debt: 7794 Cr,ROCE: 11%; EPS: 60.04; NPM: 10.5%,AUROPHARMA
Sales: 2696 Cr (YoY +6.4%); NetProfit: 270 Cr (YoY +9.3%); EPS: 15.54,"Sales last 3Q: 667, 650, 784 Cr; Net Profit last 3Q: 70, 68, 81 Cr",Debt: 5 Cr,ROCE: 25%; EPS: 15.54; NPM: 10.01%,KSB
Sales: 17592 Cr (YoY +49.8%); NetProfit: 2603 Cr (YoY +31.3%); EPS: 13.01,"Sales last 3Q: 5143, 5177, 4082 Cr; Net Profit last 3Q: 836, 824, 529 Cr",Debt: 69104 Cr,ROCE: 6%; EPS: 13.01; NPM: 14.8%,JSWENERGY
Sales: 8042 Cr (YoY +10.6%); NetProfit: 378 Cr (YoY +14.2%); EPS: 10.43,"Sales last 3Q: 1675, 2100, 2318 Cr; Net Profit last 3Q: 43, 106, 133 Cr",Debt: 3973 Cr,ROCE: 6%; EPS: 10.43; NPM: 4.7%,AARTIIND
Sales: 710 Cr (YoY +11.5%); NetProfit: 155 Cr (YoY +15.7%); EPS: 13.61,"Sales last 3Q: 186, 185, 172 Cr; Net Profit last 3Q: 40, 45, 43 Cr",Debt: 35 Cr,ROCE: 20%; EPS: 13.61; NPM: 21.83%,ADVENZYMES
Sales: 4012 Cr (YoY +29.9%); NetProfit: 776 Cr (YoY +33.8%); EPS: 13.81,"Sales last 3Q: 870, 921, 1210 Cr; Net Profit last 3Q: 65, 83, 347 Cr",Debt: 20 Cr,ROCE: 24%; EPS: 13.81; NPM: 19.34%,ENGINERSIN
Revenue: 5140 Cr (YoY +9.1%); NetProfit: 310 Cr (YoY -38.1%); EPS: 29.49,"Sales last 3Q: 1252, 1305, 1384 Cr; Net Profit last 3Q: 102, 75, 10 Cr",,ROE: 13%; EPS: 29.49; NPM: 6.03%,JSFB
Sales: 1415 Cr (YoY +5.9%); NetProfit: 259 Cr (YoY -3.4%); EPS: 82,"Sales last 3Q: 315, 322, 455 Cr; Net Profit last 3Q: 59, 60, 72 Cr",Debt: 10 Cr,ROCE: 60%; EPS: 82; NPM: 18.3%,INGERRAND
Sales: 66009 Cr (YoY +11.2%); NetProfit: 2864 Cr (YoY +5.8%); EPS: 44.03,"Sales last 3Q: 16360, 16676, 18101 Cr; Net Profit last 3Q: 773, 685, 856 Cr",Debt: 1609 Cr,ROCE: 18%; EPS: 44.03; NPM: 4.34%,DMART
Sales: 5121 Cr (YoY -3.8%); NetProfit: 2262 Cr (YoY -3.5%); EPS: 158.4,"Sales last 3Q: 1201, 1242, 1454 Cr; Net Profit last 3Q: 504, 581, 813 Cr",Debt: 1254 Cr,ROCE: 15%; EPS: 158.4; NPM: 44.17%,GESHIP
Sales: 471 Cr (YoY +23.9%); NetProfit: 62 Cr (YoY +0%); EPS: 3.65,"Sales last 3Q: 336, 373, 457 Cr; Net Profit last 3Q: 59, 60, 117 Cr",Debt: 0 Cr,ROCE: 28%; EPS: 3.65; NPM: 13.16%,VSTIND
Sales: 94995 Cr (YoY -3%); NetProfit: 14132 Cr (YoY +76.5%); EPS: 103.69,"Sales last 3Q: 21961, 21249, 24820 Cr; Net Profit last 3Q: 976, 3414, 5727 Cr",Debt: 109465 Cr,ROCE: 13%; EPS: 103.69; NPM: 14.88%,ADANIENT
Sales: 3648 Cr (YoY +6.1%); NetProfit: 252 Cr (YoY -12.2%); EPS: 14.88,"Sales last 3Q: 838, 807, 991 Cr; Net Profit last 3Q: 51, 56, 72 Cr",Debt: 1343 Cr,ROCE: 22%; EPS: 14.88; NPM: 6.91%,CEIGALL
Sales: 6515 Cr (YoY +1.4%); NetProfit: 297 Cr (YoY +12.5%); EPS: 34.98,"Sales last 3Q: 1341, 1691, 1739 Cr; Net Profit last 3Q: 59, 56, 84 Cr",Debt: 925 Cr,ROCE: 17%; EPS: 34.98; NPM: 4.56%,ISGEC
Sales: 2568 Cr (YoY +16.2%); NetProfit: 557 Cr (YoY +17.5%); EPS: 0.66,"Sales last 3Q: 680, 612, 653 Cr; Net Profit last 3Q: 220, 86, 17 Cr",Debt: 21826 Cr,ROCE: 6%; EPS: 0.66; NPM: 21.69%,NTPCGREEN
Sales: 109313 Cr (YoY +6.7%); NetProfit: 2788 Cr (YoY +17.5%); EPS: 6.75,"Sales last 3Q: 25922, 26704, 27371 Cr; Net Profit last 3Q: 745, 419, 374 Cr",Debt: 33663 Cr,ROCE: 7%; EPS: 6.75; NPM: 2.55%,SAIL
Sales: 1526 Cr (YoY +2.6%); NetProfit: 373 Cr (YoY +203.3%); EPS: 1.66,"Sales last 3Q: 331, 407, 299 Cr; Net Profit last 3Q: 249, 62, 38 Cr",Debt: 671 Cr,ROCE: 1%; EPS: 1.66; NPM: 24.44%,LLOYDSENT
