symbol,quantity,value_rs,current_price,technical_score,rsi,trend_signal,trading_signal,recommendation,change_1d_pct,change_1w_pct,change_1m_pct,relative_strength,enhanced_fund_score,data_source
MAZDOCK,15,38593.5,2683.3,47.3,67.0,BULLISH,WEAK_HOLD,REDUCE,-0.03,1.01,29.93,14.17,,comprehensive_csv
MCX,65,164320.0,2898.0,47.3,64.4,BULLISH,WEAK_HOLD,REDUCE,2.4,2.56,21.29,21.45,,comprehensive_csv
MEDPLUS,10,7989.5,841.55,35.3,47.3,BULLISH,WEAK_HOLD,REDUCE,-0.12,1.66,-4.01,-2.37,,db
MSUMI,685,29564.6,44.15,45.3,55.6,BEARISH,WEAK_HOLD,REDUCE,2.99,6.59,12.2,-22.58,,db
MPHASIS,7,19313.0,2270.3,20.0,48.1,BULLISH,SELL,SELL,0.24,-6.15,10.58,-8.99,,comprehensive_csv
MTARTECH,5,14657.5,5292.1,48.0,75.3,STRONG_BULLISH,WEAK_HOLD,REDUCE,-0.21,4.36,52.61,49.65,,comprehensive_csv
MUFIN,30,3422.7,115.56,35.3,60.9,BEARISH,WEAK_HOLD,REDUCE,-1.39,-0.45,21.18,2.19,,comprehensive_csv
MUTHOOTFIN,11,42125.6,3496.0,24.0,52.0,BULLISH,SELL,SELL,0.06,-3.16,10.63,-5.78,,comprehensive_csv
NH,30,53037.0,1757.0,38.0,50.6,BEARISH,WEAK_HOLD,REDUCE,-1.87,-2.61,9.45,2.1,,comprehensive_csv
NAVA,3,1691.7,669.2,51.3,62.6,STRONG_BULLISH,HOLD,HOLD,0.18,-3.29,25.92,21.18,,comprehensive_csv
NAVINFLUOR,1,6099.0,6627.0,51.3,63.3,BULLISH,HOLD,HOLD,0.74,3.98,7.54,8.72,,comprehensive_csv
NCC,6,878.58,164.85,52.7,66.0,BULLISH,HOLD,HOLD,0.22,3.1,25.9,8.65,,comprehensive_csv
NESTLEIND,10,13324.0,1440.0,57.3,79.9,BULLISH,HOLD,HOLD,1.6,4.36,22.57,14.2,,comprehensive_csv
NHPC,55,4301.0,78.09,17.3,36.3,STRONG_BEARISH,SELL,SELL,-1.63,-0.32,-8.38,-5.82,,db
NAM-INDIA,9,7902.9,1023.25,68.7,60.3,STRONG_BULLISH,BUY,ADD,3.39,-3.04,27.64,16.49,,comprehensive_csv
NLCINDIA,50,12955.0,318.15,50.0,73.5,STRONG_BULLISH,HOLD,HOLD,1.37,6.05,18.45,27.31,,comprehensive_csv
NRBBEARING,28,7151.2,286.15,33.3,48.0,BEARISH,SELL,SELL,-2.42,1.02,1.69,1.77,,db
NTPC,47,16732.0,406.85,51.3,66.4,STRONG_BULLISH,HOLD,HOLD,-0.82,2.69,9.77,15.05,,comprehensive_csv
OBEROIRLTY,5,7454.5,1710.3,46.7,63.9,BULLISH,WEAK_HOLD,REDUCE,-0.75,-0.79,20.53,13.17,,comprehensive_csv
OSWALAGRO,150,7249.5,76.38,20.0,43.7,STRONG_BEARISH,SELL,SELL,-2.71,-2.08,-11.88,-13.75,,db
PCJEWELLER,50,531.5,13.15,35.3,41.8,STRONG_BEARISH,WEAK_HOLD,REDUCE,-3.02,0.31,-8.3,10.67,,db
PGEL,37,20264.9,563.05,26.7,58.4,BEARISH,SELL,SELL,-0.26,0.16,19.82,-2.28,,comprehensive_csv
PIDILITIND,10,14311.0,1392.6,24.0,53.8,BEARISH,SELL,SELL,-0.48,-1.08,8.37,-1.68,,comprehensive_csv
PNCINFRA,107,23347.4,220.5,28.7,66.9,BEARISH,SELL,SELL,1.15,5.71,37.34,-0.78,,comprehensive_csv
POEL,70,11868.5,,50.0,,UNKNOWN,HOLD,HOLD,,,,,,none
POLYCAB,6,42081.0,8254.0,54.7,63.8,BULLISH,HOLD,HOLD,2.34,3.75,20.61,10.77,,comprehensive_csv
POCL,20,23840.0,1234.2,35.3,60.9,BULLISH,WEAK_HOLD,REDUCE,0.02,4.82,22.05,2.13,,comprehensive_csv
POWERGRID,15,3847.5,319.0,50.0,65.7,STRONG_BULLISH,HOLD,HOLD,-0.59,-0.11,7.73,12.53,,comprehensive_csv
PRAJIND,20,5803.0,395.1,47.3,69.6,STRONG_BULLISH,WEAK_HOLD,REDUCE,-2.05,8.48,24.23,19.67,,comprehensive_csv
PREMEXPLN,20,10245.0,547.8,48.7,67.4,BULLISH,WEAK_HOLD,REDUCE,0.35,10.21,43.59,13.72,,comprehensive_csv
PNB,81,10140.39,111.39,26.0,47.4,BEARISH,SELL,SELL,-2.19,-2.38,10.77,-5.25,,comprehensive_csv
RVNL,26,8928.4,308.63,33.3,63.4,BEARISH,SELL,SELL,0.88,3.27,23.63,0.77,,comprehensive_csv
RAYMONDLSL,4,4191.6,1240.4,59.3,60.0,STRONG_BULLISH,HOLD,HOLD,-0.23,10.55,5.57,20.26,,db
RAYMOND,4,1519.8,471.85,53.3,72.1,BULLISH,HOLD,HOLD,2.33,5.43,46.61,16.15,,comprehensive_csv
RAYMONDREL,8,4052.0,427.9,24.7,48.3,BULLISH,SELL,SELL,-1.98,-8.26,13.29,-6.33,,comprehensive_csv
RHIM,10,4451.0,471.55,24.7,40.0,STRONG_BEARISH,SELL,SELL,-1.43,-0.5,-10.49,0.29,,db
ROSSTECH,5,3397.0,1020.2,62.0,73.2,STRONG_BULLISH,HOLD,HOLD,2.82,8.65,52.79,43.55,,comprehensive_csv
SAGCEM,63,12288.15,294.3,68.7,79.2,STRONG_BULLISH,BUY,ADD,7.72,15.13,23.22,28.25,,db
MOTHERSON,46,5193.4,125.22,34.0,55.2,BULLISH,SELL,SELL,-2.12,0.42,19.17,0.91,,comprehensive_csv
SBFC,30,2562.6,106.31,29.3,47.1,BEARISH,SELL,SELL,-1.38,1.01,2.28,1.62,,db
SBICARD,10,7535.5,647.45,28.0,37.7,BEARISH,SELL,SELL,-3.47,-4.75,1.89,-11.31,,comprehensive_csv
SBILIFE,2,3997.0,1808.3,12.0,39.8,BEARISH,SELL,SELL,-0.39,-5.4,1.74,-6.24,,comprehensive_csv
SCHNEIDER,13,9006.4,914.45,79.8,82.5,BULLISH,BUY,ADD,-0.89,10.92,46.83,,,computed
