SYMBOL,PRICE_28APR,STAGE_SCORE,COMPANY_NAME,LIVE_PRICE,CHG_PCT
MAHLOG,410.1,0.523,MAHINDRA LOGISTIC LIMITED,415.15,1.23
AVL,542.7,0.519,ADITYA VISION LIMITED,529.2,-2.49
NYKAA,270.11,0.491,FSN E COMMERCE VENTURES,267.05,-1.13
MUFIN,115.56,0.484,MUFIN GREEN FINANCE LTD,114.43,-0.98
SHARDACROP,1162.6,0.474,SHARDA CROPCHEM LTD.,1031.2,-11.3
BAJAJ-AUTO,9495.5,0.466,BAJAJ AUTO LIMITED,10198.0,7.4
LUMAXTECH,1663.2,0.464,LUMAX AUTO TECH LTD,1579.5,-5.03
PHOENIXLTD,1761.9,0.451,THE PHOENIX MILLS LTD,1799.0,2.11
PRICOLLTD,596.55,0.43,PRICOL LIMITED,577.3,-3.23
LT,4037.7,0.424,LARSEN & TOUBRO LTD.,,
ALIVUS,1007.65,0.411,ALIVUS LIFE SCIENCES LTD,1067.5,5.94
BLUESTARCO,1891.6,0.385,BLUE STAR LIMITED,1804.5,-4.6
AVALON,1035.95,0.313,AVALON TECHNOLOGIES LTD,1069.9,3.28
