Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
29 OCT 2025,AFIL,EQ,AKME FINTRADE (INDIA) LTD,Listed    ,29 OCT 2025,               1.00,         426749960,              8.05,     3443872177.20      
29 OCT 2025,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,29 OCT 2025,               2.00,          50610040,            202.70,    10258149007.60      
29 OCT 2025,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,29 OCT 2025,              10.00,          14957789,            861.35,    12883891555.15   
29 OCT 2025,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,29 OCT 2025,               1.00,         316158357,            511.35,   161667575851.95
29 OCT 2025,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,29 OCT 2025,              10.00,           7243488,             56.45,      408894897.60 
29 OCT 2025,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,29 OCT 2025,              10.00,          17674600,            137.05,     2422303930.00
29 OCT 2025,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,29 OCT 2025,               2.00,          64697381,            839.55,    54316686218.55       
29 OCT 2025,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,29 OCT 2025,               1.00,         122167200,            261.00,    31885639200.00     
29 OCT 2025,AGNI,ST,AGNI GREEN POWER LTD     ,Listed    ,29 OCT 2025,              10.00,          19534800,             24.25,      473718900.00      
29 OCT 2025,AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,Listed    ,29 OCT 2025,              10.00,           5940000,            131.35,      780100200.00  
29 OCT 2025,AGROPHOS,BE,AGRO PHOS INDIA LIMITED  ,Listed    ,29 OCT 2025,              10.00,          20274115,             41.50,      841375772.50  
29 OCT 2025,AGSTRA,BZ,AGS TRANSACT TECH LTD    ,Listed    ,29 OCT 2025,              10.00,         128433076,              4.15,      534281596.15    
29 OCT 2025,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,29 OCT 2025,              10.00,           5484000,             64.65,      354540600.00      
29 OCT 2025,AHCL,BE,ANLON HEALTHCARE LIMITED ,Listed    ,29 OCT 2025,              10.00,          53151500,            124.50,     6616298720.00      
29 OCT 2025,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,02 SEP 2025,              10.00,           5473990,             24.50,      134112755.00    
29 OCT 2025,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,29 OCT 2025,              10.00,          12921000,             59.45,      768282660.00    
29 OCT 2025,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,29 OCT 2025,              10.00,          17291696,            146.75,     2537383471.05   
29 OCT 2025,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,29 OCT 2025,               2.00,          66987560,            913.90,    61219931084.00  
29 OCT 2025,AIAENG,EQ,AIA ENGINEERING LIMITED  ,Listed    ,29 OCT 2025,               2.00,          93320370,           3330.20,   310775496174.00    
29 OCT 2025,AIIL,EQ,AUTHUM INVEST & INFRA LTD,Listed    ,29 OCT 2025,               1.00,         169845100,           2974.50,   505204249950.00      
29 OCT 2025,AILIMITED,SM,ABHISHEK INTEGRATIONS LTD,Listed    ,29 OCT 2025,              10.00,           6021570,             38.70,      233034759.00 
29 OCT 2025,AIMTRON,SM,AIMTRON ELECTRONICS LTD  ,Listed    ,29 OCT 2025,              10.00,          20413825,            797.35,    16276963363.75   
29 OCT 2025,AIRAN,EQ,AIRAN LIMITED            ,Listed    ,29 OCT 2025,               2.00,         125020000,             24.05,     3007981200.00     
29 OCT 2025,AIROLAM,EQ,AIRO LAM LIMITED         ,Listed    ,29 OCT 2025,              10.00,          15002000,            103.85,     1557957700.00   
29 OCT 2025,AISL,SM,ANI INTEGRATED SERV LTD. ,Listed    ,29 OCT 2025,              10.00,          10352200,             88.00,      910993600.00      
29 OCT 2025,AJANTPHARM,EQ,AJANTA PHARMA LIMITED    ,Listed    ,29 OCT 2025,               2.00,         124935624,           2461.90,   307579012725.60
29 OCT 2025,AJAXENGG,EQ,AJAX ENGINEERING LIMITED ,Listed    ,29 OCT 2025,               1.00,         114406800,            610.85,    69885393780.00  
29 OCT 2025,AJMERA,EQ,AJMERA REALTY & INF I LTD,Listed    ,29 OCT 2025,              10.00,          39359130,           1022.20,    40232902686.00    
29 OCT 2025,AJOONI,EQ,AJOONI BIOTECH LIMITED   ,Listed    ,29 OCT 2025,               2.00,         172243598,              5.20,      895666709.60    
29 OCT 2025,AKANKSHA,SM,AKANKSHA POWER N INFRA L ,Listed    ,29 OCT 2025,              10.00,          19580520,             89.00,     1742666280.00  
29 OCT 2025,AKASH,EQ,AKASH INFRA-PROJECTS LTD ,Listed    ,29 OCT 2025,              10.00,          16862534,             28.00,      472488202.70     
29 OCT 2025,AKG,EQ,AKG EXIM LIMITED         ,Listed    ,29 OCT 2025,              10.00,          31776576,             13.60,      431843667.85       
29 OCT 2025,AKI,EQ,AKI INDIA LIMITED        ,Listed    ,29 OCT 2025,               2.00,         103205956,              8.05,      831840005.35       
29 OCT 2025,AKIKO,ST,AKIKO GLOBAL SERVICES L  ,Listed    ,29 OCT 2025,              10.00,          10769600,            255.55,     2752171280.00     
29 OCT 2025,AKSHAR,BE,AKSHAR SPINTEX LIMITED   ,Listed    ,29 OCT 2025,               1.00,         787468500,              0.60,      464606415.00    
29 OCT 2025,AKSHARCHEM,EQ,AKSHARCHEM INDIA LIMITED ,Listed    ,29 OCT 2025,              10.00,           8033099,            279.45,     2244849515.55
29 OCT 2025,AKSHOPTFBR,EQ,AKSH OPTIFIBRE LIMITED   ,Listed    ,29 OCT 2025,               5.00,         162697971,              7.50,     1221861762.20
29 OCT 2025,AKUMS,EQ,AKUMS DRUGS AND PHARMA L ,Listed    ,29 OCT 2025,               2.00,         157393988,            467.00,    73502992396.00     
29 OCT 2025,AKZOINDIA,EQ,AKZO NOBEL INDIA LIMITED ,Listed    ,29 OCT 2025,              10.00,          45540314,           3303.80,   150456089393.20 
29 OCT 2025,ALANKIT,EQ,ALANKIT LIMITED          ,Listed    ,29 OCT 2025,               1.00,         271158100,             12.20,     3308128820.00   
29 OCT 2025,ALBERTDAVD,EQ,ALBERT DAVID LIMITED     ,Listed    ,29 OCT 2025,              10.00,           5707162,            853.95,     4873630989.90
29 OCT 2025,ALEMBICLTD,EQ,ALEMBIC LIMITED          ,Listed    ,29 OCT 2025,               2.00,         256781828,            100.85,    25893879535.50
29 OCT 2025,ALICON,EQ,ALICON CASTALLOY LIMITED ,Listed    ,29 OCT 2025,               5.00,          16336840,            925.60,    15121379104.00    
29 OCT 2025,ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD ,Listed    ,29 OCT 2025,               2.00,         122681348,            908.00,   111394663984.00    
29 OCT 2025,ALKALI,EQ,ALKALI METALS LTD        ,Listed    ,29 OCT 2025,              10.00,          10182506,             90.70,      923756944.30    
29 OCT 2025,ALKEM,EQ,ALKEM LABORATORIES LTD.  ,Listed    ,29 OCT 2025,               2.00,         119565000,           5535.00,   661792275000.00     
29 OCT 2025,ALKYLAMINE,EQ,ALKYL AMINES CHEM. LTD   ,Listed    ,29 OCT 2025,               2.00,          51140441,           1903.90,    97366285619.90
29 OCT 2025,ALLCARGO,EQ,ALLCARGO LOGISTICS LTD   ,Listed    ,29 OCT 2025,               2.00,         982782096,             33.10,    32539915198.55  
29 OCT 2025,ALLDIGI,EQ,ALLDIGI TECH LIMITED     ,Listed    ,29 OCT 2025,              10.00,          15238326,            887.10,    13517918994.60   
29 OCT 2025,ALLETEC,SM,ALL E TECHNOLOGIES LTD   ,Listed    ,29 OCT 2025,              10.00,          20194176,            262.40,     5298951782.40   
29 OCT 2025,ALLTIME,EQ,ALL TIME PLASTICS LIMITED,Listed    ,29 OCT 2025,               2.00,          65507778,            303.60,    19888161400.80   
29 OCT 2025,ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD   ,Listed    ,29 OCT 2025,               1.00,         173646754,             17.00,     2955467753.10   
29 OCT 2025,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED  ,Listed    ,29 OCT 2025,               1.00,        4965240401,             17.60,    87338578653.60  
29 OCT 2025,ALPA,EQ,ALPA LABORATORIES LTD    ,Listed    ,29 OCT 2025,              10.00,          21040600,             91.05,     1915325818.00      
29 OCT 2025,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED      ,Listed    ,29 OCT 2025,              10.00,          24473400,           1189.30,    29106214620.00
29 OCT 2025,ALPHAGEO,EQ,ALPHAGEO (INDIA) LIMITED ,Listed    ,29 OCT 2025,              10.00,           6364767,            259.15,     1649556663.40  
