MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,AXISCETF,AXISAMC - AXISCETF,       128.94,       128.47,       129.20,       128.47,       129.15,                   759173.83,5888,30,       131.85,       101.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        96.84,        99.20,       100.89,        97.67,       100.56,                178267960.72,1794126,5519,       109.92,        62.01,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       150.87,       151.07,       152.78,       150.87,       151.55,                   347089.76,2285,70,       159.99,       127.43,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,       138.58,       142.02,       146.83,       141.51,       146.23,                131073381.69,908738,3923,       194.80,        85.51,AXIS SILVER ETF
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       284.43,       285.70,       286.75,       284.51,       286.30,                  1757620.29,6147,142,       292.02,       236.80,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       390.79,       390.93,       394.08,       390.93,       393.62,                  6593487.70,16756,403,       498.96,       341.00,NIFTY IT INDEX
N,EQ,AXISVALUE,AXISAMC - AXISVALUE,        30.38,        30.59,        31.09,        30.59,        30.97,                  2502389.89,80970,175,        31.09,        22.84,NIFTY500 VALUE 50 TRI
N,EQ,AXSENSEX,AXISAMC - AXSENSEX,        87.03,        86.81,        87.45,        86.81,        87.32,                    65877.35,755,26,        90.70,        66.40,AXIS S&P BSE SENSEX ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       600.15,       603.14,       603.75,       599.49,       602.45,                436629195.49,725547,6562,       605.00,       490.00,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        58.90,        58.90,        59.22,        58.40,        59.11,                   816928.45,13831,199,        65.00,        47.00,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       591.28,       591.28,       593.66,       590.00,       593.06,                  6979298.77,11778,110,       594.20,       481.38,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKETFADD,DSPAMC - DSPBANKETF,        59.35,        59.30,        59.67,        59.27,        59.58,                   470094.48,7898,69,        61.00,        46.50,DSP NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        59.57,        59.49,        59.85,        59.49,        59.70,                 57634919.84,964834,1373,        60.79,        47.53,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,       601.52,       603.25,       605.46,       600.56,       603.30,                 51198762.76,84798,598,       651.60,       490.15,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        81.25,        81.65,        81.65,        80.88,        81.20,                 11798612.01,145083,141,        81.65,        55.29,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1307.62,      1304.01,      1310.00,      1304.01,      1307.96,                  6932203.72,5297,58,      1323.24,      1200.00,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPNBETF,BARODABNP - BBNPNBETF,        58.24,        58.53,        59.47,        57.46,        58.52,                   257758.64,4408,28,        60.60,        47.43,BARODA BNP PARIBAS NIFTY BANK ETF
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,       111.25,       112.00,       118.00,       112.00,       116.55,                 66532512.60,576703,409,       128.85,        69.45,BARODA BNP PARIBAS GOLD ETF
N,EQ,BFSI,MIRAEAMC - MAFSETF,        28.39,        28.43,        28.56,        28.33,        28.50,                  5902954.56,207331,677,        29.02,        21.00,NIFTY FINANCIAL SERVICES INDEX
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        40.14,        40.54,        40.58,        40.14,        40.35,                  3046008.35,75430,689,        40.94,        33.00,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,       101.77,       102.58,       106.35,       102.57,       106.21,                295701246.61,2818818,2182,       121.47,        56.57,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        30.11,        30.19,        30.35,        30.12,        30.26,                  4138510.21,136772,3309,        30.73,        20.37,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        84.65,        85.91,        85.92,        84.42,        84.90,                   124572.62,1469,104,        86.25,        61.47,BSE SENSEX INDEX
N,EQ,CASHIETF,ICICIPRAMC - CASHIETF,      1034.29,      1034.43,      1034.45,      1034.43,      1034.44,                642871383.16,621472,47,      1064.57,      1001.47,BSE LIQUID RATE INDEX
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,        94.62,        94.99,        96.49,        94.80,        96.19,                 13568409.50,141296,1001,        96.49,        75.61,ICICI PRUDENTIAL NIFTY COMMODITIES ETF
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,       128.26,       131.21,       131.21,       128.08,       129.00,                 12007284.02,93093,56,       132.00,       102.46,KOTAK NIFTY INDIA CONSUMPTION ETF
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       139.37,       140.76,       140.76,       139.00,       139.86,                 17316294.30,123882,887,       144.38,       110.86,NIFTY INDIA CONSUMPTION TRI
N,EQ,CONSUMER,MIRAEAMC - CONSUMER,        12.36,        12.36,        12.38,        12.31,        12.36,                  4758098.66,385024,320,        13.97,         9.00,NIFTY INDIA NEW AGECONSUMPTION
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,       129.70,       129.55,       129.99,       129.24,       129.48,                  2315358.23,17853,320,       133.81,       101.23,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,        93.82,        91.01,        95.30,        91.01,        94.77,                204215720.36,2153672,6397,        96.16,        74.90,CPSE ETF
