MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty500 EW,     14567.40,     14590.25,     14678.95,     14559.80,     14669.50,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Multi MQ 50,     42399.95,     42374.65,     42471.05,     42197.25,     42409.30,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty500 Value 50,     14977.45,     15027.55,     15256.65,     15017.50,     15219.75,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Top 20 EW,      9580.60,      9596.50,      9616.85,      9574.05,      9603.70,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty CoreHousing,     16174.60,     16201.55,     16326.00,     16188.10,     16308.05,0.00,0,Y, ,0,     17961.70,     13680.90
Y,Nifty FinSerExBnk,     31419.95,     31378.80,     31528.05,     31228.30,     31471.20,0.00,0,Y, ,0,     31589.10,     21702.40
Y,Nifty Housing,     11919.00,     11950.40,     12067.95,     11944.80,     12045.45,0.00,0,Y, ,0,     12386.30,      9839.70
Y,Nifty IPO,      2168.85,      2174.10,      2181.60,      2168.25,      2179.50,0.00,0,Y, ,0,      2387.55,      1617.15
Y,Nifty MS Fin Serv,     19778.95,     19741.10,     19750.25,     19599.65,     19695.80,0.00,0,Y, ,0,     19804.75,     12407.95
Y,Nifty MS Ind Cons,     19881.10,     19921.55,     19998.55,     19846.20,     19975.65,0.00,0,Y, ,0,     21008.10,     14493.40
Y,Nifty MS IT Telcm,     10114.65,     10130.55,     10149.60,     10045.75,     10132.20,0.00,0,Y, ,0,     11723.20,      7836.00
Y,Nifty NonCyc Cons,     16539.80,     16561.15,     16652.50,     16547.25,     16636.35,0.00,0,Y, ,0,     18289.65,     13081.55
Y,Nifty Rural,     16025.10,     16052.35,     16113.40,     16009.50,     16095.60,0.00,0,Y, ,0,     16370.10,     12304.35
Y,Nifty Shariah 25,      8335.40,      8358.85,      8405.05,      8348.15,      8390.45,0.00,0,Y, ,0,      9449.55,      7121.55
Y,Nifty Trans Logis,     25958.95,     25999.15,     26003.10,     25787.95,     25869.00,0.00,0,Y, ,0,     26459.70,     16828.35
Y,Nifty50 Shariah,      4698.25,      4709.70,      4740.60,      4703.95,      4726.80,0.00,0,Y, ,0,      5677.90,      4235.90
Y,Nifty500 LMS Eql,     18217.35,     18242.00,     18330.05,     18200.35,     18316.65,0.00,0,Y, ,0,     18838.10,     14014.40
Y,Nifty500 Shariah,      7132.55,      7149.55,      7202.00,      7141.05,      7194.40,0.00,0,Y, ,0,      8238.85,      6004.55
Y,Nifty500 Qlty50,     19535.55,     19498.85,     19521.30,     19409.90,     19494.70,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty500 LowVol50,     22943.25,     23016.50,     23016.95,     22899.20,     22941.40,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty500 MQVLv50,     31797.25,     31867.55,     31929.75,     31783.65,     31892.10,0.00,0,Y, ,0,         0.00,         0.00
Y,India VIX,11.9525,11.9525,12.1025,11.2275,11.9725,0,0,Y, ,0,23.1875,9.3975
 , , , , , , , , , , , , , 
 , , , , , , , , , , , , , 
 ,NIFTY 50 Sec, , , , , , , , , , , , 
N,ADANI ENTERPRISES LIMITED,      2494.40,      2500.00,      2600.00,      2495.50,      2537.40,               3904026893.40,1526734,Y, ,63774,      3070.00,      2025.00
N,ADANI PORT & SEZ LTD,      1417.90,      1424.10,      1464.80,      1421.60,      1454.80,               5194001102.40,3578596,Y, ,88810,      1494.00,       995.65
N,APOLLO HOSPITALS ENTER. L,      7880.50,      7890.50,      7905.00,      7846.00,      7858.50,               1571942290.00,199897,Y, ,34671,      8099.50,      6001.00
N,ASIAN PAINTS LIMITED,      2509.30,      2520.00,      2550.80,      2512.50,      2538.70,               1559722955.50,615292,Y, ,45365,      3028.00,      2124.75
N,AXIS BANK LIMITED,      1246.30,      1246.90,      1251.00,      1239.20,      1248.80,               5698756738.20,4578825,Y, ,97433,      1276.10,       933.50
N,BAJAJ AUTO LIMITED,      9057.50,      9090.00,      9090.00,      8960.00,      9034.00,               2047173967.50,226605,Y, ,27169,     10292.75,      7089.35
N,BAJAJ FINSERV LTD.,      2140.20,      2150.00,      2150.00,      2124.20,      2137.00,                732394948.00,343434,Y, ,25088,      2195.00,      1551.65
N,BAJAJ FINANCE LIMITED,      1072.75,      1072.00,      1079.15,      1061.25,      1062.95,               5737824903.25,5386803,Y, ,115343,      9788.00,       849.00
