"SYMBOL","TOTAL_TRADES","WINNING_TRADES","LOSING_TRADES","WIN_RATE","TOTAL_RETURN","AVG_RETURN","MAX_RETURN","MIN_RETURN","AVG_TRADE_DAYS","SHARPE_RATIO","MAX_DRAWDOWN","PROFIT_FACTOR","CONFIDENCE_SCORE","CURRENT_PRICE","CURRENT_VOLUME","CURRENT_RSI","CURRENT_SMA_20","ANALYSIS_DATE"
"KEYFINSERV",70,28,42,0.4,-0.526050163236217,-0.00751500233194596,0.366050420168067,-0.425558583106267,12.3142857142857,-0.0457172470704241,-2.01707779060517,0.874956388052533,0.557495638805253,254.35,1403,44.450672151375,276.595,2025-08-29
"PEARLPOLY",106,31,75,0.292452830188679,-1.6243592145469,-0.0153241435334613,0.168621236133122,-0.100896860986547,3.99056603773585,-0.275739059866323,-1.67341078268907,0.488667478822573,0.486602596938861,31.66,11080,45.2237603298832,33.2435,2025-08-29
"AHLEAST",149,60,89,0.402684563758389,-1.24735223226316,-0.00837149149169906,0.0820023988384572,-0.138599943772842,4.30872483221477,-0.221301690291589,-1.46779070657006,0.547729556674595,0.525578324794976,151.81,2302,44.5007044073975,154.4395,2025-08-29
"FMNL",44,23,21,0.522727272727273,2.10654310115188,0.0478759795716337,0.444554455445545,-0.386046511627907,35.4772727272727,0.288360069674734,-1.33983854360826,2.18526904526524,0.685654188785655,13.11,26575,61.0131884073365,12.9925,2025-08-29
"PRUDMOULI",46,25,21,0.543478260869565,1.97579047072824,0.0429519667549618,0.202904929577465,-0.0896762904636921,19.7391304347826,0.47432147534539,-0.318440910805785,3.28280138092401,0.710475625795408,36.99,8835,41.9263008594438,39.062,2025-08-29
"SBIBPB",44,29,15,0.659090909090909,0.284729638913581,0.00647112815712683,0.0530436979035108,-0.035,4.22727272727273,0.305008653323475,-0.0817983549916068,2.10860129586765,0.620592957516411,38.9,8648,30.8598576477823,40.3535,2025-08-29
"MAGNUM",128,49,79,0.3828125,-1.5200051844791,-0.0118750405037429,0.123511904761905,-0.193111029681202,4.078125,-0.232165049889261,-1.9983185629533,0.544247055658659,0.519268455565866,24.66,13384,55.1049483390364,23.726,2025-08-29
"NIFTYBETF",159,85,74,0.534591194968553,0.147048617606273,0.000924834072995425,0.0337272492021047,-0.0568774914724859,4.42138364779874,0.0714775422260423,-0.132389220806267,1.20589517847626,0.461638939363933,249.46,1307,40.0256783403143,251.945,2025-08-29
"SBIETFPB",160,80,80,0.5,-0.0168997297297166,-0.000105623310810729,0.0587102620252209,-0.0494725063938619,4.3875,-0.00643356133049605,-0.175201910281982,0.983253210413207,0.356775185906179,266.15,1188,29.761352363212,272.21,2025-08-29
"BBNPPGOLD",188,113,75,0.601063829787234,0.500360648380653,0.00266149281053539,0.069375,-0.0590230664857532,4.42553191489362,0.164170119309113,-0.172511557853175,1.54325151661647,0.696736160867081,99.9,3164,66.9396914523937,97.5875,2025-08-29
"AXISHCETF",190,103,87,0.542105263157895,0.32200360944695,0.00169475583919447,0.0426765015806111,-0.0657341693653965,4.48947368421053,0.0988479297630875,-0.241631230860866,1.28926383027291,0.562444559674443,145.78,2134,41.6699431930482,147.731,2025-08-29
"SBIETFQLTY",172,95,77,0.552325581395349,0.191846920842637,0.00111538907466649,0.0350512473409399,-0.0337479342437157,4.36046511627907,0.08315685314356,-0.25205820400199,1.23785756939668,0.493722577093947,220.36,1402,48.5530636640542,219.6805,2025-08-29
"AMBICAAGAR",132,47,85,0.356060606060606,-1.27290916552587,-0.00964325125398389,0.209643605870021,-0.112234910277325,4.36363636363636,-0.181566172444958,-1.6003743051742,0.599745817635541,0.516792763581736,26.47,11532,40.8430619327094,27.008,2025-08-29
"AROGRANITE",130,52,78,0.4,-1.55771942678286,-0.011982457129099,0.107779349363508,-0.107282184655397,4.25384615384615,-0.305775204648849,-1.57858620045863,0.449951745419244,0.514995174541924,35.33,8480,40.0922623916175,36.665,2025-08-29
"COMPUSOFT",107,42,65,0.392523364485981,-0.99912052015856,-0.0093375749547529,0.189393939393939,-0.137164040778499,4.11214953271028,-0.156110227679973,-1.14835456369903,0.661519433682062,0.533908952714,18.93,15816,30.7893642888013,20.0165,2025-08-29
"FLEXITUFF",21,8,13,0.380952380952381,-1.12151204850647,-0.0534053356431652,0.209401709401709,-0.601696382205297,58.1428571428571,-0.225725448038459,-1.91502104426144,0.468784743829126,0.511164188668627,25.65,11638,41.932801820324,31.5025,2025-08-29
"LIBAS",125,42,83,0.336,-0.527259650340463,-0.0042180772027237,0.225752508361204,-0.084703947368421,4.248,-0.0747350891611197,-1.28851410614336,0.808149584830775,0.531614958483077,11.59,25141,36.3226796633012,12.1835,2025-08-29
"GOYALALUM",86,33,53,0.383720930232558,-0.507494875067645,-0.00590110319846099,0.110891089108911,-0.0725720384204909,4.24418604651163,-0.155667108805205,-0.729184306943193,0.667916419175367,0.531907920987304,7.38,39211,44.6744894351619,7.3925,2025-08-29
"KAKATCEM",117,46,71,0.393162393162393,-0.630035298016447,-0.00538491707706365,0.084703335362966,-0.0740556660039762,4.2991452991453,-0.160324388454179,-0.867454346644737,0.67162083297263,0.535110801245981,148.59,1909,37.7592997289218,154.133,2025-08-29
"AMDIND",106,42,64,0.39622641509434,-0.681810634842006,-0.00643217580039628,0.303171641791045,-0.11037394451146,4.04716981132075,-0.110322129770721,-0.776719844418637,0.732123090894366,0.542080233617738,49.06,5689,39.2078323376633,50.469,2025-08-29
"MARALOVER",121,51,70,0.421487603305785,-0.322605562069517,-0.002666161669996,0.2,-0.0987521803300684,4.11570247933884,-0.048371140965775,-0.75429062285102,0.877854111889592,0.475534473215453,56.35,4960,20.1866193223081,61.3955000000001,2025-08-29
"KOTHARIPRO",113,57,56,0.504424778761062,0.148784881167695,0.00131668036431588,0.221063829787234,-0.204812448474856,5.0353982300885,0.022647381709298,-0.554225027584034,1.06895433162092,0.434880045545187,75.67,3683,37.659792673026,78.6315,2025-08-29
"AIROLAM",118,41,77,0.347457627118644,-1.10408380524556,-0.00935664241733525,0.231715210355987,-0.116243382183688,3.96610169491525,-0.161007202707234,-1.95635097654046,0.630707434375716,0.517308031573165,108.13,2536,48.2649841750191,107.6815,2025-08-29
"NIFMID150",174,98,76,0.563218390804598,0.348334336947653,0.00200192147671065,0.0405453893074991,-0.0712396694214876,4.46551724137931,0.10998390243619,-0.224182759664967,1.32297148157565,0.58642822411639,210.04,1294,35.9430692180111,213.662,2025-08-29
"WEWIN",61,26,35,0.426229508196721,-0.200820791834782,-0.00329214412843904,0.230553608969867,-0.15075208913649,6.37704918032787,-0.0457549227146178,-0.705632040961719,0.885615678913773,0.416840816267785,51,5272,52.9663978201648,50.6375,2025-08-29
"MOQUALITY",166,93,73,0.560240963855422,0.448333757092912,0.00270080576561996,0.0507916923709644,-0.0560665362035225,4.43975903614458,0.149678431313065,-0.307209957882788,1.48598398585647,0.655805409420037,189.17,1421,43.227848080866,189.804,2025-08-29
"GROWWLOVOL",11,6,5,0.545454545454545,-0.00822256396117252,-0.000747505814652047,0.029233870967742,-0.0339622641509433,4.72727272727273,-0.038433246133116,-0.0697260848933021,0.907885895543203,0.35853623517127,10.09,26439,51.8836703363022,10.018,2025-08-29
"NATCAPSUQ",36,13,23,0.361111111111111,0.227880484581707,0.00633001346060296,0.143795554755692,-0.0963338533541341,4.36111111111111,0.0952430875754985,-0.325497288434651,1.28871872323701,0.460669756705437,196.49,1342,35.872362185719,206.7845,2025-08-29
"VARDHACRLC",121,44,77,0.363636363636364,-1.00886208546133,-0.00833770318563084,0.111548087236325,-0.114387053868322,4.29752066115702,-0.211212488860982,-1.15790610473894,0.575857650071224,0.516676674098031,44.51,5900,42.6937560007805,45.4165,2025-08-29
"ZODIACLOTH",105,42,63,0.4,-0.45379596637242,-0.00432186634640401,0.337314423156673,-0.279367973260407,5.13333333333333,-0.06553201688583,-0.892058777810099,0.819873239081751,0.528885307094385,96.44,2672,38.3077765174599,99.6725,2025-08-29
"ASPINWALL",143,57,86,0.398601398601399,-1.20260558474351,-0.00840982926394063,0.2,-0.112601748567983,4.15384615384615,-0.176844722491836,-1.43327744452929,0.625748868284523,0.532155306408872,266.05,960,38.0533583093393,273.6275,2025-08-29
"PARASPETRO",49,16,33,0.326530612244898,-0.881136997505252,-0.0179823877041888,0.0488721804511278,-0.0766423357664235,4.12244897959184,-0.603035445499423,-0.839336354418435,0.227941046709618,0.470753288344431,2.41,105550,45.4393511738993,2.424,2025-08-29
"HISARMETAL",149,63,86,0.422818791946309,-0.319357242878988,-0.00214333720053012,0.193548387096774,-0.0892560413996106,4.40939597315436,-0.0495219222372731,-0.814093488049936,0.875479038939508,0.474072162917337,187.76,1312,42.8102739699282,194.414,2025-08-29
"GLOBALE",5,2,3,0.4,0.00453127726723373,0.000906255453446744,0.0337490829053558,-0.0383250532292405,4.6,0.0308559242504213,-0.0556107675149548,1.08148201274178,0.283499432332837,13.55,17498,7.27650973982826,16.3355,2025-08-29
"TVVISION",6,1,5,0.166666666666667,-0.195223454839734,-0.032537242473289,0.05,-0.0909090909090909,182.166666666667,-0.661135949323853,-0.245223454839734,0.203895667454312,0.228001294165298,6.26,37451,53.9999888936049,6.69,2025-08-29
"SRGHFL",137,50,87,0.364963503649635,-0.425251530018766,-0.00310402576656034,0.190807378288479,-0.0876262626262626,4.34306569343066,-0.0714477682957598,-0.844877998064001,0.812238468784963,0.50333866298277,313.7,769,47.2212191761901,318.165,2025-08-29
"HEADSUP",83,31,52,0.373493975903614,-0.826061489208976,-0.00995254806275875,0.2,-0.216049382716049,4.8433734939759,-0.154072603630568,-1.11036131509278,0.66517662430253,0.528565855201337,10.59,22366,56.8533920483843,10.325,2025-08-29
"LFIC",88,26,62,0.295454545454545,-0.799197208998782,-0.00908178646589525,0.2,-0.249702153658164,5.14772727272727,-0.138308013529189,-1.14825895472903,0.677327533317917,0.506369116968155,201.72,1058,41.2706204160526,207.2425,2025-08-29
