SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Banking - Private,40.94,8,BANDHANBNK,BANDHANBNK,SMALL_CAP,207.63,-0.6,4.7,39.23,49.3,84.6,22.88,20,4,NA,STRONG_BULLISH,WEAK_HOLD
Banking - Private,40.94,8,RBLBANK,RBL Bank Limited,SMALL_CAP,345.75,2.95,1.33,10.6,46.7,67.4,4.33,9,9,NA,STRONG_BULLISH,WEAK_HOLD
Banking - Private,40.94,8,FEDERALBNK,Federal Bank Limited,SMALL_CAP,297.05,1.38,4.32,7.96,44.7,66.6,3.39,7,8,NA,STRONG_BULLISH,WEAK_HOLD
Banking - Private,40.94,8,INDUSINDBK,INDUSINDBK,MID_CAP,946.95,0.02,3.63,20.66,40,76.5,2.47,11,6,NA,STRONG_BULLISH,WEAK_HOLD
Banking - Private,40.94,8,HDFCBANK,HDFC Bank Limited,MID_CAP,796.05,-0.06,2.19,3.12,24,50.3,-12.7,1,12,NA,STRONG_BEARISH,SELL
Banking - PSU,28.66,7,PNBHOUSING,PNBHOUSING,MID_CAP,1051.6,-1.27,-0.14,28.71,46.7,81.9,24.93,18,6,NA,BULLISH,WEAK_HOLD
Banking - PSU,28.66,7,SBIN,State Bank of India,LARGE_CAP,1092,-0.36,0.47,5.98,34,57.2,-9.07,2,10,NA,STRONG_BULLISH,SELL
Banking - PSU,28.66,7,CANBK,Canara Bank,MICRO_CAP,135.93,-1.53,-0.82,4.96,22,38,-8.67,2,8,NA,STRONG_BEARISH,SELL
Banking - PSU,28.66,7,BANKBARODA,Bank of Baroda,SMALL_CAP,270.35,0.02,0.78,4.75,21.3,37.6,-10.84,1,10,NA,STRONG_BEARISH,SELL
Banking - PSU,28.66,7,PNB,Punjab National Bank,MICRO_CAP,109.11,-0.97,-1.86,4.33,19.3,35.2,-13.12,1,8,NA,STRONG_BEARISH,SELL
