SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
LUPIN,Lupin Limited,LARGE_CAP,2460.1,0.7,6.43,7.04,42.0,69.9,,12,6,,STRONG_BULLISH,WEAK_HOLD
SUMICHEM,SUMICHEM,SMALL_CAP,498.9,0.72,14.32,26.87,42.0,71.7,,18,5,,BULLISH,WEAK_HOLD
POLICYBZR,POLICYBZR,LARGE_CAP,1684.1,-1.04,-0.01,15.37,42.0,74.5,,16,10,,BULLISH,WEAK_HOLD
SCHAEFFLER,SCHAEFFLER,MID_CAP,4247.3,1.28,-1.84,14.59,42.0,63.6,,11,15,,STRONG_BULLISH,WEAK_HOLD
EMUDHRA,EMUDHRA,SMALL_CAP,536.5,6.73,9.58,19.2,42.0,75.6,,16,10,,BULLISH,WEAK_HOLD
MUTHOOTMF,MUTHOOTMF,SMALL_CAP,208.5,-2.79,8.26,34.75,42.0,69.8,,13,4,,STRONG_BULLISH,WEAK_HOLD
RSWM,RSWM,MICRO_CAP,168.99,-3.75,3.78,27.15,42.0,64.6,,14,6,,BULLISH,WEAK_HOLD
HINDWAREAP,HINDWAREAP,MICRO_CAP,244.62,10.78,9.93,24.14,42.0,70.2,,14,12,,BULLISH,WEAK_HOLD
KPEL,KPEL,SMALL_CAP,409.0,0.21,12.29,41.84,42.0,80.6,,18,9,,BULLISH,WEAK_HOLD
SAGCEM,SAGCEM,MICRO_CAP,193.36,4.87,4.98,11.91,42.0,64.1,,11,12,,BULLISH,WEAK_HOLD
KIRLOSENG,KIRLOSENG,MID_CAP,1727.9,1.09,1.7,23.57,42.0,65.3,,15,8,,STRONG_BULLISH,WEAK_HOLD
HOMEFIRST,HOMEFIRST,MID_CAP,1217.5,-0.74,5.4,21.69,42.0,69.6,,14,6,,BULLISH,WEAK_HOLD
MAXIND,MAXIND,MICRO_CAP,173.03,6.47,11.17,19.06,42.0,73.0,,16,10,,BULLISH,WEAK_HOLD
POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,42.0,52.8,,9,12,,STRONG_BULLISH,WEAK_HOLD
GICHSGFIN,GICHSGFIN,MICRO_CAP,157.33,1.35,2.69,9.65,42.0,62.6,,11,15,,BULLISH,WEAK_HOLD
CARRARO,CARRARO,MICRO_CAP,587.25,1.42,5.51,23.49,42.0,46.5,,11,11,,STRONG_BULLISH,WEAK_HOLD
APOLLOHOSP,APOLLOHOSP,LARGE_CAP,7837.0,0.99,1.66,6.97,42.0,63.8,,9,12,,STRONG_BULLISH,WEAK_HOLD
ABDL,ABDL,MICRO_CAP,572.0,4.99,3.65,36.16,42.0,61.0,,11,14,,BULLISH,WEAK_HOLD
AEGISVOPAK,AEGISVOPAK,SMALL_CAP,216.12,7.49,11.07,23.83,42.0,64.2,,13,10,,BULLISH,WEAK_HOLD
