SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Auto & Auto Ancillaries,56,12,2026-05-15,WHEELS,WHEELS,NA,LARGE_CAP,1467.3,10.32,10.36,42.76,78,87.5,65.45,STRONG_BULLISH,BUY,25,14,NA,46.83,NA,NA,NA,NA,NA,16,49,Lagging
Auto & Auto Ancillaries,56,12,2026-05-15,BAJAJ-AUTO,Bajaj Auto Limited,NA,LARGE_CAP,10377.5,-0.7,-3.12,5.62,60,67,6.81,STRONG_BULLISH,HOLD,11,10,NA,52.35,NA,NA,NA,NA,NA,160,49,Lagging
Auto & Auto Ancillaries,56,12,2026-05-15,MOTHERSON,MOTHERSON,NA,MICRO_CAP,129.92,3.02,-1.6,5.78,58.7,55.9,0.18,STRONG_BULLISH,HOLD,8,12,NA,51.57,NA,NA,NA,NA,NA,175,49,Lagging
Auto & Auto Ancillaries,56,12,2026-05-15,BHARATFORG,BHARATFORG,NA,LARGE_CAP,1913.1,-1.84,-3.85,3.09,50,56.7,2.84,STRONG_BULLISH,HOLD,7,4,NA,54.83,NA,NA,NA,NA,NA,325,49,Lagging
Auto & Auto Ancillaries,56,12,2026-05-15,ASHOKLEY,Ashok Leyland Limited,NA,MICRO_CAP,153.13,-0.78,-9.16,-13.35,33.3,29.1,-24.72,STRONG_BEARISH,SELL,1,8,NA,71.08,NA,NA,NA,NA,NA,609,49,Lagging
Media & Entertainment,55.88,14,2026-05-15,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1878.2,0.81,1.64,10.93,68,83,10.87,STRONG_BULLISH,BUY,16,13,NA,54.04,NA,NA,NA,NA,NA,65,54.4,Improving
Media & Entertainment,55.88,14,2026-05-15,DBREALTY,DBREALTY,NA,MICRO_CAP,117.72,-7.2,-17.09,7.78,54.7,59.7,6.21,BULLISH,HOLD,9,6,NA,72.04,NA,NA,NA,NA,NA,221,54.4,Improving
Media & Entertainment,55.88,14,2026-05-15,DBL,DBL,NA,SMALL_CAP,441.5,-6.52,-7.78,-3.02,54,44.5,8.87,BULLISH,HOLD,7,6,NA,59.47,NA,NA,NA,NA,NA,235,54.4,Improving
Media & Entertainment,55.88,14,2026-05-15,SUNFLAG,SUNFLAG,NA,SMALL_CAP,373.45,-1.23,-10.2,37.83,52.7,71.1,54.53,STRONG_BULLISH,HOLD,20,6,NA,NA,NA,NA,NA,NA,NA,272,54.4,Improving
Media & Entertainment,55.88,14,2026-05-15,LIQUIDBEES,LIQUIDBEES,NA,LARGE_CAP,1000,0,0,0,50,60,2.75,BULLISH,HOLD,7,10,NA,NA,NA,NA,NA,NA,NA,325,54.4,Improving
Telecom,54.66,13,2026-05-15,TATASTEEL,Tata Steel Limited,NA,SMALL_CAP,216.84,-1.94,1.1,2.92,60.7,59.3,4.87,STRONG_BULLISH,HOLD,8,6,NA,51.39,NA,NA,NA,NA,NA,149,50.7,Improving
Telecom,54.66,13,2026-05-15,IDEAFORGE,IDEAFORGE,NA,MID_CAP,818.7,-3.48,0.56,75.65,55.3,76.8,100.98,STRONG_BULLISH,HOLD,20,6,NA,NA,NA,NA,NA,NA,NA,209,50.7,Improving
Telecom,54.66,13,2026-05-15,COMMOIETF,COMMOIETF,NA,MICRO_CAP,103.96,-1.35,-1.24,2.55,54,54.1,5.43,STRONG_BULLISH,HOLD,9,10,NA,10,NA,NA,NA,NA,NA,235,50.7,Improving
Telecom,54.66,13,2026-05-15,TATACONSUM,Tata Consumer Products Limited,NA,LARGE_CAP,1234,0.46,4.91,11.92,53.3,61.4,10.89,STRONG_BULLISH,HOLD,15,9,NA,NA,NA,NA,NA,NA,NA,254,50.7,Improving
Telecom,54.66,13,2026-05-15,TATACOMM,TATACOMM,NA,LARGE_CAP,1680,1.44,5.51,7.6,50,72.6,7.91,BULLISH,HOLD,12,6,NA,NA,NA,NA,NA,NA,NA,325,50.7,Improving
Finance & NBFC,53.32,21,2026-05-15,PRECWIRE,PRECWIRE,NA,SMALL_CAP,376.05,-0.04,-10.71,2.55,59.3,45.4,23.18,STRONG_BULLISH,HOLD,15,2,NA,51.48,NA,NA,NA,NA,NA,164,42.3,Lagging
Finance & NBFC,53.32,21,2026-05-15,PFC,PFC,NA,SMALL_CAP,445.75,-1.26,-3.38,-2.87,58,39.1,10.47,STRONG_BULLISH,HOLD,11,10,NA,52.49,NA,NA,NA,NA,NA,182,42.3,Lagging
Finance & NBFC,53.32,21,2026-05-15,HDFCSILVER,HDFCSILVER,NA,SMALL_CAP,248.93,-7.97,3.63,4.62,51.3,63.1,1.02,STRONG_BULLISH,HOLD,12,4,NA,NA,NA,NA,NA,NA,NA,303,42.3,Lagging
Finance & NBFC,53.32,21,2026-05-15,POLICYBZR,POLICYBZR,NA,LARGE_CAP,1688.3,0.41,2.63,8.89,50.7,48.6,16.7,BULLISH,HOLD,15,6,NA,NA,NA,NA,NA,NA,NA,314,42.3,Lagging
Finance & NBFC,53.32,21,2026-05-15,LICHSGFIN,LICHSGFIN,NA,MID_CAP,547.05,-2.38,-5.92,2.28,47.3,52.2,4.47,STRONG_BULLISH,WEAK_HOLD,8,10,NA,NA,NA,NA,NA,NA,NA,372,42.3,Lagging
Consumer Durables,52.82,13,2026-05-15,CROMPTON,CROMPTON,NA,SMALL_CAP,301.95,4.5,2.95,15.7,78.7,79.9,19.85,STRONG_BULLISH,BUY,21,13,NA,57.18,NA,NA,NA,NA,NA,14,47.4,Lagging
Consumer Durables,52.82,13,2026-05-15,BUTTERFLY,BUTTERFLY,NA,MID_CAP,711.6,1.64,13.97,15.28,60.7,79.4,21.01,STRONG_BULLISH,HOLD,16,6,NA,51.8,NA,NA,NA,NA,NA,149,47.4,Lagging
Consumer Durables,52.82,13,2026-05-15,ORIENTELEC,ORIENTELEC,NA,MICRO_CAP,192.73,0.78,2.33,13.38,46.7,58.2,6.86,STRONG_BULLISH,WEAK_HOLD,9,9,NA,NA,NA,NA,NA,NA,NA,380,47.4,Lagging
Consumer Durables,52.82,13,2026-05-15,TITAN,TITAN,NA,LARGE_CAP,4169.1,0.82,-7.54,-6.55,39.3,38,-0.92,STRONG_BULLISH,WEAK_HOLD,1,8,NA,62.9,NA,NA,NA,NA,NA,517,47.4,Lagging
Consumer Durables,52.82,13,2026-05-15,ORIENTHOT,ORIENTHOT,NA,MICRO_CAP,101.1,2.42,-6.43,1.65,38.7,60,2.36,BULLISH,WEAK_HOLD,5,14,NA,NA,NA,NA,NA,NA,NA,527,47.4,Lagging
