INDEX_NAME,INDEX_STRENGTH,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Nifty Private Bank,45.04,2026-05-15,FEDERALBNK,Federal Bank Limited,NA,SMALL_CAP,281.3,0.37,-5.37,-1.09,33.3,35.8,-3.44,STRONG_BULLISH,SELL,1,6,NA,55.83,NA,NA,NA,NA,NA,609,48.7,Lagging
Nifty Private Bank,45.04,2026-05-15,INDUSINDBK,INDUSINDBK,NA,MID_CAP,886.4,-2.37,-6.77,4.54,31.3,58.1,-4.61,STRONG_BULLISH,SELL,6,8,NA,NA,NA,NA,NA,NA,NA,642,48.7,Lagging
Nifty Private Bank,45.04,2026-05-15,KOTAKBANK,Kotak Mahindra Bank Limited,NA,SMALL_CAP,387.05,1,1.64,2.08,29.3,66.1,-4.04,BULLISH,SELL,4,13,NA,NA,NA,NA,NA,NA,NA,668,48.7,Lagging
Nifty Oil & Gas,40.68,2026-05-15,ONGC,Oil and Natural Gas Corporation Limited,NA,SMALL_CAP,299.35,-0.52,7.22,5.87,64.7,60.7,9.77,STRONG_BULLISH,HOLD,12,8,NA,64.8,NA,NA,NA,NA,NA,107,45.9,Lagging
Nifty Oil & Gas,40.68,2026-05-15,OIL,OIL,NA,MID_CAP,518.3,0.14,14.11,12.09,50,65.8,9.85,STRONG_BULLISH,HOLD,14,4,NA,NA,NA,NA,NA,NA,NA,325,45.9,Lagging
Nifty Oil & Gas,40.68,2026-05-15,BPCL,Bharat Petroleum Corporation Limited,NA,SMALL_CAP,284.45,-3.58,-6.04,-7.63,30.7,36.1,-23.45,STRONG_BEARISH,SELL,1,8,NA,62.6,NA,NA,NA,NA,NA,651,45.9,Lagging
Nifty Oil & Gas,40.68,2026-05-15,GAIL,GAIL,NA,MICRO_CAP,162.13,-0.3,-2.62,2.02,30.7,41,-1.62,BULLISH,SELL,4,8,NA,NA,NA,NA,NA,NA,NA,651,45.9,Lagging
Nifty Oil & Gas,40.68,2026-05-15,RELIANCE,Reliance Industries Limited,NA,LARGE_CAP,1336.4,-1.87,-6.88,-0.51,27.3,51.6,-1.38,BULLISH,SELL,0,8,NA,NA,NA,NA,NA,NA,NA,698,45.9,Lagging
Nifty Media,34.7,2026-05-15,TVTODAY,TVTODAY,NA,MICRO_CAP,115.16,0.64,-7.28,0.44,34.7,55.2,-5.16,BULLISH,SELL,9,7,NA,NA,NA,NA,NA,NA,NA,591,49,Lagging
Nifty IT,33.46,2026-05-15,COFORGE,COFORGE,NA,LARGE_CAP,1282.1,0.59,-6.29,-2.37,53.3,64.9,10.87,BULLISH,HOLD,9,9,NA,54.71,NA,NA,NA,NA,NA,254,34,Lagging
Nifty IT,33.46,2026-05-15,TECHM,Tech Mahindra Limited,NA,LARGE_CAP,1370.5,2.02,-6.32,-8.08,46.7,51.8,3.68,BULLISH,WEAK_HOLD,6,16,NA,NA,NA,NA,NA,NA,NA,380,34,Lagging
Nifty IT,33.46,2026-05-15,INFY,Infosys Limited,NA,LARGE_CAP,1119,2.19,-5.11,-15.18,26,42.2,-11.19,STRONG_BEARISH,SELL,1,13,NA,NA,NA,NA,NA,NA,NA,710,34,Lagging
