INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty Private Bank,40.94,BANDHANBNK,BANDHANBNK,SMALL_CAP,207.63,-0.6,4.7,39.23,49.3,84.6,22.88,20,4,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Private Bank,40.94,RBLBANK,RBL Bank Limited,SMALL_CAP,345.75,2.95,1.33,10.6,46.7,67.4,4.33,9,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Private Bank,40.94,FEDERALBNK,Federal Bank Limited,SMALL_CAP,297.05,1.38,4.32,7.96,44.7,66.6,3.39,7,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Private Bank,40.94,INDUSINDBK,INDUSINDBK,MID_CAP,946.95,0.02,3.63,20.66,40,76.5,2.47,11,6,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Private Bank,40.94,HDFCBANK,HDFC Bank Limited,MID_CAP,796.05,-0.06,2.19,3.12,24,50.3,-12.7,1,12,NA,STRONG_BEARISH,SELL
Nifty Oil & Gas,37.86,ONGC,Oil and Natural Gas Corporation Limited,SMALL_CAP,283.9,1.1,-5.81,-0.96,44,51.2,3.73,6,6,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Oil & Gas,37.86,RELIANCE,Reliance Industries Limited,LARGE_CAP,1436.2,-0.12,0.76,10.09,42,69.4,2.25,7,8,NA,BULLISH,WEAK_HOLD
Nifty Oil & Gas,37.86,PETRONET,PETRONET,SMALL_CAP,282.1,-0.42,0.71,10.59,37.3,63.7,-6.17,7,10,NA,STRONG_BEARISH,WEAK_HOLD
Nifty Oil & Gas,37.86,GAIL,GAIL,MICRO_CAP,167.26,0.95,0.97,15.05,36,71.2,0.59,7,13,NA,BULLISH,WEAK_HOLD
Nifty Oil & Gas,37.86,OIL,OIL,SMALL_CAP,452.85,0.58,-8.12,-6.03,30,45.3,-4.64,1,6,NA,STRONG_BULLISH,SELL
Nifty Bank,32.94,FEDERALBNK,Federal Bank Limited,SMALL_CAP,297.05,1.38,4.32,7.96,44.7,66.6,3.39,7,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Bank,32.94,INDUSINDBK,INDUSINDBK,MID_CAP,946.95,0.02,3.63,20.66,40,76.5,2.47,11,6,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Bank,32.94,SBIN,State Bank of India,LARGE_CAP,1092,-0.36,0.47,5.98,34,57.2,-9.07,2,10,NA,STRONG_BULLISH,SELL
Nifty Bank,32.94,HDFCBANK,HDFC Bank Limited,MID_CAP,796.05,-0.06,2.19,3.12,24,50.3,-12.7,1,12,NA,STRONG_BEARISH,SELL
Nifty Bank,32.94,CANBK,Canara Bank,MICRO_CAP,135.93,-1.53,-0.82,4.96,22,38,-8.67,2,8,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,22.52,SBIN,State Bank of India,LARGE_CAP,1092,-0.36,0.47,5.98,34,57.2,-9.07,2,10,NA,STRONG_BULLISH,SELL
Nifty PSU Bank,22.52,CANBK,Canara Bank,MICRO_CAP,135.93,-1.53,-0.82,4.96,22,38,-8.67,2,8,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,22.52,BANKBARODA,Bank of Baroda,SMALL_CAP,270.35,0.02,0.78,4.75,21.3,37.6,-10.84,1,10,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,22.52,PNB,Punjab National Bank,MICRO_CAP,109.11,-0.97,-1.86,4.33,19.3,35.2,-13.12,1,8,NA,STRONG_BEARISH,SELL
Nifty PSU Bank,22.52,UNIONBANK,Union Bank of India,MICRO_CAP,167.28,-0.87,-0.02,-2.68,16,25,-11.38,1,10,NA,BULLISH,SELL
Nifty IT,20.92,COFORGE,COFORGE,LARGE_CAP,1285.3,0.38,6.75,4.44,29.3,46.7,-5.2,5,8,NA,STRONG_BEARISH,SELL
Nifty IT,20.92,TECHM,Tech Mahindra Limited,LARGE_CAP,1448.2,-1.26,-0.79,-1.71,25.3,43.8,-1.74,3,8,NA,BULLISH,SELL
Nifty IT,20.92,TCS,Tata Consultancy Services Limited,LARGE_CAP,2401.4,-1.4,-2.96,-5.45,19.3,29.3,-9.97,1,12,NA,STRONG_BEARISH,SELL
Nifty IT,20.92,WIPRO,Wipro Limited,MICRO_CAP,197.36,-0.88,-1.65,-3.6,16.7,28.2,-6.2,0,12,NA,STRONG_BEARISH,SELL
Nifty IT,20.92,MPHASIS,MPHASIS,LARGE_CAP,2193.1,-1.14,-2.56,-5.8,14,27.5,-7.37,0,10,NA,STRONG_BEARISH,SELL
