"symbol","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","processed_date","processing_batch","batch_number"
"AVL",73.11,74.35,86,59.86,66,NA,"20250812_1012",5
"AVONMORE",72.81,78.26,86,59.55,54,NA,"20250812_1012",5
"AVROIND",61.65,70,56,57.73,54,NA,"20250812_1013",5
"AVTNPL",51.56,51.3,51,54.55,49.17,NA,"20250812_1014",6
"AWFIS",55.21,53.81,51,58.18,62,NA,"20250812_1014",6
"AWHCL",61.84,58.04,77,56.36,54,NA,"20250812_1015",6
"AWL",63.12,68.26,60,59.09,60,NA,"20250812_1016",6
"AXISBANK",52.47,51.19,47,54.71,62,NA,"20250812_1016",6
"AXISBNKETF",10,10,10,10,10,NA,"20250812_1017",6
"AXISBPSETF",10,10,10,10,10,NA,"20250812_1018",6
"AXISCADES",51.83,51.3,47,57.27,54,NA,"20250812_1018",6
"AXISCETF",10,10,10,10,10,NA,"20250812_1019",6
"AXISGOLD",10,10,10,10,10,NA,"20250812_1019",6
"AXISHCETF",10,10,10,10,10,NA,"20250812_1020",6
"AXISILVER",10,10,10,10,10,NA,"20250812_1020",6
"AXISNIFTY",10,10,10,10,10,NA,"20250812_1021",6
"AXISTECETF",10,10,10,10,10,NA,"20250812_1021",6
"AXISVALUE",10,10,10,10,10,NA,"20250812_1022",6
"AXITA",68.32,72.61,82,59.18,46.25,NA,"20250812_1023",6
"AXSENSEX",10,10,10,10,10,NA,"20250812_1023",6
"AYMSYNTEX",63.63,71.74,60,59.18,54,NA,"20250812_1024",6
"AZAD",55.24,52.39,51,58.18,66,NA,"20250812_1025",6
"BAFNAPH",63.09,58.04,77,60,57.5,NA,"20250812_1026",6
"BAGFILMS",72.28,78.91,86,61.36,46.25,NA,"20250812_1026",6
"BAIDFIN",51.79,53.1,51,54.32,46.25,NA,"20250812_1027",6
"BAJAJ-AUTO",52.35,51.96,47,56.59,56.67,NA,"20250812_1028",6
"BAJAJCON",61.4,60.24,65,60.25,60,NA,"20250812_1028",6
"BAJAJELEC",51.5,48.48,47,54.55,63,NA,"20250812_1029",6
"BAJAJFINSV",52.46,50.71,47,54.86,63,NA,"20250812_1030",7
"BAJAJHCARE",52.34,53.04,47,56.36,54,NA,"20250812_1030",7
"BAJAJHFL",51.36,53.1,47,56.84,46.67,NA,"20250812_1031",7
"BAJAJHIND",63.73,70,70,55.91,47,NA,"20250812_1032",7
"BAJAJHLDNG",53.83,50.65,55,54.09,60,NA,"20250812_1033",7
"BAJAJINDEF",55.61,60,48.33,54.52,57.5,NA,"20250812_1033",7
"BAJEL",61.91,62.17,64,57.95,63,NA,"20250812_1034",7
"BAJFINANCE",51.99,50.65,47,55.53,59.17,NA,"20250812_1035",7
"BALAJEE",61.51,67.61,60,56.82,54,NA,"20250812_1035",7
"BALAJITELE",53.41,54.13,51,58.18,49.17,NA,"20250812_1036",7
"BALAMINES",66.37,72.61,70,58.64,54,NA,"20250812_1037",7
"BALAXI",51.91,51.3,47,55.45,57,NA,"20250812_1038",7
"BALKRISHNA",50.18,49.2,47.5,52.62,54,NA,"20250812_1038",7
"BALKRISIND",51.38,50.22,47,55.23,56.67,NA,"20250812_1039",7
"BALMLAWRIE",68.31,75.22,82,61.59,36,NA,"20250812_1040",7
"BALPHARMA",57.8,62.17,56,54.32,53.75,NA,"20250812_1040",7
"BALRAMCHIN",69.75,71.09,82,56.82,63,NA,"20250812_1041",7
"BALUFORGE",62.43,70.95,60,60.25,46.67,NA,"20250812_1042",7
"BANARBEADS",51.2,50.71,47,55.5,53.75,NA,"20250812_1043",7
"BANARISUG",51.24,51.3,47,54.32,54,NA,"20250812_1043",7
"BANCOINDIA",54.64,53.7,51,59.32,57,NA,"20250812_1044",7
"BANDHANBNK",65.58,70.71,70,56.47,56.67,NA,"20250812_1045",7
"BANG",61.37,63.04,64,60.45,53.75,NA,"20250812_1045",7
"BANKA",51.19,49.35,47,58.18,53.75,NA,"20250812_1046",7
"BANKBARODA",53.65,55.48,47,57.94,54.17,NA,"20250812_1047",7
"BANKBEES",10,10,10,10,10,NA,"20250812_1048",8
"BANKBETF",10,10,10,10,10,NA,"20250812_1048",8
"BANKETF",10,10,10,10,10,NA,"20250812_1049",8
"BANKETFADD",10,10,10,10,10,NA,"20250812_1050",8
"BANKIETF",10,10,10,10,10,NA,"20250812_1050",8
"BANKINDIA",52.66,50.71,47,55.88,63,NA,"20250812_1051",8
"BANKNIFTY1",10,10,10,10,10,NA,"20250812_1052",8
"BANKPSU",10,10,10,10,10,NA,"20250812_1052",8
"BANSALWIRE",51.32,48.48,47,55.91,60,NA,"20250812_1053",8
"BANSWRAS",41.89,44.04,25.71,48.75,54,NA,"20250812_1054",8
"BARBEQUE",60.38,64.35,60,53.18,60,NA,"20250812_1054",8
"BASF",64.85,71.74,60,60.77,60,NA,"20250812_1055",8
"BASML",66.53,72.61,76,57.73,46.25,NA,"20250812_1056",8
"BATAINDIA",69.28,71.96,76,60.23,63,NA,"20250812_1056",8
"BAYERCROP",51.4,50,44.17,54.57,63,NA,"20250812_1057",8
"BBETF0432",10,10,10,10,10,NA,"20250812_1058",8
"BBL",50.99,49.57,47,54.32,57,NA,"20250812_1058",8
"BBNPNBETF",10,10,10,10,10,NA,"20250812_1059",8
"BBNPPGOLD",10,10,10,10,10,NA,"20250812_1059",8
"BBOX",59.11,60.65,65,56.14,49.17,NA,"20250812_1100",8
"BBTC",58.29,64.25,51.25,56.14,57,NA,"20250812_1101",8
"BBTCL",62.47,66.52,64,56.82,56.67,NA,"20250812_1101",8
"BCG",50.75,52.62,53,53.5,38.33,NA,"20250812_1102",8
"BCLIND",72.93,76.09,94,60,46.67,NA,"20250812_1103",8
"BCONCEPTS",53.21,50.22,55,56.36,54,NA,"20250812_1104",8
"BDL",73.31,74.78,94,58.86,54.17,NA,"20250812_1105",9
"BEARDSELL",60.18,63.7,61,62.27,46.67,NA,"20250812_1105",9
"BECTORFOOD",54.89,49.57,55,57.05,66,NA,"20250812_1106",9
"BEDMUTHA",63.93,70,64,59.32,53.75,NA,"20250812_1107",9
"BEL",54.37,52.39,47,56.59,69,NA,"20250812_1107",9
"BELLACASA",50.94,50.22,47,56.14,52.5,NA,"20250812_1108",9
"BELRISE",53.29,50.22,51,57.27,60,NA,"20250812_1109",9
"BEML",52.07,49.57,47,55.23,63,NA,"20250812_1109",9
"BEPL",74.21,77.14,92,61.25,54,NA,"20250812_1110",9
"BERGEPAINT",62.85,66.87,58.6,60,63,NA,"20250812_1111",9
"BESTAGRO",50.33,48.48,47,55.45,54,NA,"20250812_1112",9
"BFINVEST",64.7,72.38,64,56,57,NA,"20250812_1112",9
"BFSI",10,10,10,10,10,NA,"20250812_1113",9
"BFUTILITIE",59.72,65.65,56,56.82,54,NA,"20250812_1114",9
"BGRENERGY",58.43,63.61,54.6,56.19,54,NA,"20250812_1114",9
"BHAGCHEM",58.51,56.3,71,58.18,44,NA,"20250812_1115",9
"BHAGERIA",52.11,49.57,51,54.55,57.5,NA,"20250812_1116",9
"BHAGYANGR",61.78,56.3,81,58.18,49.17,NA,"20250812_1116",9
"BHANDARI",70.62,71.82,94,57.27,46.25,NA,"20250812_1117",9
"BHARATFORG",54.83,55.22,53,56.82,54.17,NA,"20250812_1118",9
"BHARATGEAR",51.91,51.96,47,56.36,54,NA,"20250812_1118",9
"BHARATRAS",75.27,77.83,92,62.95,57,NA,"20250812_1119",9
"BHARATSE",52.61,50.22,51,56.14,57,NA,"20250812_1120",9
"BHARATWIRE",52.64,53.1,51,57.27,48,NA,"20250812_1121",9
"BHARTIARTL",52.75,50.65,51,54.32,59.17,NA,"20250812_1121",9
"BHARTIHEXA",53.93,52.39,51,56.14,60,NA,"20250812_1122",10
"BHEL",53.94,54.13,47,55.45,63,NA,"20250812_1123",10
"BIGBLOC",56,51.96,67,55.45,49.17,NA,"20250812_1123",10
"BIKAJI",52.34,49.57,47,56.59,63,NA,"20250812_1124",10
"BIL",52.66,50.22,55,53.64,54,NA,"20250812_1125",10
"BINANIIND",10,10,10,10,10,NA,"20250812_1125",10
"BIOCON",58.99,60.43,56,56.82,63,NA,"20250812_1126",10
"BIOFILCHEM",50.64,51.96,47,54.55,48,NA,"20250812_1126",10
"BIRLACABLE",51.21,50.22,47,56.36,54,NA,"20250812_1127",10
"BIRLACORPN",55.28,66,65,55.65,10,NA,"20250812_1127",10
"BIRLAMONEY",10,10,10,10,10,NA,"20250812_1127",10
"BIRLANU",67.35,71.07,83.75,58.68,41.67,NA,"20250812_1128",10
"BLACKBUCK",62.86,66.96,62,58.64,59,NA,"20250812_1129",10
"BLAL",55.13,62.67,45,51.33,57,NA,"20250812_1130",10
"BLBLIMITED",49.27,46.18,53,53.06,46.25,NA,"20250812_1130",10
"BLISSGVS",66.8,73.48,70,56.82,57,NA,"20250812_1131",10
"BLKASHYAP",68.17,72.17,76,61,54,NA,"20250812_1132",10
"BLS",54.09,53.1,51,57.75,57,NA,"20250812_1132",10
"BLSE",53.15,50,55,56.5,54,NA,"20250812_1133",10
"BLUECHIP",52.55,64.21,48.33,47.65,35,NA,"20250812_1134",10
"BLUECOAST",47.89,51.09,36.67,48.95,56.67,NA,"20250812_1134",10
"BLUEDART",59.46,62.17,56,55.68,63,NA,"20250812_1135",10
"BLUEJET",51.68,51.19,47,56.75,54,NA,"20250812_1136",10
"BLUESTARCO",72.84,74.35,86,58.5,66,NA,"20250812_1136",10
"BLUSPRING",47.63,47.95,40.83,46.18,60,NA,"20250812_1137",10
"BODALCHEM",69.07,68.7,94,55.45,46.67,NA,"20250812_1138",11
"BOHRAIND",41.13,44.47,30,52.94,35,NA,"20250812_1139",11
"BOMDYEING",58.79,65.78,54.6,53.64,54,NA,"20250812_1139",11
"BORANA",58.26,57.17,59,58.18,60,NA,"20250812_1140",11
"BOROLTD",64.73,68.33,68,57,60,NA,"20250812_1141",11
"BORORENEW",63.2,57.38,81,59.5,54,NA,"20250812_1142",11
"BOROSCI",51.59,50.71,47,57.27,54,NA,"20250812_1142",11
"BOSCHLTD",53.48,51.96,47,57.5,63,NA,"20250812_1143",11
"BPCL",62.6,70,56,58.64,59.17,NA,"20250812_1144",11
"BPL",63.76,68.82,64,60.83,53.75,NA,"20250812_1144",11
"BRIGADE",56.82,55.43,51,60,66,NA,"20250812_1145",11
"BRIGHOTEL",49.12,46.4,47.5,46.18,63,NA,"20250812_1146",11
"BRITANNIA",52.36,51.96,47,54.77,59.17,NA,"20250812_1147",11
"BRNL",53.85,52.39,55,55.24,54,NA,"20250812_1147",11
"BROOKS",71.8,73.48,86,59.55,60,NA,"20250812_1148",11
"BSE",61.34,64.35,60,57.05,61.25,NA,"20250812_1149",11
