SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Finance & NBFC,52.64,18,44,BAJFINANCE,BAJAJ FINANCE LIMITED,LARGE_CAP,1052.3,-1,-3.82,5.35,57.3,52.4,BULLISH,17.32,13,12,15,51.99,50.65,47,55.53,59.17,4501479931.2,HOLD,2025-10-30
Finance & NBFC,52.64,18,202,BAJAJFINSV,BAJAJ FINSERV LTD.,SMALL_CAP,2114.6,-1.05,-2.85,5.39,56,56.5,STRONG_BULLISH,5.42,9,12,15,52.46,50.71,47,54.86,63,1033436796.6,HOLD,2025-10-30
Finance & NBFC,52.64,18,438,PRECWIRE,PRECISION WIRES INDIA LTD,MICRO_CAP,227.53,0.57,10.96,23.99,45.3,71.5,STRONG_BULLISH,28.01,15,2,0,NA,NA,NA,NA,NA,237960660.15,WEAK_HOLD,2025-10-30
Finance & NBFC,52.64,18,288,HDFCSILVER,HDFCAMC - HDFCSILVER,SMALL_CAP,141.23,-0.28,0.15,3.06,43.3,49,BULLISH,21.59,11,6,0,NA,NA,NA,NA,NA,539940093.84,WEAK_HOLD,2025-10-30
Metals & Mining,52.14,24,26,COALINDIA,COAL INDIA LTD,LARGE_CAP,387.7,1.49,-1.26,-0.58,56.7,49.3,BULLISH,-4.62,5,10,25,71.16,75.65,82,61.36,54.17,5837125826.85,HOLD,2025-10-30
Metals & Mining,52.14,24,192,TATACOMM,TATA COMMUNICATIONS LTD,SMALL_CAP,1913.8,0.21,3.33,18.63,53.3,62,BULLISH,11.67,13,13,0,NA,NA,NA,NA,NA,1091235398.8,HOLD,2025-10-30
Metals & Mining,52.14,24,644,RAMCOIND,RAMCO INDUSTRIES LIMITED,MICRO_CAP,359.85,1.15,6.8,7.88,52.7,60,BULLISH,18.45,14,4,0,NA,NA,NA,NA,NA,90455051,HOLD,2025-10-30
Metals & Mining,52.14,24,127,NATIONALUM,NATIONAL ALUMINIUM CO LTD,MID_CAP,238.08,-0.01,4.29,11.32,49.3,72,STRONG_BULLISH,20.31,15,8,0,NA,NA,NA,NA,NA,1779365677.75,WEAK_HOLD,2025-10-30
Metals & Mining,52.14,24,45,TATASTEEL,TATA STEEL LIMITED,LARGE_CAP,184.35,-0.45,5.85,9.23,48.7,71,STRONG_BULLISH,10.05,11,6,0,NA,NA,NA,NA,NA,4452835993.47,WEAK_HOLD,2025-10-30
Consumer Durables,51.44,12,301,BLUESTARCO,BLUE STAR LIMITED,MICRO_CAP,1961.8,-0.17,-0.53,4.3,68,54.4,STRONG_BULLISH,6.7,7,12,25,72.84,74.35,86,58.5,66,500683689.7,BUY,2025-10-30
