INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
NIFTY SMLCAP 50,52.26,92,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1060.5,-2.38,-6.98,-0.02,40,50.7,STRONG_BULLISH,7.06,4,6,0,10,10,10,10,10,2700296605.1,WEAK_HOLD,2025-11-06
Nifty Oil & Gas,50.12,46,BPCL,BHARAT PETROLEUM CORP  LT,LARGE_CAP,367.95,-1.34,2.89,7.62,66,70.1,STRONG_BULLISH,13.4,12,6,20,62.6,70,56,58.64,59.17,4383652002.35,BUY,2025-11-06
Nifty Oil & Gas,50.12,3,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1496.1,1.56,0.51,8.04,50,67.3,BULLISH,4.28,6,17,0,NA,NA,NA,NA,NA,25059656533.3,HOLD,2025-11-06
Nifty Oil & Gas,50.12,90,MRPL,MRPL,MID_CAP,169.86,-3.44,4.48,13.79,49.3,70.7,STRONG_BULLISH,34.2,16,2,0,NA,NA,NA,NA,NA,2727446481.21,WEAK_HOLD,2025-11-06
Nifty Oil & Gas,50.12,69,IOC,INDIAN OIL CORP LTD,MID_CAP,168.37,-0.52,2.97,9.07,48,75.7,STRONG_BULLISH,17.44,12,4,0,NA,NA,NA,NA,NA,3321974233.2,WEAK_HOLD,2025-11-06
Nifty Oil & Gas,50.12,145,ONGC,OIL AND NATURAL GAS CORP.,MID_CAP,251.5,-0.34,-1.19,2.52,37.3,55.5,BULLISH,4.1,3,12,0,NA,NA,NA,NA,NA,1763817544,WEAK_HOLD,2025-11-06
Nifty Metal,50,2,HINDALCO,HINDALCO  INDUSTRIES  LTD,LARGE_CAP,788.4,-5.17,-8.47,2.68,60,46.5,STRONG_BULLISH,10.89,14,10,0,NA,NA,NA,NA,NA,27201452543.05,HOLD,2025-11-06
Nifty Metal,50,58,VEDL,VEDANTA LIMITED,MID_CAP,504.95,-0.63,-0.39,7.01,50,60.7,STRONG_BULLISH,11.75,11,10,0,NA,NA,NA,NA,NA,3669936285.05,HOLD,2025-11-06
Nifty Metal,50,170,NATIONALUM,NATIONAL ALUMINIUM CO LTD,SMALL_CAP,230.59,-1.15,-3.15,6.23,49.3,55.1,STRONG_BULLISH,18.36,11,10,0,NA,NA,NA,NA,NA,1394106678.78,WEAK_HOLD,2025-11-06
Nifty Metal,50,50,TATASTEEL,TATA STEEL LIMITED,LARGE_CAP,177.27,-1.13,-3.84,3.41,46.7,53.4,STRONG_BULLISH,7.88,5,10,0,NA,NA,NA,NA,NA,4208479735.84,WEAK_HOLD,2025-11-06
