Date,Open,High,Low,Close,Volume
2022-07-27,77.0889,78.4232,76.1006,77.1384,467
2022-07-28,78.4726,78.4726,76.1994,76.2983,423
2022-07-29,78.0772,78.0772,76.1006,76.3477,1041
2022-08-01,78.2255,79.0161,75.557,76.6936,1622
2022-08-02,77.6819,77.6819,75.6559,75.8041,2072
2022-08-03,74.6676,77.929,74.6676,75.8041,2167
2022-08-04,75.0135,77.0889,74.964,75.9524,2745
2022-08-05,77.1384,77.336,74.4205,75.6065,3894
2022-08-08,78.0278,78.0278,75.1123,75.6065,4763
2022-08-10,74.1734,77.4843,74.124,76.6936,8414
2022-08-11,76.6936,76.6936,74.6181,74.6181,6326
2022-08-12,74.9146,77.0889,74.4699,76.9407,25173
2022-08-16,76.8913,76.8913,73.8769,74.2228,4675
2022-08-17,74.1734,74.371,61.6217,71.8014,26132
2022-08-18,70.5166,71.6532,69.1824,69.5777,5732
2022-08-19,70.1707,71.4061,69.38,69.8248,3291
2022-08-22,72.345,72.5427,70.3189,70.9119,2424
2022-08-23,71.0108,71.9991,70.2695,70.9119,818
2022-08-24,72.2956,72.2956,70.3189,70.8625,1332
2022-08-25,70.4672,72.0979,70.4672,70.7637,1649
2022-08-26,71.752,71.752,66.0197,68.3917,26761
2022-08-29,68.3917,69.6765,67.2057,67.9964,2729
2022-08-30,70.566,70.566,66.3162,67.5022,10844
2022-09-01,65.3279,69.973,65.2785,68.0458,3014
2022-09-02,68.0458,69.4295,67.7987,68.9353,3997
2022-09-05,68.9847,70.9119,66.2174,67.4034,12332
2022-09-06,68.9353,69.1824,66.3162,68.54,30520
2022-09-07,68.8365,69.0835,68.1941,68.4411,2172
2022-09-08,69.1329,70.0719,68.4905,69.0835,10009
2022-09-09,69.0835,79.0656,68.9353,74.2228,182461
2022-09-12,76.9901,78.0773,73.7286,74.4205,11001
2022-09-13,74.3216,76.0512,71.2084,71.9991,6056
2022-09-14,71.3567,73.1357,70.2695,72.0979,3809
2022-09-15,72.938,73.6298,60.2381,71.0108,10508
2022-09-16,69.6271,71.9497,58.8544,66.3162,43413
2022-09-19,71.0108,71.159,65.2291,67.4528,11598
2022-09-20,67.7493,69.1824,65.4762,66.2668,3674
2022-09-21,70.5166,70.566,66.2668,66.7116,1666
2022-09-22,68.0458,69.0835,66.5633,67.9964,5617
2022-09-23,66.5633,69.0835,64.2408,66.3162,10390
2022-09-26,64.982,69.133,64.982,66.9092,17881
2022-09-27,64.9326,67.9964,64.7349,66.2668,4194
2022-09-28,66.2668,67.2057,64.4384,65.3773,7320
2022-09-29,67.0575,68.0952,64.2408,65.0808,7529
2022-09-30,67.0575,67.4034,65.1797,66.9092,1637
2022-10-03,69.8742,69.8742,66.0692,66.9092,1258
