DATE,SYMBOL,ALERT_TYPE,ENTITY,QTY,VALUE_CR,CATEGORY,DETAIL,SOURCE
2026-04-24,AQYLON,PROMOTER_SELLING,KURJIBHAI PREMJIBHAI RUPARELIYA,11186984,57.14,Promoters,Market Sale,PIT
2026-04-25,PKTEA,PROMOTER_BUYING,Maharaja Shree Umaid Mills Ltd,1220606,0.0,Promoter Group,Scheme of Amalgamation/Merger/Demerger/Arrangement,PIT
2026-04-25,PKTEA,PROMOTER_SELLING,PLACID LIMITED,1220606,0.0,Promoter Group,Scheme of Amalgamation/Merger/Demerger/Arrangement,PIT
2026-04-22,SAIFL,PROMOTER_SELLING,Satya Murthy Sivalenka,1601000,1.54,Promoters,Market Sale,PIT
2026-04-24,PARIN,PROMOTER_SELLING,P.P. FURNITURE  PRIVATE LIMITED,9000,0.56,Promoter Group,Market Sale,PIT
2026-03-20,MGEL,INSIDER_BUY,Vasrsha Biswajit Adhikari,10000,0.01,Director,Market Purchase,PIT
2026-04-20,OMAXE,PROMOTER_PLEDGE,Guild Builders Private Limited,35257799,35.26,Promoters,Others,PIT
2026-04-22,PARIN,PROMOTER_SELLING,P.P. FURNITURE  PRIVATE LIMITED,14000,0.85,Promoter Group,Market Sale,PIT
2026-04-23,PARIN,PROMOTER_SELLING,P.P. FURNITURE  PRIVATE LIMITED,8250,0.5,Promoter Group,Market Sale,PIT
2026-04-22,GAYAPROJ,PROMOTER_BUYING,T V Sandeep Kumar Reddy,100000000,100.0,Promoters,Preferential Offer,PIT
2026-04-22,VISHWAS,PROMOTER_SELLING,Shivlal Veljibhai Bhanderi,200000,0.0,Promoters,Gift,PIT
2026-04-22,VISHWAS,PROMOTER_SELLING,Dineshbhai Madhabhai Suvagiya,200000,0.58,Promoters,Off Market,PIT
2026-04-22,VISHWAS,PROMOTER_SELLING,Rameshbhai Laljibhai Suvagiya,200000,0.58,Promoters,Off Market,PIT
2026-04-22,VISHWAS,PROMOTER_SELLING,Ketankumar Babubhai Suvagiya,200000,0.58,Promoters,Off Market,PIT
2026-04-22,VISHWAS,PROMOTER_SELLING,Babubhai Laljibhai Suvagiya,200000,0.58,Promoters,Off Market,PIT
2026-04-22,VISHWAS,PROMOTER_SELLING,Ilaben Pareshbhai Patel,200000,0.58,Promoters,Off Market,PIT
2026-04-22,VISHWAS,PROMOTER_BUYING,Kalubhai Maganbhai Vekaria,200000,0.58,Promoters,Off Market,PIT
2026-04-22,VISHWAS,PROMOTER_BUYING,Maheshbhai Shibabhai Gajera,400000,1.16,Promoters,Off Market,PIT
2026-04-22,VISHWAS,PROMOTER_BUYING,Bharatbhai Shibabhai Gajera,400000,1.16,Promoters,Off Market,PIT
2026-04-22,VISHWAS,PROMOTER_BUYING,Ashokbhai Shibabhai Gajera,200000,0.0,Promoters,Gift,PIT
2026-04-21,SAIFL,PROMOTER_SELLING,Satya Murthy Sivalenka,268000,0.27,Promoters,Market Sale,PIT
2026-04-17,RAMCOSYS,PROMOTER_BUYING,Saradha Deepa,3750,0.16,Promoter Group,Others,PIT
2026-04-21,PARIN,PROMOTER_SELLING,P.P. FURNITURE  PRIVATE LIMITED,9000,0.55,Promoter Group,Market Sale,PIT
2026-04-20,PARIN,PROMOTER_SELLING,P.P. FURNITURE  PRIVATE LIMITED,8500,0.51,Promoter Group,Market Sale,PIT
2026-04-16,DMART,INSIDER_BUY,Elvin Elias Machado,20000,0.6,Director,ESOP,PIT
2026-03-16,CONFIPET,PROMOTER_BUYING,NEELA KHARA,8344164,0.0,Promoter Group,Inter-se-Transfer,PIT
2026-04-15,VIAZ,PROMOTER_BUYING,Patel Janakkumar Mahendrabhai,870000,6.09,Promoters,Conversion of security,PIT
2026-04-10,VPRPL,PROMOTER_PLEDGE,Nitu Punglia,900000,3.84,Promoter Group,Pledge Creation,PIT
2026-04-17,CAMLINFINE,PROMOTER_PLEDGE,Ashish Subhash Dandekar,3296000,35.07,Director,Revokation of Pledge,PIT
2026-04-15,SAIFL,PROMOTER_SELLING,Satya Murthy Sivalenka,1568000,1.67,Promoters,Market Sale,PIT
2026-04-18,NEOGEN,PROMOTER_BUYING,CADAMBA SOLUTIONS PRIVATE LIMITED,1000000,161.0,Promoter Group,Preferential Offer,PIT
2026-02-04,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,1009,0.12,Promoter Group,Market Purchase,PIT
2026-03-02,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,214,0.02,Promoter Group,Market Purchase,PIT
2026-03-04,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,25,0.0,Promoter Group,Market Purchase,PIT
2026-03-05,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,20,0.0,Promoter Group,Market Purchase,PIT
2026-03-06,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,293,0.03,Promoter Group,Market Purchase,PIT
2026-03-10,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,50,0.01,Promoter Group,Market Purchase,PIT
2026-03-12,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,50,0.01,Promoter Group,Market Purchase,PIT
2026-03-13,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,98,0.01,Promoter Group,Market Purchase,PIT
2026-03-16,DPABHUSHAN,PROMOTER_BUYING,Mayank Ghota,100,0.01,Promoter Group,Market Purchase,PIT
2026-02-12,DPABHUSHAN,PROMOTER_SELLING,Santosh Ratanlal Kataria HUF,200000,0.0,Promoter Group,Off Market,PIT
2026-03-16,DPABHUSHAN,PROMOTER_BUYING,Vikas Kataria,200000,0.0,Promoters,Off Market,PIT
2026-02-12,DPABHUSHAN,PROMOTER_BUYING,Santosh Kataria,200000,0.0,Promoters,Off Market,PIT
2026-03-16,DPABHUSHAN,PROMOTER_SELLING,Vikas Ratanlal Kataria HUF,200000,0.0,Promoter Group,Off Market,PIT
2026-04-10,CAMLINFINE,PROMOTER_PLEDGE,Ashish Subhash Dandekar,800000,8.37,Director,Revokation of Pledge,PIT
2026-04-15,HGS,PROMOTER_PLEDGE,Hinduja Group Ltd.,4500000,184.95,Promoters,,PIT
2026-04-15,SAKHTISUG,PROMOTER_PLEDGE,ABT INVESTMENTS (INDIA) PRIVATE LIMITED,6439394,11.67,Promoter Group,Revokation of Pledge,PIT
2026-04-08,360ONE,PROMOTER_PLEDGE,RONAK RAMESH SHETH,10000,0.97,Employees/Designated Employees,Pledge Creation,PIT
2026-04-13,DESTINY,PROMOTER_BUYING,JUGAL KISHORE BHAGAT,1054500,3.48,Promoters,Preferential Offer,PIT
2026-04-09,HMAAGRO,PROMOTER_SELLING,ZULFIQAR AHMAD QURASHI,7141000,12.85,Promoters,Market Sale,PIT
2026-04-09,HMAAGRO,PROMOTER_SELLING,MOHAMMAD ASHRAF QURESHI,7141000,12.85,Promoters,Market Sale,PIT
2026-04-09,HMAAGRO,PROMOTER_SELLING,MOHAMMAD MEHMOOD QURESHI,7141000,12.85,Promoters,Market Sale,PIT
2026-04-09,HMAAGRO,PROMOTER_SELLING,GULZAR AHMAD,4256543,7.66,Promoters,Market Sale,PIT
2026-04-09,HMAAGRO,PROMOTER_SELLING,WAJID AHMED,7501630,13.5,Promoters,Market Sale,PIT
2026-04-10,TEMBO,PROMOTER_PLEDGE,Mr. Sanjay Jashbhai Patel,50000,2.4,Promoters,Pledge Creation,PIT
2026-04-13,NEOGEN,PROMOTER_PLEDGE,HARIN HARIDAS KANANI,2019167,0.0,Promoters,Pledge Creation,PIT
2026-01-19,NEWJAISA,PROMOTER_SELLING,Mukunda Raghavendra,64500,0.11,Promoters,Market Sale,PIT
2026-04-08,CAMLINFINE,PROMOTER_PLEDGE,Ashish Subhash Dandekar,2500000,27.35,Director,Pledge Creation,PIT
2026-04-07,CAMLINFINE,PROMOTER_PLEDGE,Ashish Subhash Dandekar,1250000,12.98,Director,Pledge Creation,PIT
2026-03-25,SIGIND,INSIDER_BUY,Mukesh Sangla,44743,0.2,Director,Market Purchase,PIT
2026-03-23,SIGIND,INSIDER_BUY,Mukesh Sangla,1710,0.01,Director,Market Purchase,PIT
2026-04-11,KIRIINDUS,PROMOTER_BUYING,Arunaben Pravinbhai Kiri,1041310,18.85,Promoter Group,Preferential Offer,PIT
2026-04-11,KIRIINDUS,PROMOTER_BUYING,Anupama Manishkumar Kiri,1465547,26.53,Promoter Group,Preferential Offer,PIT
2026-04-11,KIRIINDUS,PROMOTER_BUYING,Manishkumar P Kiri,1401444,25.37,Promoters,Preferential Offer,PIT
2026-04-11,KIRIINDUS,PROMOTER_BUYING,Hemil Manishkumar Kiri,1237145,22.39,Promoter Group,Preferential Offer,PIT
2026-03-05,LEXUS,PROMOTER_SELLING,Nilesh Babubhai Detroja,48602,0.19,Promoters,Market Sale,PIT
2026-02-23,LEXUS,PROMOTER_SELLING,Nilesh Babubhai Detroja,38633,0.15,Promoters,Market Sale,PIT
2026-04-10,UNIHEALTH,PROMOTER_BUYING,Dr.Anurag Shah,100000,1.51,Promoters,Others,PIT
2026-04-10,UNIHEALTH,PROMOTER_BUYING,Dr.Akshay M.Parmar,100000,1.51,Promoters,Others,PIT
2026-03-27,VPRPL,PROMOTER_PLEDGE,Pooja Punglia,600000,1.98,Promoter Group,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Sanjay Kumar Punglia,300000,0.9,Promoters,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Pushpa Pungalia,200000,0.6,Promoter Group,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Anil Punglia,730000,2.18,Promoter Group,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Anil Punglia,300000,0.9,Promoter Group,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Vijay Punglia,400000,1.19,Promoter Group,Pledge Creation,PIT
2026-04-01,VPRPL,PROMOTER_PLEDGE,Vijay Punglia,700000,2.36,Promoter Group,Pledge Creation,PIT
2026-04-01,VPRPL,PROMOTER_PLEDGE,Vijay Punglia,800000,2.7,Promoter Group,Pledge Creation,PIT
2026-04-06,VPRPL,PROMOTER_PLEDGE,Vijay Punglia,1060000,3.75,Promoter Group,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Kamal Kishor Pungalia,100000,0.3,Promoters,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Manohar Lal Punglia,100000,0.3,Promoters,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Vishnu Prakash Punglia,100000,0.3,Promoters,Pledge Creation,PIT
2026-03-30,VPRPL,PROMOTER_PLEDGE,Mamta Pungaliya,600000,1.79,Promoter Group,Pledge Creation,PIT
2026-02-06,MANGALAM,PROMOTER_PLEDGE,SHREE KISHORIJU TRADING AND INVESTMENT PRIVATE LIMITED,1500,0.01,Promoters,,PIT
2026-03-24,OSIAHYPER,PROMOTER_SELLING,Kavita Dhirendrakumar Chopra,2500000,1.13,Promoters,Market Sale,PIT
2026-03-24,OSIAHYPER,PROMOTER_SELLING,Dhirendra Gautamkumar Chopra,6390392,2.89,Promoters,Market Sale,PIT
2026-02-24,TAC,PROMOTER_BUYING,CHARANJIT SINGH,10000,0.45,Promoters,Market Purchase,PIT
