SYMBOL,FNO_PCR,FNO_OI_CHANGE_5D,FNO_PRICE_CHANGE,FNO_BUILDUP,FNO_MAX_PAIN,FNO_SIGNAL
TVSMOTOR,0.687,129.67,0.79,LONG_BUILDUP,3500.0,NEUTRAL
ULTRACEMCO,0.423,191.29,-3.09,SHORT_BUILDUP,12000.0,BEAR
UNIONBANK,0.571,264.27,-6.02,SHORT_BUILDUP,175.0,BEAR
UNITDSPR,0.717,180.5,-4.13,SHORT_BUILDUP,1400.0,MILD_BEAR
UNOMINDA,0.47,212.84,1.11,LONG_BUILDUP,1140.0,NEUTRAL
UPL,0.787,69.52,2.17,LONG_BUILDUP,650.0,MILD_BULL
VBL,0.538,111.59,5.19,LONG_BUILDUP,500.0,NEUTRAL
VEDL,0.431,-43.81,-62.13,LONG_UNWINDING,280.0,BEAR
VMM,0.571,78.27,-0.32,SHORT_BUILDUP,125.0,BEAR
VOLTAS,0.726,206.64,-1.99,SHORT_BUILDUP,1480.0,MILD_BEAR
WAAREEENER,0.502,138.12,-5.27,SHORT_BUILDUP,3300.0,BEAR
WIPRO,0.551,183.22,-1.3,SHORT_BUILDUP,200.0,BEAR
YESBANK,0.472,140.67,0.8,LONG_BUILDUP,20.0,NEUTRAL
ZYDUSLIFE,0.778,217.58,-3.38,SHORT_BUILDUP,930.0,MILD_BEAR
