category_code,category_label,is_thematic,nse_group_raw,index_display_name,api_index_symbol,last,percent_change,pe,pb,year_high,year_low
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA INFRASTRUCTURE & LOGISTICS,NIFTY INFRALOG,11968.1,-0.38,35.01,4.51,12032.5,9210.4
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA RAILWAYS PSU,NIFTY RAILWAYSPSU,3245.35,-0.86,23.74,3.44,4005.5,2744.6
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY CONGLOMERATE 50,NIFTYCONGLOMERATE,14542.95,-0.87,29.43,4.46,15284.3,12226.8
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY 8-13 YR G-SEC,NIFTY GS 8 13YR,2969.95,-0.26,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY 10 YR BENCHMARK G-SEC,NIFTY GS 10YR,2605.7,-0.23,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),NIFTY GS 10YR CLN,870.56,-0.25,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY 4-8 YR G-SEC INDEX,NIFTY GS 4 8YR,3251.29,-0.18,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY 11-15 YR G-SEC INDEX,NIFTY GS 11 15YR,3246.51,-0.34,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY 15 YR AND ABOVE G-SEC INDEX,NIFTY GS 15YRPLUS,3460.2,-0.24,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY COMPOSITE G-SEC INDEX,NIFTY GS COMPSITE,3053.74,-0.25,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2030,BHARATBOND-APR30,1575.74,0.01,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2031,BHARATBOND-APR31,1429.9,0.01,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2032,BHARATBOND-APR32,1297.21,0.01,0,0,0,0
FIXED_INCOME,Fixed income,0,FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2033,BHARATBOND-APR33,1258.22,0.01,0,0,0,0
