INDEX_NAME,STOCK_SYMBOL
NIFTY MEDIA,PVRINOX
NIFTY MEDIA,NETWORK18
NIFTY MEDIA,SUNTV
NIFTY MEDIA,DBCORP
NIFTY MEDIA,HATHWAY
NIFTY MEDIA,TIPSMUSIC
NIFTY MICROCAP 250,SHRIPISTON
NIFTY MICROCAP 250,NFL
NIFTY MICROCAP 250,LLOYDSENGG
NIFTY MICROCAP 250,GANECOS
NIFTY MICROCAP 250,BANCOINDIA
NIFTY MICROCAP 250,LLOYDSENT
NIFTY MICROCAP 250,ASTRAMICRO
NIFTY MICROCAP 250,OSWALPUMPS
NIFTY MICROCAP 250,PNCINFRA
NIFTY MICROCAP 250,TEAMLEASE
NIFTY MICROCAP 250,ALIVUS
NIFTY MICROCAP 250,KRN
NIFTY MICROCAP 250,GRINFRA
NIFTY MICROCAP 250,RATNAMANI
NIFTY MICROCAP 250,VESUVIUS
NIFTY MICROCAP 250,IIFLCAPS
NIFTY MICROCAP 250,KSCL
NIFTY MICROCAP 250,PRINCEPIPE
NIFTY MICROCAP 250,SYMPHONY
NIFTY MICROCAP 250,JKIL
NIFTY MICROCAP 250,SUBROS
NIFTY MICROCAP 250,ANURAS
NIFTY MICROCAP 250,DIACABS
NIFTY MICROCAP 250,CIGNITITEC
NIFTY MICROCAP 250,SUNFLAG
NIFTY MICROCAP 250,GOKEX
NIFTY MICROCAP 250,THOMASCOOK
NIFTY MICROCAP 250,BECTORFOOD
NIFTY MICROCAP 250,FDC
NIFTY MICROCAP 250,PURVA
NIFTY MICROCAP 250,TEGA
NIFTY MICROCAP 250,LMW
NIFTY MICROCAP 250,RBA
NIFTY MICROCAP 250,AWFIS
NIFTY MICROCAP 250,HCG
NIFTY MICROCAP 250,MEDPLUS
NIFTY MICROCAP 250,CEMPRO
NIFTY MICROCAP 250,POLYPLEX
NIFTY MICROCAP 250,BBL
NIFTY MICROCAP 250,KTKBANK
NIFTY MICROCAP 250,SHARDAMOTR
NIFTY MICROCAP 250,BIRLACORPN
NIFTY MICROCAP 250,EUREKAFORB
NIFTY MICROCAP 250,YATHARTH
NIFTY MICROCAP 250,GMRP&UI
NIFTY MICROCAP 250,VINATIORGA
NIFTY MICROCAP 250,BAJAJELEC
NIFTY MICROCAP 250,BALUFORGE
NIFTY MICROCAP 250,WELENT
NIFTY MICROCAP 250,ORIENTCEM
NIFTY MICROCAP 250,SPARC
NIFTY MICROCAP 250,GRWRHITECH
NIFTY MICROCAP 250,DATAMATICS
NIFTY MICROCAP 250,KSL
NIFTY MICROCAP 250,JSFB
NIFTY MICROCAP 250,JUSTDIAL
NIFTY MICROCAP 250,HERITGFOOD
NIFTY MICROCAP 250,JKLAKSHMI
NIFTY MICROCAP 250,RALLIS
NIFTY MICROCAP 250,MOIL
NIFTY MICROCAP 250,SUPRIYA
NIFTY MICROCAP 250,ACUTAAS
NIFTY MICROCAP 250,ORCHPHARMA
NIFTY MICROCAP 250,STYRENIX
NIFTY MICROCAP 250,KNRCON
NIFTY MICROCAP 250,STARCEMENT
NIFTY MICROCAP 250,DODLA
NIFTY MICROCAP 250,TSFINV
NIFTY MICROCAP 250,DHANUKA
NIFTY MICROCAP 250,TI
NIFTY MICROCAP 250,PRIVISCL
NIFTY MICROCAP 250,EPIGRAL
NIFTY MICROCAP 250,SANOFICONR
NIFTY MICROCAP 250,GALLANTT
NIFTY MICROCAP 250,OPTIEMUS
NIFTY MICROCAP 250,ABDL
NIFTY MICROCAP 250,UNIMECH
NIFTY MICROCAP 250,GNFC
NIFTY MICROCAP 250,IONEXCHANG
NIFTY MICROCAP 250,VAIBHAVGBL
NIFTY MICROCAP 250,CSBBANK
NIFTY MICROCAP 250,ARVINDFASN
NIFTY MICROCAP 250,AVANTIFEED
NIFTY MICROCAP 250,NAZARA
NIFTY MICROCAP 250,VARROC
NIFTY MICROCAP 250,INDIASHLTR
NIFTY MICROCAP 250,KITEX
NIFTY MICROCAP 250,RELIGARE
NIFTY MICROCAP 250,AARTIPHARM
